q_left_Mpc_h,q_right_Mpc_h,count,reference_RMS,vector_error_RMS,radial_error_RMS,transverse_RMS,radial_actual,radial_reference
4.1948105495808745,4.330127018922193,64592,0.0,7.328133319854395e-06,4.975639289480539e-06,5.380014090552222e-06,-3.7746996179219665e-09,0.0
4.330127018922193,4.465443488263511,69368,0.0,6.111172129005896e-06,4.044346668569814e-06,4.581450077733767e-06,1.545138722038772e-08,0.0
4.465443488263511,4.60075995760483,73280,0.0,5.105879536083935e-06,3.208445571653872e-06,3.971886560657985e-06,-1.2795011199643687e-08,0.0
4.60075995760483,4.736076426946148,78080,0.0,4.335716438829713e-06,2.566019982603217e-06,3.4948502810305285e-06,-7.421332607036224e-09,0.0
4.736076426946148,4.871392896287467,81800,0.0,3.7294840708131737e-06,2.0387229306334163e-06,3.1229249505164935e-06,-2.667639977348245e-10,0.0
4.871392896287467,5.006709365628785,87176,0.0,3.267489815849669e-06,1.6165866425393569e-06,2.8395663971538473e-06,5.5364190833139625e-09,0.0
5.006709365628785,5.142025834970104,87032,0.0,2.9600859269283107e-06,1.333621358753958e-06,2.642643140167585e-06,5.60081520022148e-09,0.0
5.142025834970104,5.277342304311423,86168,0.0,2.5733957925404292e-06,1.1282369576158545e-06,2.3128872156969165e-06,1.4052951188837045e-09,0.0
5.277342304311423,5.4126587736527405,81272,0.0,2.1599746677399436e-06,9.541066959748036e-07,1.937826353927033e-06,1.6282747957891026e-10,0.0
5.4126587736527405,5.54797524299406,79568,0.0,1.7582496875606944e-06,7.921365373443412e-07,1.5697011403485345e-06,-1.1886175741662386e-09,0.0
5.54797524299406,5.683291712335379,74768,0.0,1.424874920671153e-06,6.553629880699173e-07,1.2652145641849146e-06,-2.5756231323442265e-09,0.0
5.683291712335379,5.818608181676696,72512,0.0,1.13706092905066e-06,5.33996504203766e-07,1.0038701558825915e-06,2.7353080169492318e-09,0.0
5.818608181676696,5.953924651018015,67256,0.0,9.030895109266896e-07,4.2974801146294123e-07,7.942841502821627e-07,-4.154290005995765e-10,0.0
5.953924651018015,6.089241120359334,63920,0.0,7.196345681141835e-07,3.4185089860812956e-07,6.332549839880243e-07,-1.2972198736727459e-09,0.0
6.089241120359334,6.224557589700652,58592,0.0,5.801649430921685e-07,2.710720236630932e-07,5.129437777966878e-07,-4.771886200793684e-10,0.0
6.224557589700652,6.359874059041971,54344,0.0,4.7617398752543594e-07,2.1280406251728717e-07,4.2597663946748367e-07,6.334289169752735e-10,0.0
6.359874059041971,6.49519052838329,48920,0.0,3.9754796309372465e-07,1.665358794839352e-07,3.6098501880892635e-07,5.874510189533914e-10,0.0
6.49519052838329,6.630506997724607,43856,0.0,3.44171739304011e-07,1.3039994068117087e-07,3.1851223148554295e-07,-1.590619438067983e-09,0.0
6.630506997724607,6.7658234670659265,38480,0.0,3.0049228323749944e-07,1.0163466914738524e-07,2.827826131723577e-07,7.117647273050318e-10,0.0
6.7658234670659265,6.901139936407245,32432,0.0,2.707333817513653e-07,8.070660922834118e-08,2.5842408405834146e-07,-8.478494847372954e-10,0.0
6.901139936407245,7.036456405748563,26360,0.0,2.4034917793323087e-07,6.518327353956725e-08,2.3134145366502196e-07,1.8407741756355748e-10,0.0
7.036456405748563,7.171772875089882,20312,0.0,2.077263385065522e-07,5.466127956146912e-08,2.0040552942980774e-07,-4.577698092993468e-10,0.0
7.171772875089882,7.3070893444312,15872,0.0,1.6449407571909788e-07,4.467544002982047e-08,1.583111051216005e-07,3.753353906871931e-10,0.0
7.3070893444312,7.442405813772519,12392,0.0,1.2295850083296727e-07,3.5141014999762624e-08,1.1782997068605775e-07,3.6289315077173004e-10,0.0
7.442405813772519,7.577722283113838,9368,0.0,8.554730749388942e-08,2.565937434909114e-08,8.160844519697253e-08,-4.659959340127175e-10,0.0
7.577722283113838,7.713038752455156,7232,0.0,5.949747772681116e-08,1.8620871601987103e-08,5.650852145150072e-08,2.780690153166774e-10,0.0
7.713038752455156,7.848355221796474,5240,0.0,3.692011449085802e-08,1.1992016566095964e-08,3.491828164008866e-08,-2.2224807476387694e-10,0.0
7.848355221796474,7.983671691137793,3656,0.0,2.2775206400971252e-08,7.669976092533553e-09,2.1444847710972588e-08,1.257760914251521e-10,0.0
7.983671691137793,8.11898816047911,2360,0.0,1.2254963403135494e-08,4.189584442599374e-09,1.1516575454991783e-08,6.585388061569447e-11,0.0
8.11898816047911,8.25430462982043,1400,0.0,6.0260103478456185e-09,2.230361984937027e-09,5.598060925757264e-09,1.1146703588142896e-10,0.0
8.25430462982043,8.389621099161749,680,0.0,1.9183448899761477e-09,7.056662053858409e-10,1.783839208974269e-09,-7.224515372727077e-11,0.0
8.389621099161749,8.524937568503066,248,0.0,4.847933864540373e-10,1.730703592974946e-10,4.5284796376069735e-10,-2.4632790539686056e-11,0.0
8.524937568503066,8.660254037844386,32,0.0,3.760253354067612e-11,8.827261817025385e-12,3.655174383653067e-11,-8.650867342443857e-12,0.0
