q,n,degree_exact,v_over_cutoff,log10_degree,log10_mu_over_v
2,64,36893488147419103231,0.99,19.566949718158777688881256581572597434381399713845729097399875419,-161032896381083048.01366937353729182519279084654994232049526050956
2,127,340282366920938463463374607431768211455,0.1,38.531839444989592987358578524735107426327028550374716875991515338,-340282366920938463463374607431768211414.85723618020222882889580487
2,127,340282366920938463463374607431768211455,0.5,38.531839444989592987358578524735107426327028550374716875991515338,-102435199438739363750012109250103232661.02968628194032552176911238
2,127,340282366920938463463374607431768211455,0.9,38.531839444989592987358578524735107426327028550374716875991515338,-15570467192349031280730547551642448146.686055496415953071053591229
2,127,340282366920938463463374607431768211455,0.99,38.531839444989592987358578524735107426327028550374716875991515338,-1485266313495014185567086291593363010.9917504350582958988041657246
2,128,680564733841876926926749214863536422911,0.1,38.832869440653574182572317419459600453095856570224413623173542643,-680564733841876926926749214863536422870.55620618453824763368206598
2,128,680564733841876926926749214863536422911,0.5,38.832869440653574182572317419459600453095856570224413623173542643,-204870398877478727500024218500206465360.80419637500638460506989767
2,128,680564733841876926926749214863536422911,0.9,38.832869440653574182572317419459600453095856570224413623173542643,-31140934384698062561461095103284896331.35111728864772149422747127
2,128,680564733841876926926749214863536422911,0.99,38.832869440653574182572317419459600453095856570224413623173542643,-2970532626990028371134172583186726059.8383291104577320274780203471
2,160,2923003274661805836407369665432566039311865085951,0.1,48.465829301900972429411962050643377309678570915399326572807298837,-2923003274661805836407369665432566039311865085900.9232463232908494
2,160,2923003274661805836407369665432566039311865085951,0.5,48.465829301900972429411962050643377309678570915399326572807298837,-879911663097246245548299857666344938141404442772.28507867426413147
2,160,2923003274661805836407369665432566039311865085951,0.9,48.465829301900972429411962050643377309678570915399326572807298837,-133749294749160061536037393444954372079607846147.67880038836743117
2,160,2923003274661805836407369665432566039311865085951,0.99,48.465829301900972429411962050643377309678570915399326572807298837,-12758340484623138772133421672806828053487639789.556949803277606605
3,2,13,0.1,1.113943352306836769206505157942328430829729188387068271801190975,-10.170994301671443797647508739094764201227444148375537431502800766
3,2,13,0.5,1.113943352306836769206505157942328430829729188387068271801190975,-2.4823242539752369449986365810641874956775328444587313859175028386
3,2,13,0.9,1.113943352306836769206505157942328430829729188387068271801190975,0.32567330216112982284310513251777260117539086381977159475424332051
3,2,13,0.99,1.113943352306836769206505157942328430829729188387068271801190975,0.78099283890160527109530481619103925994911495895075563531617252599
3,4,121,0.1,2.0827853703164500815003999424860484834134043809329061891930780374,-117.21645739516838203991379521924056159704570337170789907002350024
3,4,121,0.5,2.0827853703164500815003999424860484834134043809329061891930780374,-34.039026879182144270348723691455231782460299265698815485964368114
3,4,121,0.9,2.0827853703164500815003999424860484834134043809329061891930780374,-3.6615987718887219636971542445231180074150336943222832405154778474
3,4,121,0.99,2.0827853703164500815003999424860484834134043809329061891930780374,1.2641307619400578855766423333967667556825269711856350164726653755
3,8,9841,0.1,3.9930392318069095262967327042316167437895847991627501142921571042,-9835.3079686994114954399300028833020906617804653292072914374950683
3,8,9841,0.5,3.9930392318069095262967327042316167437895847991627501142921571042,-2958.1420960373224751479069880775889810340007090348932293907908583
3,8,9841,0.9,3.9930392318069095262967327042316167437895847991627501142921571042,-446.51591832589405434837092262914303622164467578469406331539899839
3,8,9841,0.99,3.9930392318069095262967327042316167437895847991627501142921571042,-39.253289054117878407153405569027522069401823785262065580051593595
3,16,64570081,0.1,7.8100313312073103191746649137465205279135594435201027759768460426,-64570071.490998661093700969432623156446009757416390903851394760786
