eta,s,p_over_M,local_cross,local_tau,ratio_to_abstract_static
0.5,0.000000000012589254117941672104239541063958006060936174094669310691079230195,0.000003548133892335754584332187022644906204913468320653236306803393404,4.2710965317659551056487919412115674314444880791985352916318546748e-72,3.8439868785893595950839127470904106883000392712786817624686692073e-71,0.000000000050357016458859714482598291947598255249015365830241117965141609582
0.5,0.000000000015848931924611134852021013733915070132694421338250390683162968123,0.0000039810717055349725077025230508775204348767703729738044686528414806,5.3769919597092503185597916932484149663486040429206132569667341504e-72,4.8392927637383252867038125239235734697137436386285519312700607354e-71,0.000000000063395727677988364284960284400230691758013291115930322943777380104
0.5,0.00000000001995262314968879601352455396739535557986274315405346099229913667,0.0000044668359215096311855625052431937661637730017860801456820167235233,6.7692318165253343391561010105697484230475956887196010508350005719e-72,6.0923086348728009052404909095127735807428361198476409457515005147e-71,0.000000000079810492566334331359096030114160876841406053341057995333992803043
0.5,0.000000000025118864315095801110850320677993273941585181007824754286798884209,0.0000050118723362727228500155418688494576806047198983281926392969745589,8.5219579512529832538647262559555755882027095276371343459263967273e-72,7.6697621561276849284782536303600180293824385748734209113337570546e-71,0.00000000010047545720899961571615911956504999586559823134792332642306290235
0.5,0.000000000031622776601683793319988935444327185337195551393252168268575048528,0.0000056234132519034908039495103977648123146825104309869166408168942374,1.0728509421653117584885209442536051606408119866510927781325312996e-71,9.6556584794878058263966884982824464457673078798598350031927816963e-71,0.00000000012649110632529767330761720973383132817476154351071355578068626581
0.5,0.000000000039810717055349725077025230508775204348767703729738044686528414806,0.0000063095734448019324943436013662234386467294525718822872452772952883,1.3506393139340719781979953464728883647232224053413951685528196162e-71,1.2155753825406647803781958118255995282509001648072556516975376546e-70,0.00000000015924286809232916100224087717087219179504215201878984230601053545
0.5,0.000000000050118723362727228500155418688494576806047198983281926392969745589,0.0000070794578438413791080221494218931270935443296555129868132715923463,1.7003541541229989618174743147449409992680680181093838739662273735e-71,1.5303187387106990656357268832704468993412612162984454865696046362e-70,0.00000000020047489324634716284468253185721014402921835697088675252662859799
0.5,0.000000000063095734448019324943436013662234386467294525718822872452772952883,0.0000079432823472428150206591828283638793258896063175548433209232392932,2.1406190531096595645885551235560830514404516637126031833449202721e-71,1.9265571477986936081296996112004747462964064973413428650104282449e-70,0.0000000002523829374678687729739625811179693878074606796960749252469861177
0.5,0.000000000079432823472428150206591828283638793258896063175548433209232392932,0.0000089125093813374552995310868107829696398587478293004836994794349507,2.6948797220341666389337123204484987729923301090237474604754119665e-71,2.4253917498307499750403410884036488956930970981213727144278707699e-70,0.00000000031773129337587671385371465804411354564645175855906898800803962509
0.5,0.0000000001,0.00001,3.3926525623769922086508508160944751698683031714013255931737512196e-71,3.0533873061392929877857657344850276528814728542611930338563760976e-70,0.00000000039999999918562500087473242120696400950725918442817968288095109054
0.5,0.00000000012589254117941672104239541063958006060936174094669310691079230195,0.000011220184543019634355910389464779057367223085073605529624450744482,4.2710965219134575059512817364682876636551065435561343725735338246e-71,3.8439868697221117553561535628214588972895958892005209353161804421e-70,0.00000000050357016342696949230438298341747551541790293414161154485644759514
