case,I,b,dt,t,R,Rdot,M2,Q2,Hfield,Hclock,Htotal,power_field,cosine_q_1,cosine_velocity_1,cosine_q_3,cosine_velocity_3,cosine_q_5,cosine_velocity_5
time_I100_dt0p01,100.0,2.0,0.01,15.66,2.6223735339814507,0.10536517052522244,0.7276408515502939,0.8374324891439424,0.7670411321594153,0.5550909579904603,1.3221320901498754,-0.0025841197271869914,-0.5162861336523642,-0.03630702024796582,0.0034158454997824236,0.0041583812346149135,-2.2443663644841726e-05,-6.710341655350133e-05
time_I100_dt0p01,100.0,2.0,0.01,15.68,2.624480886452659,0.10537007711944747,0.7275175177910459,0.8391453409817979,0.7669895220922394,0.5551426576079154,1.3221321797001546,-0.0025853439845136324,-0.5168133267949443,-0.016406564697635725,0.003498951268886521,0.004148510913981005,-2.3803844915298752e-05,-6.882686554895794e-05
time_I100_dt0p01,100.0,2.0,0.01,15.700000000000001,2.6265883370578043,0.10537498202991753,0.7273943773786229,0.8395661311997654,0.7669378551139038,0.5551943418902721,1.322132197004176,-0.0025825872205255864,-0.5169423279199283,0.0035075533444427704,0.003581708502727951,0.004123157533432106,-2.5194885812393065e-05,-7.017989225115596e-05
time_I100_dt0p01,100.0,2.0,0.01,15.72,2.628695885687709,0.1053798777136694,0.727271429839415,0.8386935975842996,0.7668862106513294,0.5552459313473957,1.322132141998725,-0.0025758640689488017,-0.5166730489426172,0.02341681598139526,0.00366379288876204,0.004080872432328825,-2.6609001378751997e-05,-7.112516488095963e-05
time_I100_dt0p01,100.0,2.0,0.01,15.74,2.6308035320826884,0.10538475666905484,0.7271486747101448,0.836530667417526,0.7668346681236541,0.5552973469097949,1.322132015033449,-0.0025652019468327203,-0.5160057720931436,0.043302719464898005,0.0037448518363401464,0.004020280052812506,-2.8037673714347462e-05,-7.162681390800331e-05
time_I100_dt0p01,100.0,2.0,0.01,15.76,2.6329112758336204,0.10538961145985912,0.7270261115377286,0.8330844450847363,0.7667833066839619,0.5553485101830035,1.3221318168669653,-0.0025506409199227346,-0.5149411492403522,0.06314681345883691,0.0038245060814420624,0.003940092099663781,-2.9471684984883183e-05,-7.165081283208145e-05
time_I100_dt0p01,100.0,2.0,0.01,15.780000000000001,2.63501911638349,0.10539443473910558,0.7269037398791103,0.8283661833463336,0.7667322049602037,0.5553993436987792,1.3221315486589829,-0.0025322335190527388,-0.5134802004330219,0.082930739985011,0.00390235156997879,0.0038391212063198896,-3.090115822004764e-05,-7.116537600032675e-05
time_I100_dt0p01,100.0,2.0,0.01,15.8,2.637127053029413,0.10539921927245473,0.7267815593010704,0.822391238456693,0.7666814407964093,0.5554497711621497,1.3221312119585589,-0.002510044508601988,-0.5116243116670359,0.1026362718273688,0.0039779616085527615,0.0037162939845564783,-3.2315606224631385e-05,-7.014137147581427e-05
time_I100_dt0p01,100.0,2.0,0.01,15.82,2.6392350849251156,0.10540395796110866,0.726659569380008,0.8151790094091448,0.7666310909953133,0.555499717693358,1.3221308086886714,-0.0024841506083462463,-0.5093752318915273,0.12224535017632147,0.004050889269160363,0.0035706633404011395,-3.370398887765522e-05,-6.85527461718128e-05
time_I100_dt0p01,100.0,2.0,0.01,15.84,2.641343211083873,0.1054086438641344,0.7265377697017013,0.8067528616800715,0.7665812310635484,0.5555491100637959,1.3221303411273442,-0.002454640170306546,-0.5067350692713353,0.141740121301651,0.004120670032032294,0.0034014199450638693,-3.505477903071982e-05,-6.637695963270955e-05
time_I100_dt0p01,100.0,2.0,0.01,15.860000000000001,2.6434514303818832,0.1054132702201234,0.7264161598610417,0.7971400359349625,0.7665319349605638,0.5555978769250377,1.3221298118856015,-0.002421612812457096,-0.5037062867272473,0.16110297205133428,0.004186824648653411,0.0032079027569671733,-3.635603713614022e-05,-6.359542200140472e-05
time_I100_dt0p01,100.0,2.0,0.01,15.88,2.645559741562069,0.10541783046810779,0.7262947394617489,0.7863715422443669,0.7664832748524405,0.5556459490301359,1.3221292238825764,-0.0023851790113946004,-0.5002916967794637,0.1803165639841231,0.004248862205005871,0.0029896084992463096,-3.759549463746389e-05,-6.01939308872242e-05
time_I100_dt0p01,100.0,2.0,0.01,15.9,2.6476681432382905,0.10542231826765909,0.7261735081160627,0.7744820404371666,0.7664353208717523,0.5556932594463804,1.3221285803181326,-0.0023454596562920067,-0.49649445572343887,0.19936386595582645,0.004306283363256452,0.0027462000062665744,-3.876064604196963e-05,-5.616310106373602e-05
time_I100_dt0p01,100.0,2.0,0.01,15.92,2.649776633899949,0.10542672751809874,0.7260524654444162,0.7615097072918053,0.7663881408846119,0.5557397437587719,1.322127884643384,-0.0023025855666587982,-0.4923180571707262,0.21822818499278285,0.004358583758477709,0.0024775133626569043,-3.9838849465182366e-05,-5.149878020745711e-05
time_I100_dt0p01,100.0,2.0,0.01,15.94,2.6518852119169694,0.10543105237675579,0.7259316110750897,0.7474960913323676,0.7663418002660082,0.5557853402635111,1.3221271405295192,-0.002256696976605537,-0.4877663249906388,0.23689319530082698,0.004405257525566986,0.0021835637689681994,-4.0817435295745805e-05,-4.620244326087152e-05
