reference,t,cos1,cos3,cos5,field_energy,clock_energy,work
reference_frozen_N128,10.3,-0.398624457697762,0.002911361638229616,1.3776351823172575e-05,0.8221348555996807,,0.0
reference_frozen_N128,10.32,-0.407310813699015,0.002760910810252779,1.4655196030599711e-05,0.8221348556003474,,0.0
reference_frozen_N128,10.34,-0.41565124004063114,0.0026059178263676402,1.5244745206192429e-05,0.8221348556004511,,0.0
reference_frozen_N128,10.36,-0.423637792959216,0.002447429416181522,1.554104073151081e-05,0.8221348556006819,,0.0
reference_frozen_N128,10.38,-0.43126281597229343,0.0022865064400683895,1.5544126241704643e-05,0.8221348555996184,,0.0
reference_frozen_N128,10.4,-0.4385189528061326,0.0021242173139723007,1.5258008981251247e-05,0.8221348556002829,,0.0
reference_frozen_N128,10.42,-0.44539916016671155,0.001961631349782441,1.4690561980040174e-05,0.8221348556003214,,0.0
reference_frozen_N128,10.44,-0.4518967202924496,0.0017998120604829197,1.3853374897862697e-05,0.8221348556006212,,0.0
reference_frozen_N128,10.46,-0.4580052532241316,0.0016398104737845708,1.2761550816901888e-05,0.8221348556001699,,0.0
reference_frozen_N128,10.48,-0.46371872872988007,0.0014826585018329675,1.1433455768255548e-05,0.8221348555998748,,0.0
reference_frozen_N128,10.5,-0.46903147782038007,0.0013293624148676872,9.890423273452436e-06,0.8221348556003268,,0.0
reference_frozen_N128,10.52,-0.47393820379257984,0.00118089646493667,8.15641942867856e-06,0.8221348556004837,,0.0
reference_frozen_N128,10.540000000000001,-0.47843399274103693,0.0010381967054970233,6.2576744102412345e-06,0.8221348556004088,,0.0
reference_frozen_N128,10.56,-0.4825143234764791,0.0009021550527604304,4.222285257058133e-06,0.822134855599791,,0.0
reference_frozen_N128,10.58,-0.4861750767956565,0.0007736136313550696,2.07979709833581e-06,0.8221348556003244,,0.0
reference_frozen_N128,10.6,-0.4894125440461874,0.0006533594488438033,-1.392312769184865e-07,0.8221348556004147,,0.0
reference_frozen_N128,10.620000000000001,-0.4922234349392694,0.000542119433656116,-2.4036699013724878e-06,0.822134855600473,,0.0
reference_frozen_N128,10.64,-0.49460488455961615,0.0004405558785037398,-4.682262140211975e-06,0.8221348555998301,,0.0
reference_frozen_N128,10.66,-0.49655445953324573,0.00034926231866590825,-6.944064036439766e-06,0.8221348556003181,,0.0
reference_frozen_N128,10.68,-0.49807016331150633,0.0002687598815235722,-9.158871822021318e-06,0.8221348556003883,,0.0
reference_frozen_N128,10.700000000000001,-0.49915044054373225,0.00019949412648642735,-1.1297631585455997e-05,0.8221348556004705,,0.0
reference_frozen_N128,10.72,-0.4997941805064075,0.00014183240596088518,-1.3332824784190414e-05,0.8221348555998779,,0.0
reference_frozen_N128,10.74,-0.5000007195711011,9.606176038906653e-05,-1.5238824594377823e-05,0.8221348556003139,,0.0
reference_frozen_N128,10.76,-0.49976984269136027,6.23873688817812e-05,-1.6992217325099014e-05,0.8221348556003822,,0.0
reference_frozen_N128,10.78,-0.4991017839042896,4.093155718654065e-05,-1.857208587960616e-05,0.8221348556004234,,0.0
reference_frozen_N128,10.8,-0.49799722583858097,3.1733376718751235e-05,-1.9960250532348345e-05,0.8221348555999469,,0.0
reference_frozen_N128,10.82,-0.49645729823533546,3.474875020241672e-05,-2.1141465132843567e-05,0.8221348556003993,,0.0
reference_frozen_N128,10.84,-0.49448357548717703,4.9851186439170953e-05,-2.2103565582951273e-05,0.8221348556005295,,0.0
reference_frozen_N128,10.86,-0.49207807321559904,7.683304841610964e-05,-2.2837571028332087e-05,0.8221348556017101,,0.0
reference_frozen_N128,10.88,-0.489243243901201,0.00011540737341083406,-2.3337734944857987e-05,0.8221348555995852,,0.0
reference_frozen_N128,10.9,-0.4859819716032555,0.00016521021171217603,-2.3601550456455475e-05,0.8221348555983563,,0.0
reference_frozen_N128,10.92,-0.4822975657885489,0.00022580348530520402,-2.3629705757256e-05,0.8221348556003678,,0.0
reference_frozen_N128,10.94,-0.4781937543147606,0.0002966783277425911,-2.3425994970608453e-05,0.822134855600501,,0.0
reference_frozen_N128,10.96,-0.4736746756145088,0.00037725887118904343,-2.2997188417492773e-05,0.8221348556011305,,0.0
reference_frozen_N128,10.98,-0.4687448701147208,0.0004669064692657999,-2.235286064046864e-05,0.8221348555993212,,0.0
reference_frozen_N128,11.0,-0.4634092709547457,0.0005649242993306194,-2.1505185228661414e-05,0.8221348555998543,,0.0
reference_frozen_N128,11.02,-0.4576731940455365,0.0006705623273756411,-2.0468695640740264e-05,0.8221348556003352,,0.0
reference_frozen_N128,11.040000000000001,-0.4515423275379132,0.0007830225770644222,-1.9260021299166283e-05,0.8221348556006072,,0.0
reference_frozen_N128,11.06,-0.4450227207521068,0.0009014646741779865,-1.789760071835899e-05,0.8221348556004329,,0.0
reference_frozen_N128,11.08,-0.43812077263275895,0.0010250116187452878,-1.640137788098424e-05,0.8221348555995164,,0.0
reference_frozen_N128,11.1,-0.43084321979230633,0.0011527557406095827,-1.4792487091769693e-05,0.8221348556003517,,0.0
reference_frozen_N128,11.120000000000001,-0.42319712420451994,0.0012837647967142475,-1.3092930816752434e-05,0.8221348556003987,,0.0
reference_frozen_N128,11.14,-0.4151898606158018,0.0014170881588811838,-1.1325256890286943e-05,0.822134855600633,,0.0
reference_frozen_N128,11.16,-0.40682910373394754,0.0015517630534418922,-9.512238710520961e-06,0.8221348555997691,,0.0
reference_frozen_N128,11.18,-0.3981228152602702,0.001686820803475397,-7.676563918456448e-06,0.8221348556003437,,0.0
reference_frozen_N128,11.200000000000001,-0.38907923082471296,0.0018212930325313646,-5.840535721137905e-06,0.8221348556003315,,0.0
reference_frozen_N128,11.22,-0.3797068468859174,0.0019542177848052766,-4.025790817625501e-06,0.8221348556005751,,0.0
reference_frozen_N128,11.24,-0.37001440765248594,0.0020846455219932017,-2.253037682240692e-06,0.8221348556002194,,0.0
reference_frozen_N128,11.26,-0.36001089208156284,0.0022116449571496282,-5.41817876501314e-07,0.8221348555999264,,0.0
reference_frozen_N128,11.28,-0.3497055010069542,0.0023343086871013266,1.089706479274917e-06,0.8221348556003438,,0.0
reference_frozen_N128,11.3,-0.3391076444461135,0.0024517585886392364,2.6249372885274553e-06,0.8221348556004018,,0.0
reference_frozen_N128,11.32,-0.32822692913103146,0.002563150946628087,4.048995978136515e-06,0.8221348556005234,,0.0
reference_frozen_N128,11.34,-0.3170731463057235,0.0026676812818513364,5.348848174305658e-06,0.8221348555999691,,0.0
reference_frozen_N128,11.36,-0.3056562598265369,0.0027645888553808617,6.513398431083028e-06,0.82213485560034,,0.0
reference_frozen_N128,11.38,-0.29398639460196335,0.0028531608172008205,7.533552894407692e-06,0.8221348556003233,,0.0
reference_frozen_N128,11.4,-0.2820738253970637,0.0029327359889848364,8.402253560806786e-06,0.8221348556004119,,0.0
reference_frozen_N128,11.42,-0.26992896603132066,0.0030027082520168937,9.11448233641246e-06,0.8221348556004033,,0.0
reference_frozen_N128,11.44,-0.25756235898792246,0.0030625295328860795,9.66723829073081e-06,0.822134855600181,,0.0
reference_frozen_N128,11.46,-0.2449846654505904,0.0031117123734309407,1.0059489503698602e-05,0.8221348556003523,,0.0
reference_frozen_N128,11.48,-0.23220665578356087,0.003149832067113391,1.0292099985644712e-05,0.8221348556003195,,0.0
reference_frozen_N128,11.5,-0.21923920045389067,0.003176528375842686,1.036773781393611e-05,0.822134855600248,,0.0
reference_frozen_N128,11.52,-0.20609326140760925,0.003191506802296378,1.0290763061639874e-05,0.8221348556003278,,0.0
reference_frozen_N128,11.540000000000001,-0.19277988389240686,0.0031945394348332126,1.0067101141258414e-05,0.8221348556007978,,0.0
reference_frozen_N128,11.56,-0.17931018872252646,0.003185465363719845,9.704103601441735e-06,0.8221348556003655,,0.0
reference_frozen_N128,11.58,-0.16569536498290244,0.003164190659454882,9.210397667519992e-06,0.8221348556003303,,0.0
reference_frozen_N128,11.6,-0.1519466631466148,0.003130687954866049,8.595731047961885e-06,0.822134855600129,,0.0
reference_frozen_N128,11.620000000000001,-0.13807538860227678,0.0030849956072596316,7.870811089952652e-06,0.8221348556000516,,0.0
reference_frozen_N128,11.64,-0.12409289556392705,0.003027216475083081,7.0471431677948035e-06,0.8221348556012879,,0.0
reference_frozen_N128,11.66,-0.11001058134066574,0.0029575163235506094,6.136870298711281e-06,0.8221348556007471,,0.0
reference_frozen_N128,11.68,-0.09583988094673901,0.0028761218587176167,5.152615867348199e-06,0.8221348556003373,,0.0
reference_frozen_N128,11.700000000000001,-0.08159226201396268,0.0027833184376337685,4.107332325805278e-06,0.8221348556002115,,0.0
reference_frozen_N128,11.72,-0.0672792199829286,0.002679447454730599,3.0141571596092954e-06,0.8221348556000586,,0.0
reference_frozen_N128,11.74,-0.05291227353822417,0.0025649034335353364,1.8862778614928848e-06,0.8221348556011182,,0.0
reference_frozen_N128,11.76,-0.03850296025148487,0.00244013085304499,7.368069949602034e-07,0.8221348556005695,,0.0
reference_frozen_N128,11.78,-0.024062832399585364,0.002305620722033421,-4.213311020959837e-07,0.8221348556003486,,0.0
reference_frozen_N128,11.8,-0.009603452916568903,0.0021619069429547554,-1.5755021818916976e-06,0.8221348556002059,,0.0
reference_frozen_N128,11.82,0.004863608555798659,0.0020095624808212347,-2.7134513891115463e-06,0.822134855600279,,0.0
reference_frozen_N128,11.84,0.019326779559084763,0.0018491953703408022,-3.823380288327295e-06,0.8221348556009757,,0.0
reference_frozen_N128,11.86,0.03377448869002375,0.0016814445895545573,-4.894011788337671e-06,0.8221348556003487,,0.0
reference_frozen_N128,11.88,0.048195169492262796,0.0015069758257599127,-5.9146428958747415e-06,0.8221348556003394,,0.0
reference_frozen_N128,11.9,0.06257726440751299,0.0013264771681847937,-6.875186850134175e-06,0.8221348556002142,,0.0
reference_frozen_N128,11.92,0.07690922882457257,0.0011406547509883128,-7.766204482525123e-06,0.8221348556006104,,0.0
reference_frozen_N128,11.94,0.09117953526392739,0.0009502283789534678,-8.578926529282513e-06,0.8221348556003966,,0.0
reference_frozen_N128,11.96,0.10537667773557702,0.0007559271628549577,-9.305267423356503e-06,0.8221348556003462,,0.0
reference_frozen_N128,11.98,0.11948917630455627,0.0005584851934827223,-9.937832313266014e-06,0.8221348556001695,,0.0
reference_frozen_N128,12.0,0.13350558189908734,0.0003586372814965446,-1.0469918126478169e-05,0.8221348556002392,,0.0
reference_frozen_N128,12.02,0.1474144813927298,0.0001571147897471067,-1.0895510233490322e-05,0.8221348556010898,,0.0
