q,n,Lambda_eV,G00,tau,zeta,h2,M_eV,min_mass_eV,max_mass_eV,condition_H,mG_eV,phase,rH,hidden_self_mass_leading_eV,clockoff_my2_leading_eV2,max_x,max_static_force_ratio,max_once_rematched_force_ratio,alpha_delta,max_abs_static_dVchi_eV4,max_abs_static_dVy_eV4,FX_over_min_mass2,MQ_over_min_mass,max_mass_over_KK,gap_conditions_pass,static_response_and_gap_conditions_pass,once_rematched_response_and_gap_conditions_pass
3.0,128,1000000000000.0,0.1111111111111111,2.2617683795227874e-61,1.0,0.013888888888888885,333333333333.3333,666814915260.8627,1333259198733.6409,3.9977770126127363,1e-15,zero,3.0928559391769443,8.435087432860433,5.686315637301547e-60,8.00445375e-23,0.0001432720067083139,7.163600335415706e-05,4.002226874999995e-23,2.0526791858693705e-18,0.0,9.485254366048903e-12,0.14996665148211225,0.013332591987336408,False,False,False
3.0,128,1000000000000.0,0.1111111111111111,2.2617683795227874e-61,1.0,0.013888888888888885,333333333333.3333,666814915260.8627,1333259198733.6409,3.9977770126127363,1e-15,quadrature,3.0928559391769443,8.435087432860433,5.686315637301547e-60,8.00445375e-23,4.775733556943798e-05,2.387866778471902e-05,4.002226874999995e-23,1.4796577599996163e-39,6.842263952897902e-19,9.485254366048903e-12,0.14996665148211225,0.013332591987336408,False,False,False
5.0,88,1000000000000.0,0.04,1.4855280471424712e-61,1.0,0.0016666666666666674,200000000000.0,800155719279.1968,1199896172551.9385,2.2487351501713246,1e-06,zero,2.0313858328799883,8435087432.860433,1.6330567293470907e-43,7.410432918985033e-05,1.3262977796343734e+23,6.631980265588837e+22,3.705628313275926e-05,1900206403.9368675,0.0,0.006587347364880311,0.12497567359773779,0.011998961725519385,False,False,False
5.0,88,1000000000000.0,0.04,1.4855280471424712e-61,1.0,0.0016666666666666674,200000000000.0,800155719279.1968,1199896172551.9385,2.2487351501713246,1e-06,quadrature,2.0313858328799883,8435087432.860433,1.6330567293470907e-43,7.410432918985033e-05,4.420992598781244e+22,2.210660088529612e+22,3.705628313275926e-05,1.3697489459344483e-21,633402134.6456225,0.006587347364880311,0.12497567359773779,0.011998961725519385,False,False,False
5.0,88,1000000000000.0,0.04,1.4855280471424712e-61,1.0,0.0016666666666666674,200000000000.0,800155719279.1968,1199896172551.9385,2.2487351501713246,1e-14,zero,2.0313858328799883,84.35087432860433,1.633057295612869e-59,7.411531250000003e-21,0.13265926547066106,0.0663296327353306,3.705765624999998e-21,1.9006288758049735e-15,0.0,6.587347364880312e-11,0.12497567359773779,0.011998961725519385,False,False,False
5.0,88,1000000000000.0,0.04,1.4855280471424712e-61,1.0,0.0016666666666666674,200000000000.0,800155719279.1968,1199896172551.9385,2.2487351501713246,1e-14,quadrature,2.0313858328799883,84.35087432860433,1.633057295612869e-59,7.411531250000003e-21,0.044219755156887024,0.022109877578443533,3.705765624999998e-21,1.3700534814811266e-37,6.335429586016578e-16,6.587347364880312e-11,0.12497567359773779,0.011998961725519385,False,False,False
5.0,88,1000000000000.0,0.04,1.4855280471424712e-61,1.0,0.0016666666666666674,200000000000.0,800155719279.1968,1199896172551.9385,2.2487351501713246,1e-15,zero,2.0313858328799883,8.435087432860433,1.6331133559232938e-61,7.411531250000003e-23,0.00013265926547066108,6.632963273533076e-05,3.70576562499999e-23,1.9006288758049733e-18,0.0,6.587347364880312e-12,0.12497567359773779,0.011998961725519385,False,False,False
5.0,88,1000000000000.0,0.04,1.4855280471424712e-61,1.0,0.0016666666666666674,200000000000.0,800155719279.1968,1199896172551.9385,2.2487351501713246,1e-15,quadrature,2.0313858328799883,8.435087432860433,1.6331133559232938e-61,7.411531250000003e-23,4.421975515688703e-05,2.2109877578443587e-05,3.70576562499999e-23,1.3700534814811267e-39,6.335429586016579e-19,6.587347364880312e-12,0.12497567359773779,0.011998961725519385,False,False,False
2.0,200,2000000000000.0,0.25,9.334522916791682e-61,1.0,0.08333333333333334,1000000000000.0,1000244256288.1268,2999918570188.6333,8.995116663488766,1e-06,zero,3.1911241336606078,4217543716.4302163,6.197615622946975e-42,5.929154690040884e-06,1.0612552466137946e+22,5.306307694521782e+21,2.9646037111508883e-06,152047605.50704223,0.0,0.004215484147908399,0.09997558033584385,0.02999918570188633,True,False,False
2.0,200,2000000000000.0,0.25,9.334522916791682e-61,1.0,0.08333333333333334,1000000000000.0,1000244256288.1268,2999918570188.6333,8.995116663488766,1e-06,quadrature,3.1911241336606078,4217543716.4302163,6.197615622946975e-42,5.929154690040884e-06,3.5375174887126493e+21,1.7687692315072604e+21,2.9646037111508883e-06,1.0960232895944253e-22,50682535.16901408,0.004215484147908399,0.09997558033584385,0.02999918570188633,True,False,False
2.0,200,2000000000000.0,0.25,9.334522916791682e-61,1.0,0.08333333333333334,1000000000000.0,1000244256288.1268,2999918570188.6333,8.995116663488766,1e-14,zero,3.1911241336606078,42.17543716430217,6.197615679573555e-58,5.929225e-22,0.01061274123765288,0.005306370618826425,2.9646125000000083e-22,1.520503100643978e-16,0.0,4.2154841479084e-11,0.09997558033584385,0.02999918570188633,True,True,True
2.0,200,2000000000000.0,0.25,9.334522916791682e-61,1.0,0.08333333333333334,1000000000000.0,1000244256288.1268,2999918570188.6333,8.995116663488766,1e-14,quadrature,3.1911241336606078,42.17543716430217,6.197615679573555e-58,5.929225e-22,0.00353758041255096,0.0017687902062754751,2.9646125000000083e-22,1.0960427851849008e-38,5.0683436688132603e-17,4.2154841479084e-11,0.09997558033584385,0.02999918570188633,True,True,True
2.0,200,2000000000000.0,0.25,9.334522916791682e-61,1.0,0.08333333333333334,1000000000000.0,1000244256288.1268,2999918570188.6333,8.995116663488766,1e-15,zero,3.1911241336606078,4.2175437164302165,6.197621285604598e-60,5.9292250000000004e-24,1.061274123765288e-05,5.306370618826439e-06,2.9646125000000017e-24,1.5205031006439781e-19,0.0,4.2154841479084e-12,0.09997558033584385,0.02999918570188633,True,True,True
