reference,t,cos1,cos3,cos5,energy
reference_continuum_K24_tight,7.4,-0.08440618433776126,0.001022822401446906,-1.381841288024538e-05,0.8222137023067048
reference_continuum_K24_tight,7.42,-0.07010317962303794,0.0010035733452623383,-1.5224269292297658e-05,0.8222137023066984
reference_continuum_K24_tight,7.44,-0.05574399206512702,0.00098034352670402,-1.647335469295076e-05,0.8222137023067222
reference_continuum_K24_tight,7.46,-0.04134015949934295,0.0009532096939703008,-1.7552143689008256e-05,0.8222137023067049
reference_continuum_K24_tight,7.48,-0.026903235009590458,0.0009222707928343253,-1.8449018795592177e-05,0.8222137023066993
reference_continuum_K24_tight,7.5,-0.012444782881722863,0.0008876458466485178,-1.915438601958605e-05,0.8222137023067186
reference_continuum_K24_tight,7.5200000000000005,0.0020236253319913574,0.0008494717216930283,-1.9660766194253596e-05,0.8222137023067051
reference_continuum_K24_tight,7.54,0.01649041467677855,0.0008079008007709182,-1.9962861275277974e-05,0.8222137023067011
reference_continuum_K24_tight,7.5600000000000005,0.03094401062767701,0.0007630985884353128,-2.0057595200344853e-05,0.8222137023067129
reference_continuum_K24_tight,7.58,0.04537284293040954,0.0007152412713302487,-1.9944129121720488e-05,0.8222137023067048
reference_continuum_K24_tight,7.6000000000000005,0.05976534949096415,0.000664513257307868,-1.9623851154978728e-05,0.8222137023067045
reference_continuum_K24_tight,7.62,0.07410998035357332,0.0006111047168898788,-1.910034112516481e-05,0.8222137023067064
reference_continuum_K24_tight,7.640000000000001,0.08839520180616027,0.0005552091503520927,-1.8379310991958085e-05,0.8222137023067037
reference_continuum_K24_tight,7.66,0.10260950065130475,0.0004970210033289999,-1.7468521937292024e-05,0.8222137023067091
reference_continuum_K24_tight,7.68,0.11674138867953499,0.00043673335323005113,-1.637767934462581e-05,0.8222137023067052
reference_continuum_K24_tight,7.7,0.1307794073802073,0.00037453568804789487,-1.5118307085464716e-05,0.8222137023067028
reference_continuum_K24_tight,7.72,0.14471213292338442,0.00031061179821327816,-1.3703602761318045e-05,0.8222137023067128
reference_continuum_K24_tight,7.74,0.15852818144402822,0.000245137801106387,-1.2148275707121234e-05,0.8222137023067052
reference_continuum_K24_tight,7.76,0.17221621465748524,0.00017828031669389778,-1.0468369697997383e-05,0.8222137023067018
reference_continuum_K24_tight,7.78,0.18576494583254236,0.0001101948113133686,-8.681072467872061e-06,0.8222137023067141
reference_continuum_K24_tight,7.8,0.19916314614549208,4.102412522591602e-05,-6.804514211540963e-06,0.8222137023067048
reference_continuum_K24_tight,7.82,0.21239965143562586,-2.910280198833206e-05,-4.85755732437739e-06,0.8222137023067018
reference_continuum_K24_tight,7.84,0.2254633693790235,-0.00010007199604539609,-2.8595797214387895e-06,0.822213702306714
reference_continuum_K24_tight,7.86,0.23834328709417144,-0.00017178529209884973,-8.302540648692908e-07,0.8222137023067049
reference_continuum_K24_tight,7.88,0.25102847918920596,-0.0002441609498269125,1.2106747414898966e-06,0.822213702306703
reference_continuum_K24_tight,7.9,0.26350811625647486,-0.00031713403320518334,3.2436114319510548e-06,0.8222137023067104
reference_continuum_K24_tight,7.92,0.2757714738162874,-0.0003906565505297122,5.249329335766578e-06,0.8222137023067052
reference_continuum_K24_tight,7.94,0.28780794170757373,-0.0004646973524435728,7.209184133854463e-06,0.8222137023067052
reference_continuum_K24_tight,7.96,0.29960703391860516,-0.0005392417882788159,9.105320228889133e-06,0.8222137023067039
reference_continuum_K24_tight,7.98,0.3111583988469529,-0.0006142911229023469,1.0920867619609828e-05,0.8222137023067052
reference_continuum_K24_tight,8.0,0.32245182997331306,-0.0006898617186972583,1.2640127254487937e-05,0.8222137023067049
reference_continuum_K24_tight,8.02,0.3334772769293841,-0.0007659839897226155,1.4248742987070373e-05,0.8222137023067094
reference_continuum_K24_tight,8.040000000000001,0.3442248569357617,-0.0008427011371176662,1.5733858340993042e-05,0.8222137023066901
reference_continuum_K24_tight,8.06,0.3546848665813033,-0.0009200676773592773,1.7084256503249967e-05,0.8222137023067042
reference_continuum_K24_tight,8.08,0.3648477939116419,-0.000998147776608173,1.8290481965116264e-05,0.8222137023067138
reference_continuum_K24_tight,8.1,0.37470433078971066,-0.001077013407310058,1.9344942626163248e-05,0.8222137023066843
reference_continuum_K24_tight,8.120000000000001,0.38424538548800796,-0.0011567423443493558,2.0241991138257738e-05,0.8222137023067048
reference_continuum_K24_tight,8.14,0.3934620954682062,-0.0012374160203662784,2.0977984498846225e-05,0.8222137023067136
reference_continuum_K24_tight,8.16,0.4023458403002299,-0.0013191172616296657,2.155132122560816e-05,0.8222137023066853
reference_continuum_K24_tight,8.18,0.4108882546699928,-0.0014019279271022395,2.1962455468789614e-05,0.8222137023067048
reference_continuum_K24_tight,8.2,0.4190812414219583,-0.0014859264749419812,2.2213887689575284e-05,0.8222137023067133
reference_continuum_K24_tight,8.22,0.42691698458021954,-0.0015711854817836695,2.231013183064582e-05,0.8222137023066874
reference_continuum_K24_tight,8.24,0.4343879622897443,-0.0016577691410284813,2.225765900603276e-05,0.8222137023067042
reference_continuum_K24_tight,8.26,0.44148695961765994,-0.0017457307671814716,2.2064818006613906e-05,0.8222137023067113
reference_continuum_K24_tight,8.28,0.44820708115326846,-0.0018351103336125775,2.174173321813642e-05,0.8222137023066945
reference_continuum_K24_tight,8.3,0.4545417633446737,-0.0019259320713838379,2.1300180687437796e-05,0.8222137023067051
reference_continuum_K24_tight,8.32,0.4604847865095649,-0.002018202156725866,2.07534433555732e-05,0.8222137023067048
reference_continuum_K24_tight,8.34,0.4660302864580216,-0.0021119065142685884,2.0116146745209996e-05,0.8222137023067037
reference_continuum_K24_tight,8.36,0.47117276566578203,-0.002207008762640927,1.940407656774201e-05,0.8222137023067084
reference_continuum_K24_tight,8.38,0.47590710393774166,-0.002303448328047922,1.863397999002797e-05,0.8222137023066936
reference_continuum_K24_tight,8.4,0.48022856850319456,-0.0024011387502205555,1.782335251765913e-05,0.8222137023067043
reference_continuum_K24_tight,8.42,0.4841328234864877,-0.002499966203801916,1.69902126510653e-05,0.822213702306714
reference_continuum_K24_tight,8.44,0.48761593869965825,-0.0025997882563174833,1.615286670073212e-05,0.8222137023066831
reference_continuum_K24_tight,8.46,0.49067439770677423,-0.002700432882020331,1.5329666310717682e-05,0.8222137023067048
reference_continuum_K24_tight,8.48,0.49330510511324205,-0.0028016977488480475,1.453876140872583e-05,0.8222137023067199
reference_continuum_K24_tight,8.5,0.4955053930378083,-0.0029033497929359243,1.3797851462165945e-05,0.8222137023066739
reference_continuum_K24_tight,8.52,0.49727302672917845,-0.003005125092874729,1.3123938005074e-05,0.8222137023067054
reference_continuum_K24_tight,8.540000000000001,0.49860620929393484,-0.00310672905325369,1.253308151038861e-05,0.822213702306733
reference_continuum_K24_tight,8.56,0.49950358550810176,-0.0032078369035988064,1.2040165721191417e-05,0.8222137023066536
reference_continuum_K24_tight,8.58,0.49996424468970013,-0.003308094516305113,1.1658672552167823e-05,0.8222137023067103
reference_continuum_K24_tight,8.6,0.4999877226149846,-0.003407119544380657,1.1400470706303968e-05,0.8222137023067556
reference_continuum_K24_tight,8.620000000000001,0.4995740024678844,-0.003504502875665205,1.1275620993743483e-05,0.8222137023066942
reference_continuum_K24_tight,8.64,0.4987235148169809,-0.0035998103982076844,1.1292201289532785e-05,0.822213702306649
reference_continuum_K24_tight,8.66,0.4974371366206561,-0.003692585068028706,1.1456153933857831e-05,0.822213702306707
reference_continuum_K24_tight,8.68,0.49571618926716615,-0.003782349267288355,1.1771158113118746e-05,0.8222137023067697
reference_continuum_K24_tight,8.700000000000001,0.493562435662118,-0.003868607438135132,1.223852956179668e-05,0.8222137023065861
reference_continuum_K24_tight,8.72,0.4909780763817114,-0.003950848974591243,1.285714955076343e-05,0.8222137023067055
reference_continuum_K24_tight,8.74,0.4879657449144663,-0.0040285513531915385,1.362342512126044e-05,0.8222137023067283
reference_continuum_K24_tight,8.76,0.4845285020220761,-0.004101183478455714,1.453128156681755e-05,0.8222137023066621
reference_continuum_K24_tight,8.78,0.4806698292521317,-0.004168209219554421,1.5572188386887357e-05,0.8222137023067048
reference_continuum_K24_tight,8.8,0.4763936216418712,-0.004229091111002026,1.6735219191579975e-05,0.8222137023067176
reference_continuum_K24_tight,8.82,0.4717041796563625,-0.004283294188674962,1.8007145540606265e-05,0.8222137023066768
reference_continuum_K24_tight,8.84,0.4666062004077956,-0.004330289931428335,1.9372564427362064e-05,0.8222137023067043
reference_continuum_K24_tight,8.86,0.4611047682064794,-0.004369560277040451,2.0814058548296227e-05,0.822213702306715
reference_continuum_K24_tight,8.88,0.4552053444973305,-0.00440060168029726,2.2312387942100298e-05,0.8222137023066804
reference_continuum_K24_tight,8.9,0.4489137572378357,-0.004422929180617258,2.3846711233612015e-05,0.822213702306704
reference_continuum_K24_tight,8.92,0.4422361897756958,-0.00443608044614612,2.539483420610662e-05,0.8222137023067124
reference_continuum_K24_tight,8.94,0.43517916928611594,-0.004439619761268548,2.693348290407115e-05,0.8222137023066906
reference_continuum_K24_tight,8.96,0.4277495548294595,-0.004433141924819186,2.8438598158884638e-05,0.8222137023067045
reference_continuum_K24_tight,8.98,0.41995452509071757,-0.00441627602673722,2.9885647988027716e-05,0.8222137023067058
reference_continuum_K24_tight,9.0,0.4118015658623405,-0.004388689071857146,3.1249953945628096e-05,0.822213702306704
reference_continuum_K24_tight,9.02,0.40329845733143765,-0.004350089420539379,3.250702726613323e-05,0.8222137023067067
reference_continuum_K24_tight,9.040000000000001,0.39445326123155466,-0.004300230017218955,3.363291035198657e-05,0.8222137023066974
reference_continuum_K24_tight,9.06,0.3852743079178775,-0.004238911379572411,3.460451898891292e-05,0.8222137023067045
reference_continuum_K24_tight,9.08,0.3757701834229361,-0.004165984322669517,3.5399980549021046e-05,0.8222137023067091
reference_continuum_K24_tight,9.1,0.3659497165477733,-0.004081352394597553,3.599896338552696e-05,0.8222137023066929
reference_continuum_K24_tight,9.120000000000001,0.355821966040972,-0.00398497400212149,3.638299264976136e-05,0.822213702306704
reference_continuum_K24_tight,9.14,0.3453962079151591,-0.0038768642070858414,3.6535747816139465e-05,0.8222137023067092
reference_continuum_K24_tight,9.16,0.33468192294737115,-0.003757096177017125,3.644333740564183e-05,0.8222137023066941
reference_continuum_K24_tight,9.18,0.323688784406327,-0.0036258022756111485,3.609454660171162e-05,0.8222137023067037
reference_continuum_K24_tight,9.200000000000001,0.3124266460460426,-0.0034831747812910496,3.548105370559945e-05,0.8222137023067082
reference_continuum_K24_tight,9.22,0.3009055304012857,-0.0033294662251333973,3.459761184506379e-05,0.8222137023066965
reference_continuum_K24_tight,9.24,0.2891356174164831,-0.003164989341703868,3.3442192695461275e-05,0.8222137023067037
reference_continuum_K24_tight,9.26,0.27712723343569307,-0.0029901166289396045,3.201608939560378e-05,0.8222137023067072
reference_continuum_K24_tight,9.28,0.26489084057681933,-0.0028052795165264617,3.0323976544116338e-05,0.8222137023066997
reference_continuum_K24_tight,9.3,0.25243702650921973,-0.0026109671443711123,2.8373925613939958e-05,0.8222137023067037
reference_continuum_K24_tight,9.32,0.23977649464979678,-0.0024077247549984357,2.617737457508668e-05,0.822213702306703
reference_continuum_K24_tight,9.34,0.22692005478787047,-0.0021961517075997933,2.3749051572069253e-05,0.8222137023067085
reference_continuum_K24_tight,9.36,0.21387861414557524,-0.0019768991225404004,2.1106852720333727e-05,0.8222137023067052
reference_continuum_K24_tight,9.38,0.20066316887619418,-0.001750667168019481,1.8271674869505255e-05,0.822213702306703
reference_continuum_K24_tight,9.4,0.18728479599861375,-0.0015182020034488976,1.5267205036761605e-05,0.8222137023067003
reference_continuum_K24_tight,9.42,0.17375464576259872,-0.0012802923953443548,1.2119668528896577e-05,0.8222137023067222
reference_continuum_K24_tight,9.44,0.16008393443547334,-0.0010377660245401105,8.857538701700974e-06,0.822213702306704
reference_continuum_K24_tight,9.46,0.14628393749771523,-0.0007914855043958059,5.511211525919564e-06,0.822213702306697
reference_continuum_K24_tight,9.48,0.13236598323083704,-0.0005423441329761695,2.1126491757505628e-06,0.8222137023067244
reference_continuum_K24_tight,9.5,0.11834144667844822,-0.0002912614024623074,-1.305003125950261e-06,0.8222137023067039
reference_continuum_K24_tight,9.52,0.10422174395813978,-3.9178291216226816e-05,-4.707822095605077e-06,0.8222137023066981
reference_continuum_K24_tight,9.540000000000001,0.09001832689877659,0.00021294763431131008,-8.061527843430023e-06,0.8222137023067222
reference_continuum_K24_tight,9.56,0.07574267797573704,0.0004641472801208417,-1.133191633068322e-05,0.8222137023067042
reference_continuum_K24_tight,9.58,0.0614063055140692,0.00071344521839819,-1.4485296971572323e-05,0.8222137023066984
reference_continuum_K24_tight,9.6,0.0470207391274419,0.0009598649841645913,-1.7488929406632753e-05,0.8222137023067208
reference_continuum_K24_tight,9.620000000000001,0.03259752535917191,0.001202434444069182,-2.03114534433864e-05,0.822213702306704
reference_continuum_K24_tight,9.64,0.018148223489986837,0.001440191205681943,-2.292330609428622e-05,0.8222137023066984
reference_continuum_K24_tight,9.66,0.0036844014758445343,0.00167218803519404,-2.5297119830729007e-05,0.8222137023067208
reference_continuum_K24_tight,9.68,-0.010782368021683163,0.0018974982512011173,-2.7408096309041728e-05,0.8222137023067043
reference_continuum_K24_tight,9.700000000000001,-0.025240511550796443,0.0021152210619376985,-2.9234350047733663e-05,0.8222137023066988
reference_continuum_K24_tight,9.72,-0.039678458769359784,0.0023244868134737985,-3.075721702918189e-05,0.8222137023067198
reference_continuum_K24_tight,9.74,-0.054084646368174685,0.002524462116486277,-3.196152350768158e-05,0.8222137023067045
reference_continuum_K24_tight,9.76,-0.06844752205640052,0.0027143548194436566,-3.283581078890885e-05,0.8222137023066994
reference_continuum_K24_tight,9.78,-0.08275554864748647,0.0028934187967986696,-3.337251249613005e-05,0.8222137023067173
reference_continuum_K24_tight,9.8,-0.09699720828328318,0.00306095852123939,-3.3568081288493326e-05,0.8222137023067045
reference_continuum_K24_tight,9.82,-0.11116100683308076,0.0032163333898360953,-3.34230626925892e-05,0.8222137023067009
reference_continuum_K24_tight,9.84,-0.12523547850301858,0.0033589617752600893,-3.294211461329029e-05,0.8222137023067129
reference_continuum_K24_tight,9.86,-0.13920919068982973,0.0034883247741089307,-3.213397164266183e-05,0.8222137023067042
reference_continuum_K24_tight,9.88,-0.1530707491111507,0.003603969625749741,-3.1011354114639696e-05,0.8222137023067027
reference_continuum_K24_tight,9.9,-0.16680880324244038,0.0037055127769400507,-2.9590822778344177e-05,0.8222137023067089
reference_continuum_K24_tight,9.92,-0.18041205208838418,0.0037926425688250102,-2.789258057449689e-05,0.8222137023067042
reference_continuum_K24_tight,9.94,-0.19386925031401972,0.003865121524879411,-2.5940223846434755e-05,0.8222137023067043
reference_continuum_K24_tight,9.96,-0.20716921475797637,0.003922788220624692,-2.3760446134541873e-05,0.8222137023067058
reference_continuum_K24_tight,9.98,-0.2203008313472468,0.003965558717845551,-2.1382698307248898e-05,0.8222137023067039
reference_continuum_K24_tight,10.0,-0.23325306242961438,0.003993427548547929,-1.8838809514972862e-05,0.8222137023067052
reference_continuum_K24_tight,10.02,-0.2460149545363077,0.004006468236495437,-1.616257407010431e-05,0.8222137023067045
reference_continuum_K24_tight,10.040000000000001,-0.2585756465838991,0.004004833346618465,-1.3389309854854567e-05,0.822213702306704
reference_continuum_K24_tight,10.06,-0.2709243785205115,0.003988754055562216,-1.0555394361397372e-05,0.8222137023067048
reference_continuum_K24_tight,10.08,-0.28305050041743907,0.003958539239511265,-7.697784828007043e-06,0.8222137023067049
reference_continuum_K24_tight,10.1,-0.294943482003145,0.0039145740783736414,-4.85352922055017e-06,0.8222137023067042
reference_continuum_K24_tight,10.120000000000001,-0.3065929226323422,0.003857318178650923,-2.0592749986339644e-06,0.8222137023067051
reference_continuum_K24_tight,10.14,-0.31798856167853234,0.0037873032204217786,6.492173152353429e-07,0.8222137023067028
reference_continuum_K24_tight,10.16,-0.3291202893339747,0.003705130137330102,3.2375487854155266e-06,0.8222137023067037
reference_continuum_K24_tight,10.18,-0.3399781577968163,0.0036114658411374495,5.673138034660268e-06,0.82221370230671
reference_continuum_K24_tight,10.200000000000001,-0.3505523928203962,0.003507039506761492,7.925651956006e-06,0.8222137023066921
reference_continuum_K24_tight,10.22,-0.3608334055957233,0.0033926384360859936,9.967404907205939e-06,0.8222137023067039
reference_continuum_K24_tight,10.24,-0.3708118049338536,0.003269103522083229,1.1773720433899888e-05,0.8222137023067121
reference_continuum_K24_tight,10.26,-0.3804784097104213,0.003137324338988518,1.3323250401495765e-05,0.8222137023066883
reference_continuum_K24_tight,10.28,-0.3898242615310773,0.0029982338860916747,1.4598246773771685e-05,0.822213702306704
reference_continuum_K24_tight,10.3,-0.3988406375725851,0.002852803016220665,1.5584782002308494e-05,0.8222137023067121
reference_continuum_K24_tight,10.32,-0.40751906355075557,0.0027020345831334012,1.6272915005143522e-05,0.8222137023066899
reference_continuum_K24_tight,10.34,-0.4158513267633795,0.0025469573439541875,1.6656800248951165e-05,0.822213702306704
reference_continuum_K24_tight,10.36,-0.42382948915324703,0.002388619655559237,1.6734738397436446e-05,0.8222137023067092
reference_continuum_K24_tight,10.38,-0.4314459003338472,0.0022280830060446,1.6509168053566794e-05,0.822213702306697
reference_continuum_K24_tight,10.4,-0.43869321051821697,0.0020664154239657634,1.5986598789140666e-05,0.8222137023067052
reference_continuum_K24_tight,10.42,-0.44556438328964504,0.0019046848098163884,1.5177486674430106e-05,0.8222137023067019
reference_continuum_K24_tight,10.44,-0.4520527081517024,0.0017439522353794588,1.4096054466332474e-05,0.822213702306704
reference_continuum_K24_tight,10.46,-0.4581518127942646,0.0015852652574349512,1.2760059335164172e-05,0.8222137023067094
reference_continuum_K24_tight,10.48,-0.46385567501193153,0.0014296512928478602,1.1190511920844077e-05,0.8222137023066908
reference_continuum_K24_tight,10.5,-0.46915863421152143,0.0012781111021261534,9.411351224515344e-06,0.8222137023067043
reference_continuum_K24_tight,10.52,-0.474055402445991,0.0011316124283751057,7.44908047434033e-06,0.8222137023067136
reference_continuum_K24_tight,10.540000000000001,-0.47854107491361797,0.0009910838377183622,5.332369769875906e-06,0.8222137023066843
reference_continuum_K24_tight,10.56,-0.482611139863025,0.0008574088062628608,3.0916317202933894e-06,0.8222137023067039
reference_continuum_K24_tight,10.58,-0.4862614878469557,0.0007314200973201936,7.585766974155534e-07,0.8222137023067128
reference_continuum_K24_tight,10.6,-0.4894884202708755,0.0006138944703204542,-1.6342453653644398e-06,0.8222137023066938
reference_continuum_K24_tight,10.620000000000001,-0.4922886571856266,0.0005055477609358112,-4.053909610009959e-06,0.8222137023067054
reference_continuum_K24_tight,10.64,-0.49465934427733077,0.0004070303691963799,-6.4675802209463725e-06,0.8222137023067031
reference_continuum_K24_tight,10.66,-0.49659805901225346,0.0003189231890872419,-8.84296672720928e-06,0.822213702306703
reference_continuum_K24_tight,10.68,-0.4981028158988164,0.00024173401019275437,-1.1148765833946886e-05,0.8222137023067112
reference_continuum_K24_tight,10.700000000000001,-0.49917207083427745,0.00017589441802802,-1.335508229273289e-05,0.8222137023066889
reference_continuum_K24_tight,10.72,-0.49980472450901703,0.00012175721581132842,-1.5433822758281948e-05,0.8222137023067043
reference_continuum_K24_tight,10.74,-0.500000124846899,7.959438662985126e-05,-1.7359057039346192e-05,0.8222137023067185
reference_continuum_K24_tight,10.76,-0.4997580684664272,4.959561012122279e-05,-1.9107341838895117e-05,0.8222137023066755
reference_continuum_K24_tight,10.78,-0.49907880115328335,3.186734370503652e-05,-2.065800271418104e-05,0.8222137023067058
reference_continuum_K24_tight,10.8,-0.49796301734086285,2.6432474143975808e-05,-2.199337065107356e-05,0.8222137023067293
reference_continuum_K24_tight,10.82,-0.4964118586021789,3.323053972622156e-05,-2.3098970629735808e-05,0.8222137023066629
reference_continuum_K24_tight,10.84,-0.4944269111622102,5.211851957860565e-05,-2.3963660229445738e-05,0.8222137023067058
reference_continuum_K24_tight,10.86,-0.4920102024457612,8.287218231490943e-05,-2.457971707764087e-05,0.8222137023067283
reference_continuum_K24_tight,10.88,-0.48916419668263356,0.00012518798042714205,-2.494287512419849e-05,0.8222137023066813
reference_continuum_K24_tight,10.9,-0.48589178959676377,0.00017868547405437322,-2.5052310193619827e-05,0.8222137023067037
reference_continuum_K24_tight,10.92,-0.48219630221178716,0.0002429102630873975,-2.4910576187157255e-05,0.8222137023067113
reference_continuum_K24_tight,10.94,-0.4780814738109933,0.0003173374020931616,-2.452349422360603e-05,0.8222137023066997
reference_continuum_K24_tight,10.96,-0.4735514540938594,0.0004013752698889695,-2.3899997463563233e-05,0.8222137023067039
reference_continuum_K24_tight,10.98,-0.46861079457608534,0.0004943698616633859,-2.305193514966646e-05,0.8222137023067098
reference_continuum_K24_tight,11.0,-0.4632644392839387,0.0005956094686218576,-2.1993839932984948e-05,0.8222137023066941
reference_continuum_K24_tight,11.02,-0.4575177147971401,0.0007043297075612164,-2.0742663011207387e-05,0.8222137023067043
reference_continuum_K24_tight,11.040000000000001,-0.45137631969743724,0.0008197188605253024,-1.9317481980714927e-05,0.8222137023067113
reference_continuum_K24_tight,11.06,-0.44484631348259007,0.0009409234825841365,-1.77391866439301e-05,0.8222137023066864
reference_continuum_K24_tight,11.08,-0.4379341050072508,0.0010670542344681784,-1.6030148156653592e-05,0.8222137023067045
reference_continuum_K24_tight,11.1,-0.43064644051359263,0.001197191895683481,-1.4213877000103992e-05,0.8222137023067125
reference_continuum_K24_tight,11.120000000000001,-0.42299039131547594,0.001330393512800105,-1.2314675304769845e-05,0.8222137023066868
reference_continuum_K24_tight,11.14,-0.4149733412000488,0.0014656986375858787,-1.0357288895283436e-05,0.822213702306704
reference_continuum_K24_tight,11.16,-0.40660297361047676,0.001602135609615168,-8.36656427915546e-06,0.8222137023067092
reference_continuum_K24_tight,11.18,-0.3978872586728138,0.001738727838367639,-6.367115532346638e-06,0.8222137023066987
reference_continuum_K24_tight,11.200000000000001,-0.38883444012861834,0.0018745000408375472,-4.383005673719182e-06,0.8222137023067052
