mG_eV,rH,sigma,phase,M_vector_eV,mKK_eV,tau,A,c,D,min_mass2,max_mass2,axis_budget,budget,signed,signed_chi,signed_with_valley,valley_energy,radial_mass,min_schur,formal_net_c,soft_fraction,metric_fraction,FT_ratio,FZ_ratio,hierarchy,perturbativity,stable,asymptotic_mass2,asymptotic_positive,mass_scale,source_ratio,persist_ratio,contact_ratio,Btree_ratio,B5d_ratio,valley_ratio,necessary
1e-12,100,0,zero,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238902206e-39,7.394172325623681e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,0.0,6.928203230275509e-12,9.993840238902206e-39,5.203165184723636e-30,5.283877410568906e-76,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,0.0,True
1e-12,100,0,quadrature,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238902206e-39,7.394172325623681e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,6.772403623718034e-46,6.928203230275509e-12,9.993840238902206e-39,5.203165184723636e-30,5.283877410568906e-76,2.602384219080205e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,3.4554460779115955e-59,True
1e-12,100,0,pi,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238902206e-39,7.394172325623681e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,0.0,6.928203230275509e-12,9.993840238902206e-39,5.203165184723636e-30,5.283877410568906e-76,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,0.0,True
1e-12,100,1,zero,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,2.601582592361818e-28,9.993840238902206e-39,7.394172325623681e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238902206e-39,-2.5495509405145816e-28,1.232362054270615e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,2.1116772651660455e-21,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,100,1,quadrature,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,2.601582592361818e-28,9.993840238902206e-39,7.394172325623681e-37,0.00025330459865662074,0.00025330459865662074,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,6.772403623718034e-46,6.928203230275509e-12,9.993840238902206e-39,-2.5495509405145816e-28,1.232362054270615e-59,2.602384219080205e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,2.1116772651660455e-21,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,3.4554460779115955e-59,True
1e-12,100,1,pi,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,2.601582592361818e-28,9.993840238902206e-39,7.394172325623681e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238902206e-39,-2.5495509405145816e-28,1.232362054270615e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,2.1116772651660455e-21,0.0002533045986560875,0.0,0.0,0.0,True
1e-06,0,-1,zero,1000000000000.0,100000000000000.0,0.0,4.335970987269697e-31,5.203165184723636e-30,0.0,9.983433908532248e-39,7.394068262319982e-37,0.0002533045990246428,0.0002533045990246428,0.0002533045990246428,0.0002533045990246428,0.0002533045990246428,0.0,6.928203230275509e-06,9.983433908532248e-39,5.203165184723636e-30,1.2324140859224598e-59,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,-1.0406330369447272e-41,False,7.394276388927371e-37,4.223354530332092e-11,0.0,0.0002533045986560875,0.0,0.0,0.0,False
1e-06,0,-1,quadrature,1000000000000.0,100000000000000.0,0.0,4.335970987269697e-31,5.203165184723636e-30,0.0,9.983433908532248e-39,7.394068262319982e-37,0.00025330531500817764,0.00025330531500817764,0.00025330464385865534,0.0002533045990246428,0.00025330464385865534,6.7794629051389165e-34,6.928203230275509e-06,9.983433908532248e-39,5.203165184723636e-30,1.2324140859224598e-59,2.6050968398258756e-17,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,-1.0406330369447272e-41,False,7.394276388927371e-37,4.223354530332092e-11,0.0,0.0002533046431546227,6.486026284518145e-33,1.1919444343480163e-08,7.066639731845572e-37,False
1e-06,0,-1,pi,1000000000000.0,100000000000000.0,0.0,4.335970987269697e-31,5.203165184723636e-30,0.0,9.983433908532248e-39,7.394068262319982e-37,0.0002533045990246428,0.0002533045990246428,0.0002533045990246428,0.0002533045990246428,0.0002533045990246428,0.0,6.928203230275509e-06,9.983433908532248e-39,5.203165184723636e-30,1.2324140859224598e-59,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,-1.0406330369447272e-41,False,7.394276388927371e-37,4.223354530332092e-11,0.0,0.0002533045986560875,0.0,0.0,0.0,False
1e-06,0,0,zero,1000000000000.0,100000000000000.0,0.0,4.335970987269697e-31,5.203165184723636e-30,0.0,9.983433908532248e-39,7.394068262319982e-37,4.223354530332092e-11,4.223354530332092e-11,4.223354530332092e-11,4.223354530332092e-11,4.223354530332092e-11,0.0,6.928203230275509e-06,9.983433908532248e-39,5.203165184723636e-30,5.2838774105689066e-64,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,-1.0406330369447272e-41,False,7.394276388927371e-37,4.223354530332092e-11,0.0,0.0,0.0,0.0,0.0,False
