mG_eV,a,phase,mu_factor,scheme,eta,scalar_CW_clockoff_eV4,max_abs_delta,max_abs_delta_kinetic,min_f,min_D,max_tree_force_ratio,max_charged_force_ratio,max_modulus_force_ratio,max_selected_force_ratio,max_selected_index,max_component_sum_ratio,max_component_sum_index,max_selected_x_ratio,max_selected_y_ratio,min_modulus_mass_eV,max_H_over_modulus_mass,max_mass_over_geometric_marker,geometric_marker_eV,max_d_over_s,max_B_over_s,min_scalar_over_fermion_mass2,max_Fcomp_abs_eV,max_above_threshold_AMSB_abs_eV,selected_budget_pass,component_sum_budget_pass
1.7782794100389227e-06,0.1,zero,1.0,tree_eta,2.238361959914375e-55,-1.0942687833372481e-24,3.739731944558653e-55,4.53467955166568e-58,1.0,1.0,1.424918274791363e-27,3.7252734392199947e-35,8.256066930998567e-41,1.4249183120440147e-27,1024,1.4249183120441799e-27,1024,1.4249183120440147e-27,0.0,3.8960149857011875e-06,2.4767800400467143e-27,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,7.960865971060204e-61,9.245827220989162e-64,True,True
3.162277660168379e-06,0.1,zero,1.0,tree_eta,7.0783220212079365e-56,-1.0942687833372482e-23,1.1826070783295878e-55,1.4339915842254742e-58,1.0,1.0,8.012904309341208e-28,3.7252734392199936e-35,4.642727618837954e-40,8.01290468186391e-28,1024,8.012904681873195e-28,1024,8.01290468186391e-28,0.0,6.928203230275509e-06,1.3927957699248752e-27,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.476723919828749e-61,5.199310731932046e-64,True,True
5.623413251903491e-06,0.1,zero,1.0,tree_eta,2.2383619599143744e-56,-1.0942687833372487e-22,3.739731944558652e-56,4.5346795516656795e-59,1.0,1.0,4.505987227938393e-28,3.7252734392199936e-35,2.6107976016751693e-39,4.50598760043963e-28,1024,4.505987600491845e-28,1024,4.50598760043963e-28,0.0,1.2320281152964094e-05,7.832266189790668e-28,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.5174468615878327e-61,2.9237872870710705e-64,True,True
9.999999999999999e-06,0.1,zero,1.0,tree_eta,7.078322021207938e-57,-1.094268783337248e-21,1.1826070783295881e-56,1.4339915842254744e-59,1.0,1.0,2.5339028290496637e-28,3.7252734392199936e-35,1.468159383129799e-38,2.533903201430191e-28,1024,2.5339032017238235e-28,1024,2.533903201430191e-28,0.0,2.1908902300206645e-05,4.404406948410451e-28,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-61,1.644166417586242e-64,True,True
1.778279410038923e-05,0.1,zero,1.0,tree_eta,2.2383619599143747e-57,-1.0942687833372485e-20,3.7397319445586527e-57,4.53467955166568e-60,1.0,1.0,1.4249182747913627e-28,3.7252734392199947e-35,8.25606693099857e-38,1.4249186464930998e-28,1024,1.4249186481443132e-28,1024,1.4249186464930998e-28,0.0,3.896014985701188e-05,2.4767800400467144e-28,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,7.960865971060202e-62,9.24582722098916e-65,True,True
3.1622776601683795e-05,0.1,zero,1.0,tree_eta,7.078322021207936e-58,-1.0942687833372486e-19,1.1826070783295879e-57,1.4339915842254738e-60,1.0,1.0,8.012904309341209e-29,3.7252734392199936e-35,4.642727618837954e-37,8.012907988187371e-29,1024,8.012908081041924e-29,1024,8.012907988187371e-29,0.0,6.92820323027551e-05,1.3927957699248753e-28,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.476723919828749e-62,5.199310731932047e-65,True,True
5.623413251903491e-05,0.1,zero,1.0,tree_eta,2.238361959914375e-58,-1.0942687833372482e-18,3.7397319445586534e-58,4.534679551665681e-61,1.0,1.0,4.505987227938394e-29,3.7252734392199936e-35,2.6107976016751683e-36,4.5059906921320727e-29,1024,4.5059912142915935e-29,1024,4.5059906921320727e-29,0.0,0.00012320281152964092,7.832266189790669e-29,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.5174468615878334e-62,2.9237872870710713e-65,True,True
0.0001,0.1,zero,1.0,tree_eta,7.078322021207936e-59,-1.0942687833372485e-17,1.1826070783295878e-58,1.4339915842254741e-61,1.0,1.0,2.533902829049663e-29,3.7252734392199936e-35,1.4681593831297996e-35,2.533905086163719e-29,1024,2.5339080224824854e-29,1024,2.533905086163719e-29,0.0,0.00021908902300206645,4.404406948410451e-29,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415873e-62,1.6441664175862417e-65,True,True
0.00017782794100389227,0.1,zero,1.0,tree_eta,2.2383619599143752e-59,-1.094268783337248e-16,3.7397319445586535e-59,4.534679551665681e-62,1.0,1.0,1.424918274791363e-29,3.7252734392199947e-35,8.256066930998568e-35,1.4249137439978714e-29,1024,1.424930256131733e-29,1024,1.4249137439978714e-29,0.0,0.00038960149857011873,2.4767800400467144e-29,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,7.960865971060204e-63,9.245827220989162e-66,True,True
0.00031622776601683794,0.1,zero,1.0,tree_eta,7.078322021207937e-60,-1.0942687833372486e-15,1.1826070783295878e-59,1.4339915842254741e-62,1.0,1.0,8.012904309341207e-30,3.7252734392199936e-35,4.642727618837954e-34,8.012477289313715e-30,1024,8.013405834837482e-30,1024,8.012477289313715e-30,0.0,0.0006928203230275509,1.3927957699248753e-29,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.4767239198287494e-63,5.199310731932047e-66,True,True
