label,epsilon,a,N,E,dlnE,t_Gyr,y,y_N,Delta,delta,comoving_radius_Mpc_h,physical_radius_Mpc_h,physical_radial_velocity_km_s,peculiar_radial_velocity_km_s
clock,0.0001,0.08120553073306196,-2.5107719216579216,24.312213424308073,-1.5000517404292282,0.39668962917021755,0.9055640252637284,-0.09814364257635423,1.34661211150496,0.3466121115049601,2.263910063159321,0.18384201821077248,398.51972865752447,-48.44090965205871
clock,0.0001,0.08126937485135075,-2.5099860264903553,24.28356909920013,-1.5000462318080754,0.3971588559895517,0.905486861559492,-0.09822786478441074,1.3469564072810147,0.34695640728101473,2.26371715389873,0.18397087793762873,398.28352252252256,-48.46343014136947
clock,0.0001,0.0813332691641448,-2.509200131322789,24.254958627541775,-1.5000407146062256,0.3976286362925362,0.905409631634789,-0.09831216498161649,1.3473011160571882,0.34730111605718816,2.263524079086973,0.18409981318390373,398.0473710828208,-48.485964128554585
clock,0.0001,0.08139721371090716,-2.5084142361552235,24.226381969366738,-1.500035188800024,0.3980989707232713,0.9053323354282957,-0.09839654325139854,1.3476462384600156,0.34764623846001563,2.2633308385707394,0.18422882396562917,397.8112742895164,-48.508511626339356
clock,0.0001,0.08146120853113215,-2.507628340987657,24.197839084749354,-1.5000296543659042,0.3985698599398876,0.905254972878622,-0.09848099967729179,1.3479917751172468,0.34799177511724677,2.263137432196555,0.1843579102987745,397.5752320935874,-48.531072647452675
clock,0.0001,0.08152525366434484,-2.5068424458200913,24.16932993381145,-1.500024111280245,0.3990413046013107,0.9051775439243127,-0.09856553434293842,1.3483377266578422,0.34833772665784224,2.2629438598107816,0.18448707219924557,397.3392444460057,-48.55364720464029
clock,0.0001,0.08158934915010153,-2.5060565506525254,24.140854476722033,-1.50001855951937,0.39951330536726487,0.9051000485038466,-0.09865014733208875,1.3486840937119813,0.3486840937119813,2.2627501212596166,0.18461630968288542,397.1033112977338,-48.57623531066487
clock,0.0001,0.08165349502798966,-2.505270655484959,24.112412673699687,-1.5000129990594984,0.39998586289346055,0.9050224865556368,-0.09873483872860117,1.349030876911062,0.34903087691106194,2.262556216389092,0.18474562276547382,396.86743259976447,-48.59883697831076
clock,0.0001,0.08171769133762766,-2.504484760317393,24.084004485021904,-1.500007429876562,0.4004589778132253,0.9049448580180302,-0.09881960861644212,1.3493780768877055,0.3493780768877055,2.2623621450450755,0.18487501146272667,396.63160830327564,-48.62145222040289
clock,0.0001,0.08178193811866517,-2.5036988651498273,24.055629871001507,-1.5000018519466838,0.40093265078402507,0.9048671628293079,-0.0989044570796866,1.3497256942757576,0.3497256942757576,2.2621679070732696,0.18500447579029647,396.3958383592433,-48.64408104975966
clock,0.0001,0.08184623541078309,-2.502912969982261,24.02728879199611,-1.4999962652459753,0.40140688246862294,0.9047894009276848,-0.09898938420251807,1.3500737297102943,0.35007372971029427,2.261973502319212,0.18513401576377173,396.1601227185984,-48.666723479211946
clock,0.0001,0.08191058325369334,-2.502127074814695,23.998981208410335,-1.4999906697504926,0.40188167353058335,0.9047115722513096,-0.09907439006922826,1.3504221838276211,0.35042218382762114,2.261778930628274,0.18526363139867671,395.92446133226287,-48.689379521607364
clock,0.0001,0.0819749816871392,-2.501341179647129,23.9707070806957,-1.4999850654362363,0.4023570246342748,0.9046336767382647,-0.09915947476421798,1.3507710572652794,0.35077105726527935,2.2615841918456616,0.1853933227104716,395.6888541511498,-48.71204918981068
clock,0.0001,0.08203943075089519,-2.500555284479563,23.942466369357632,-1.4999794522790164,0.40283293643089146,0.904555714326566,-0.0992446383719976,1.3511203506620466,0.3511203506620466,2.261389285816415,0.18552308971455211,395.45330112627994,-48.73473249671835
clock,0.0001,0.08210393048476701,-2.499769389311997,23.91425903495312,-1.4999738302545034,0.4033094095631293,0.9044776849541633,-0.09932988097718637,1.351470064657941,0.35147006465794095,2.261194212385408,0.18565293242624903,395.21780220874325,-48.75742945525341
clock,0.0001,0.08216848092859172,-2.498983494144431,23.886085038074427,-1.499968199338537,0.4037864446972593,0.9043995885589395,-0.09941520266451322,1.3518201998942228,0.35182019989422275,2.260998971397349,0.18578285086082857,394.982357349432,-48.78014007833297
clock,0.0001,0.08223308212223775,-2.4981975989768648,23.857944339360326,-1.499962559506903,0.40426404250070963,0.904321425078711,-0.09950060351881672,1.3521707570134005,0.3521707570134005,2.2608035626967777,0.18591284503349179,394.74696649922595,-48.80286437889094
clock,0.0001,0.08229773410560472,-2.497411703809299,23.829836899496314,-1.49995691073533,0.4047422036417155,0.9042431944512276,-0.09958608362504501,1.3525217366592301,0.35252173665923014,2.260607986128069,0.18604291495937436,394.51162960899705,-48.825602369878396
clock,0.0001,0.08236243691862377,-2.496625808641733,23.801762679214857,-1.4999512529994834,0.40522092878842325,0.904164896614172,-0.09967164306825621,1.3528731394767197,0.3528731394767197,2.26041224153543,0.1861730606535468,394.27634662961486,-48.84835406426454
clock,0.0001,0.0824271906012574,-2.4958399134741667,23.773721639307315,-1.4999455862747488,0.40570021858534505,0.9040865315051603,-0.0997572819336184,1.353224966112133,0.35322496611213294,2.2602163287629007,0.18630328213101388,394.04111751214487,-48.87111947506114
clock,0.0001,0.08249199519349946,-2.495054018306601,23.745713740604696,-1.4999399105365896,0.406180073691466,0.9040080990617415,-0.09984300030640962,1.3535772172129907,0.35357721721299074,2.260020247654354,0.18643357940671443,393.8059422075304,-48.89389861528318
clock,0.0001,0.08255685073537532,-2.494268123139035,23.717738943978613,-1.4999342257605177,0.40666049477809924,0.9039295992213976,-0.0999287982720185,1.3539298934280761,0.3539298934280761,2.259823998053494,0.18656395249552138,393.5708206666093,-48.916691497951106
clock,0.0001,0.08262175726694179,-2.4934822279714686,23.68979721034701,-1.4999285319219884,0.40714148251736965,0.9038510319215433,-0.10001467591594448,1.3542829954074356,0.3542829954074356,2.2596275798038583,0.1866944014122415,393.3357528402097,-48.939498136102735
clock,0.0001,0.08268671482828716,-2.4926963328039027,23.66188850067422,-1.499922828996399,0.4076230375822153,0.9037723970995262,-0.10010063332379829,1.3546365238023825,0.35463652380238253,2.2594309927488156,0.18682492617161506,393.10073867915116,-48.962318542793604
clock,0.0001,0.08275172345953122,-2.491910437636337,23.634012775973968,-1.4999171169590355,0.4081051606401484,0.9036936946926266,-0.10018667058130282,1.3549904792655,0.3549904792655001,2.2592342367315665,0.18695552678831567,392.86577813429585,-48.985152731103796
clock,0.0001,0.08281678320082542,-2.4911245424687705,23.606169997317334,-1.4999113957849424,0.40858785233736944,0.9036149246380571,-0.10027278777429109,1.3553448624506468,0.3553448624506468,2.2590373115951428,0.18708620327695044,392.6308711566824,-49.008000714153496
clock,0.0001,0.0828818940923526,-2.4903386473012046,23.578360125809127,-1.4999056654493246,0.40907111334563895,0.9035360868729634,-0.1003589849887065,1.3556996740129539,0.3556996740129539,2.2588402171824082,0.18721695565205912,392.3960176971344,-49.03086250505422
clock,0.0001,0.08294705617432731,-2.4895527521336387,23.550583122598507,-1.4998999259273598,0.4095549443409939,0.9034571813344229,-0.10044526231060481,1.3560549146088348,0.35605491460883476,2.2586429533360572,0.18734778392811446,392.1612177064366,-49.05373811693181
clock,0.0001,0.08301226948699572,-2.4887668569660724,23.5228389488806,-1.4998941771941674,0.4100393460002889,0.9033782079594458,-0.1005316198261534,1.3564105848959833,0.3564105848959833,2.2584455198986144,0.18747868811952192,391.92647113536344,-49.076627562929495
clock,0.0001,0.08307753407063556,-2.4879809617985065,23.495127565896627,-1.499888419224808,0.41052431900119707,0.9032991666849745,-0.10061805762163141,1.3567666855333798,0.35676668553337976,2.258247916712436,0.1876096682406192,391.6917779346811,-49.09953085620816
clock,0.0001,0.08314284996555629,-2.4871950666309406,23.467448934942023,-1.4998826519941517,0.4110098640057301,0.9032200574478833,-0.1007045757834304,1.3571232171812926,0.3571232171812926,2.258050143619708,0.18774072430567623,391.4571380552847,-49.12244800996386
clock,0.0001,0.0832082172120991,-2.4864091714633743,23.4398030173608,-1.4998768754769771,0.4114959816714031,0.9031408801849786,-0.10079117439805436,1.357480180501282,0.35748018050128194,2.2578522004624464,0.18787185632889516,391.222551448105,-49.14537903741618
clock,0.0001,0.08327363585063673,-2.485623276295809,23.41218977453199,-1.4998710896481797,0.4119826726780867,0.9030616348329993,-0.10087785355211981,1.3578375761562018,0.3578375761562018,2.257654087082498,0.18800306432440966,390.9880180638825,-49.16832395177976
clock,0.0001,0.0833391059215739,-2.4848373811282425,23.38460916788023,-1.499865294482597,0.41246993770657475,0.9029823213286153,-0.10096461333235643,1.3581954048102054,0.3581954048102054,2.2574558033215384,0.18813434830628536,390.75353785334636,-49.19128276628705
