T_K,nH_cm3,Lvol_erg_cm3_s,Lambda_per_nH_squared_erg_cm3_s,tcool_s,mu,tau_chem_s,L_excitation_HI_erg_cm3_s,L_excitation_HeII_erg_cm3_s,L_ionization_HI_erg_cm3_s,L_ionization_HeI_erg_cm3_s,L_ionization_HeII_erg_cm3_s,L_recombination_HII_erg_cm3_s,L_recombination_HeII_erg_cm3_s,L_recombination_HeIII_erg_cm3_s,L_dielectronic_HeII_erg_cm3_s,L_freefree_erg_cm3_s
89125.0938133746,1e-06,6.210997364245473e-35,6.210997364245473e-23,6.565388081487565e+17,0.5955787612088669,7.936408932571555e+17,7.315854705805343e-36,4.6935013616294135e-35,2.3753026130127137e-36,6.23029228956786e-37,1.9653015464658788e-36,1.0099760102223864e-36,3.0578586872841706e-38,2.0816719930620683e-37,8.150002473427806e-37,8.317498881756531e-37
94406.08762859226,1e-06,5.901525348240526e-35,5.901525348240527e-23,7.344185626089769e+17,0.5935441478953986,5.990238083915311e+17,6.662626891830275e-36,4.445843126466281e-35,2.2822111508270943e-36,5.373682624787085e-37,2.164442672545867e-36,1.0278930619394393e-36,2.279954495545902e-38,2.428450138729775e-37,7.373152032810089e-37,8.793204160116403e-37
100000.0,1e-06,5.435687640759855e-35,5.435687640759856e-23,8.468124688421012e+17,0.5919966008294552,4.434697582142632e+17,6.06509804815819e-36,4.047696049974746e-35,2.188783992204277e-36,4.506642445679756e-37,2.2785167627561776e-36,1.0442272336261406e-36,1.661665183442244e-38,2.7079168914949316e-37,6.413215607231238e-37,9.238957248312963e-37
105925.37251772897,1e-06,4.905408749546272e-35,4.9054087495462724e-23,9.958378166968013e+17,0.5908770656956703,3.25701340084641e+17,5.519374698481877e-36,3.587295178363342e-35,2.095760528470209e-36,3.7113391575964194e-37,2.3226895738813176e-36,1.0590921968927711e-36,1.1977725236394652e-38,2.9239791656904843e-37,5.431550448463158e-37,9.655541116917264e-37
112201.84543019629,1e-06,4.374544410325612e-35,4.3745444103256123e-23,1.184430629754198e+18,0.5900903191040687,2.3928746062656096e+17,5.0223033325049046e-36,3.125314074734312e-35,2.004034281175468e-36,3.0244119754977217e-37,2.3160712553589442e-36,1.0727468748713812e-36,8.615869498984826e-39,3.088410497368872e-37,4.523233889815416e-37,1.0049261062351228e-36
118850.22274370189,1e-06,3.878725717981536e-35,3.878725717981536e-23,1.4162989526583677e+18,0.5895449799902123,1.7683255439779082e+17,4.570614927785804e-36,2.6952819567264786e-35,1.91434847445887e-36,2.4519429088727223e-37,2.275470106623711e-36,1.0854582109627662e-36,6.222635306592021e-39,3.214061908512779e-37,3.72957247811619e-37,1.0427655278626648e-36
125892.54117941661,1e-06,3.433514482761965e-35,3.4335144827619655e-23,1.695831527878211e+18,0.5891682850261211,1.3189287419355435e+17,4.160808549452354e-36,2.3116365286713078e-35,1.827217723558519e-36,1.9844789788489544e-37,2.213517478104693e-36,1.09744410706657e-36,4.5298192012029105e-39,3.3118149241146462e-37,3.0589075875261425e-37,1.079741714474265e-36
133352.1432163324,1e-06,3.042616291202042e-35,3.0426162912020426e-23,2.0279948183133786e+18,0.5889072787805445,9.947980115013093e+16,3.7892943790465743e-36,1.9776404105127964e-35,1.7429538920726867e-36,1.606849695937598e-37,2.138956601624126e-36,1.1088633007033646e-36,3.3312349252410064e-39,3.3898858673819607e-37,2.5030589372310843e-37,1.1163799484653993e-36
141253.75446227554,1e-06,2.703652733457769e-35,2.703652733457769e-23,2.4182291753308785e+18,0.5887251437025719,7.594920382677446e+16,3.4525585448271416e-36,1.6908830087920298e-35,1.6617191148743177e-36,1.3032797634712128e-37,2.0575726999575608e-36,1.119823887234824e-36,2.4778238230347548e-39,3.4541269273541723e-37,2.0473518311297786e-37,1.1530693237449982e-36
149623.56560944326,1e-06,2.411605448296886e-35,2.411605448296886e-23,2.872346087853876e+18,0.5885968403160433,5.871404821978645e+16,3.1472774889096e-36,1.4465351657233284e-35,1.5835743681305837e-36,1.0595723204300298e-37,1.9730981456937332e-36,1.130395904310535e-36,1.8650947390879126e-39,3.5085832988378796e-37,1.6758506391296067e-37,1.1900911981122818e-36
158489.3192461114,1e-06,2.160669363879663e-35,2.160669363879663e-23,3.396425724579668e+18,0.5885054834339533,4.596033786955271e+16,2.870378551728994e-36,1.2390851870980105e-35,1.5085156403232722e-36,8.637740626689805e-38,1.887904417023319e-36,1.1406224861716426e-36,1.420803314208921e-39,3.556011083272698e-37,1.3737312134318872e-37,1.22764823331773e-36
167880.40181225588,1e-06,1.9451627174175786e-35,1.9451627174175785e-23,3.9967138250123894e+18,0.5884396923480437,3.6419959876529624e+16,2.6190618585049275e-36,1.0631816867267456e-35,1.4364985637991104e-36,7.06156449397361e-38,1.8034807787799194e-36,1.150528305715193e-36,1.0951960210374687e-39,3.598277236333846e-37,1.1281441507052612e-37,1.2658878204444955e-36
177827.94100389228,1e-06,1.7599213637508283e-35,1.7599213637508284e-23,4.679517776979828e+18,0.5883917635798499,2.920418858265426e+16,2.3907986391634248e-36,9.139917860422412e-36,1.3674544682475473e-36,5.789394889059473e-38,1.7207500040734963e-36,1.1601255360370918e-36,8.539411833996875e-40,3.636644783814496e-37,9.283549463554174e-38,1.304919266473324e-36
188364.9089489802,1e-06,1.6004277276563578e-35,1.6004277276563577e-23,5.45110273195677e+18,0.5883564455722503,2.368656563716216e+16,2.1833168315210187e-36,7.87312100770562e-36,1.3013006159801865e-36,4.759547212832647e-38,1.640271949198037e-36,1.1694179265277177e-36,6.732185624636533e-40,3.6719686212403005e-37,7.655754053179972e-38,1.3448258522843787e-36
199526.23149688786,1e-06,1.4628117986447987e-35,1.4628117986447986e-23,6.317589552861123e+18,0.5883301268456811,1.9422084069416656e+16,1.9945807762210906e-36,6.795619302126198e-36,1.2379466578219824e-36,3.9232823049421536e-38,1.5623736212041212e-36,1.1784035532057249e-36,5.3637561399356835e-40,3.7048275808768834e-37,6.326900323839242e-38,1.3856731158793784e-36
211348.90398366476,1e-06,1.3437963553452303e-35,1.3437963553452304e-23,7.284857129295632e+18,0.5883102997463695,1.6091839163571366e+16,1.822768957540091e-36,5.8772615040311255e-36,1.177298683368223e-36,3.242105647621857e-38,1.4872321602241846e-36,1.1870766707334529e-36,4.316684155098362e-40,3.735612943146925e-37,5.239706334617404e-38,1.4275144950026344e-36
223872.11385683378,1e-06,1.2406228735793762e-35,1.2406228735793762e-23,8.358452070372788e+18,0.5882952054541832,1.3465148824465918e+16,1.6662519447713514e-36,5.0928159939232254e-36,1.1192617524583367e-36,2.685572125848873e-38,1.4149279430126239e-36,1.195428966222249e-36,3.5073682661104193e-40,3.764587767841607e-37,4.348173337988045e-38,1.4703951671568312e-36
237137.37056616554,1e-06,1.1509756182194361e-35,1.1509756182194361e-23,9.54350896693628e+18,0.5882835977226583,1.1373544422719986e+16,1.5235716203829576e-36,4.421229736236041e-36,1.0637414690844158e-36,2.2295444016582594e-38,1.3454787573381007e-36,1.2034504173430355e-36,2.8757193694277573e-40,3.791926832444317e-37,3.615381038601788e-38,1.5143546722258374e-36
251188.6431509582,1e-06,1.072911622791941e-35,1.072911622791941e-23,1.084468429778002e+19,0.588274584498742,9692810113776724.0,1.3934221713763468e-36,3.8449513624380296e-36,1.0106449501290304e-36,1.8548282323920547e-38,1.2788619488155397e-36,1.2111298888453834e-36,2.3781286590519893e-40,3.817743697922382e-37,3.011672590825133e-38,1.5594287154247663e-36
