label,epsilon,a,N,E,dlnE,t_Gyr,y,y_N,Delta,delta,comoving_radius_Mpc_h,physical_radius_Mpc_h,physical_radial_velocity_km_s,peculiar_radial_velocity_km_s
reference,0.0,0.05383446103058014,-2.9218414772704673,45.062249041801344,-1.5021911215692758,0.21364507307702288,0.9381352908416264,-0.0630737907794759,1.2111657447308863,0.21116574473088634,2.345338227104066,0.12626001939056375,530.7033367148158,-38.25270706520927
reference,0.0,0.05387678391932435,-2.9210556189147865,45.009084076741296,-1.502187816228013,0.2138982210518776,0.938085703055286,-0.06312653267431037,1.211357823779069,0.21135782377906898,2.345214257638215,0.1263526018032928,530.4319001224974,-38.26958766544453
reference,0.0,0.05391914008093648,-2.9202697605591057,44.95598195312069,-1.5021845096981554,0.21415166804468222,0.9380360738032955,-0.06317932036497878,1.211550104114006,0.211550104114006,2.345090184508239,0.1264452461609289,530.1605436062487,-38.286476840613574
reference,0.0,0.05396152954157457,-2.919483902203425,44.90294259656409,-1.5021812019719234,0.21440541441152158,0.937986403049648,-0.06323215389620793,1.2117425859880016,0.21174258598800155,2.34496600762412,0.12653795249439712,529.8892671165565,-38.3033745977102
reference,0.0,0.05400395232741723,-2.918698043847744,44.849965932784336,-1.5021778930415237,0.21465946050891488,0.9379366907583017,-0.06328503331277407,1.2119352696537573,0.2119352696537573,2.344841726895754,0.12663072083461702,529.6180706039148,-38.320280943734765
reference,0.0,0.05404640846466362,-2.9179121854920638,44.79705188758418,-1.5021745828988993,0.21491380668777074,0.9378869368931797,-0.06333795865950306,1.2121281553643721,0.21212815536437213,2.3447173422329493,0.12672355121250245,529.3469540188446,-38.33719588569566
reference,0.0,0.054088897979533555,-2.917126327136383,44.744200386856214,-1.502171271535672,0.21516845329191417,0.9378371414181697,-0.06339092998127055,1.2123212433733448,0.2123212433733448,2.344592853545424,0.1268164436589619,529.0759173118958,-38.35411943060954
reference,0.0,0.05413142089826742,-2.916340468780702,44.69141135657799,-1.5021679589439823,0.21542340067858157,0.9377873042971243,-0.06344394732300192,1.212514533934572,0.21251453393457198,2.344468260742811,0.12690939820489805,528.8049604335888,-38.371051585497064
reference,0.0,0.05417397724712623,-2.9155546104250214,44.638684722814816,-1.5021646451159758,0.21567864920594693,0.9377374254938605,-0.06349701072967252,1.2127080273023532,0.21270802730235316,2.3443435637346512,0.1270024148812078,528.5340833344504,-38.387992357385556
reference,0.0,0.05421656705239165,-2.9147687520693406,44.58602041171987,-1.5021613300437853,0.21593419923262097,0.9376875049721604,-0.06355012024630759,1.2129017237313866,0.2129017237313866,2.3442187624304007,0.1270954937187824,528.2632859650155,-38.40494175330908
reference,0.0,0.05425919034036599,-2.9139828937136603,44.53341834953413,-1.502158013719521,0.21619005111747447,0.9376375426957699,-0.06360327591798229,1.2130956234767747,0.2130956234767747,2.3440938567394247,0.12718863474850706,527.9925682758274,-38.421899780308465
reference,0.0,0.05430184713737231,-2.9131970353579795,44.48087846258918,-1.5021546961347774,0.21644620520756633,0.9375875386284004,-0.06365647778982168,1.2132897267940206,0.21328972679402058,2.343968846571001,0.12728183800126136,527.7219302174734,-38.43886644543382
reference,0.0,0.05434453746975428,-2.9124111770022987,44.42840067730292,-1.5021513772813293,0.21670266185514814,0.9375374927337272,-0.06370972590700055,1.2134840339390323,0.21348403393903226,2.343843731834318,0.1273751035079188,527.4513717405341,-38.45584175574071
reference,0.0,0.0543872613638763,-2.9116253186466183,44.375984920178944,-1.5021480571512484,0.216959421420495,0.9374874049753902,-0.06376302031474339,1.2136785451681218,0.2136785451681218,2.3437185124384756,0.12746843129934673,527.180892795578,-38.47282571828972
reference,0.0,0.054430018846123585,-2.910839460290937,44.32363111780792,-1.5021447357365922,0.2172164842643217,0.9374372753169938,-0.06381636105832604,1.2138732607380058,0.21387326073800583,2.3435931882924845,0.1275618214064068,526.9104933331781,-38.48981834014875
reference,0.0,0.0544728099429019,-2.9100536019352568,44.27133919686795,-1.5021414130294033,0.2174738507477818,0.9373871037221069,-0.06386974818307421,1.2140681809058071,0.21406818090580715,2.343467759305267,0.127655273859954,526.640173303917,-38.506819628392286
reference,0.0,0.054515634680637984,-2.909267743579576,44.219109084124625,-1.50213808902161,0.2177315212300447,0.9373368901542625,-0.06392318173436412,1.2142633059290553,0.2142633059290553,2.343342225385656,0.12774878869083767,526.3699326583916,-38.52382959010219
reference,0.0,0.05455849308577922,-2.908481885223895,44.166940706434005,-1.5021347637046019,0.21798949605787105,0.9372866345769582,-0.0639766617576223,1.2144586360656866,0.2144586360656866,2.3432165864423955,0.1278423659299006,526.099771347246,-38.540848232369996
reference,0.0,0.05460138518479379,-2.907696026868215,44.114833990735754,-1.502131437070266,0.21824777559099473,0.9372363369536556,-0.06403018829832577,1.2146541715740464,0.21465417157404643,2.343090842384139,0.12793600560797933,525.8296893210934,-38.55787556229119
reference,0.0,0.05464431100417079,-2.9069101685125336,44.06278886405563,-1.5021281091105836,0.21850636019224648,0.9371859972477807,-0.06408376140200216,1.2148499127128891,0.2148499127128891,2.342964993119452,0.1280297077559042,525.5596865305477,-38.57491158696762
reference,0.0,0.05468727057041997,-2.9061243101568532,44.01080525350621,-1.502124779817521,0.21876525022489832,0.9371356154227238,-0.06413738111422941,1.215045859741378,0.21504585974137802,2.3428390385568094,0.12812347240449884,525.2897629262299,-38.591956313507744
reference,0.0,0.05473026391007208,-2.9053384518011725,43.95888308628647,-1.5021214491830297,0.2190244460526662,0.9370851914418393,-0.06419104748063638,1.215242012919087,0.21524201291908707,2.3427129786045984,0.12821729958458072,525.0199184587681,-38.60900974902695
reference,0.0,0.05477329104967865,-2.9045525934454917,43.90702228968386,-1.502118117198749,0.21928394803240603,0.9370347252684456,-0.0642447605469025,1.2154383725060027,0.21543837250600273,2.342586813171114,0.12831118932696062,524.7501530788214,-38.6260719006491
reference,0.0,0.054816352015812066,-2.9037667350898113,43.855222791073736,-1.5021147838560718,0.21954375651574803,0.9369842168658252,-0.06429852035875806,1.215634938762522,0.21563493876252204,2.342460542164563,0.12840514166244266,524.4804667370745,-38.643142775506256
reference,0.0,0.054859446835065696,-2.90298087673413,43.80348451791429,-1.502111449146892,0.2198038718674048,0.9369336661972247,-0.06435232696198462,1.2158317119494568,0.21583171194945683,2.342334165493062,0.1284991566218246,524.2108593841791,-38.660222380734645
reference,0.0,0.05490257553405368,-2.9021950183784497,43.75180739775,-1.5021081130630998,0.2200642944527795,0.936883073225855,-0.06440618040241478,1.2160286923280303,0.21602869232803035,2.3422076830646374,0.1285932342358971,523.9413309707949,-38.67731072347744
reference,0.0,0.054945738139411206,-2.901409160022769,43.700191358211235,-1.5021047755965684,0.22032502463772152,0.9368324379148902,-0.06446008072593247,1.2162258801598829,0.21622588015988287,2.3420810947872255,0.1286873745354444,523.6718814475872,-38.69440781088482
reference,0.0,0.05498893467779434,-2.900623301667088,43.64863632701454,-1.5021014367391408,0.22058606278811035,0.9367817602274691,-0.06451402797847189,1.216423275707069,0.21642327570706898,2.3419544005686728,0.12878157755124373,523.4025107652323,-38.71151365011353
reference,0.0,0.05503216517588008,-2.899837443311408,43.59714223196595,-1.5020980964821065,0.22084740925706686,0.936731040126694,-0.06456802220601873,1.2166208792320583,0.2166208792320583,2.341827600316735,0.12887584331406543,523.1332188744562,-38.72862824833062
reference,0.0,0.055075429660366514,-2.8990515849557266,43.545709000955,-1.5020947548170247,0.2211090644051254,0.936680277575631,-0.06462206345461005,1.2168186909977394,0.21681869099773943,2.3417006939390776,0.12897017185467313,522.864005725967,-38.74575161270826
reference,0.0,0.05511872815797253,-2.898265726600046,43.494336561955656,-1.5020914117357067,0.22137102859983207,0.9366294725373103,-0.06467615177033402,1.2170167112674173,0.21701671126741728,2.341573681343276,0.129064563203823,522.5948712704633,-38.76288375042421
reference,0.0,0.055162060695438206,-2.8974798682443654,43.4430248430271,-1.5020880672299481,0.22163330220918223,0.9365786249747257,-0.06473028719933048,1.2172149403048158,0.2172149403048158,2.341446562436814,0.12915901739226468,522.3258154586492,-38.78002466866323
reference,0.0,0.05520542729952454,-2.8966940098886846,43.391773772314046,-1.5020847212915298,0.22189588560161924,0.9365277348508344,-0.06478446978779066,1.217413378374079,0.21741337837407904,2.341319337127086,0.1292535344507403,522.0568382412355,-38.79717437461696
reference,0.0,0.05524882799701356,-2.8959081515330043,43.340583278047454,-1.5020813739120866,0.22215877914281917,0.9364768021285578,-0.06483869958195743,1.2176120257397705,0.21761202573977045,2.3411920053213944,0.12934811440998498,521.7879395689515,-38.814332875484915
reference,0.0,0.05529226281470847,-2.895122293177323,43.2894532885468,-1.5020780250827384,0.22242198318660247,0.9364258267707807,-0.06489297662812547,1.2178108826668745,0.21781088266687454,2.341064566926952,0.12944275730072669,521.5191193925741,-38.83150017847677
