case_index,case_id,family,block,surrogate,seed,iterations,best_iteration,stop_reason,primary_node_quality_pass,fft_amplitude_relative_l2_no_dc,fft_power_relative_l2_no_dc,sorted_max_abs_difference,sorted_relative_l2_centered_denominator,periodic_acf_relative_l2,mean,variance_ddof0,mean_difference,variance_relative_difference,dense_windowed_mean,dense_windowed_rms,dense_derivative_mean,dense_derivative_rms,dense_windowed_mean_difference,dense_windowed_rms_relative_difference,dense_derivative_rms_relative_difference,dense_windowed_max_abs,dense_derivative_max_abs,dense_windowed_fft_power_relative_l2_no_dc,dense_windowed_periodic_acf_relative_l2,dense_derivative_fft_power_relative_l2_no_dc,dense_derivative_periodic_acf_relative_l2
10,block01_iaaft_009,iaaft,0,9,20260931,21,20,unchanged_rank_permutation,True,0.027946714893732034,0.026211245242591524,0.0,0.0,0.02620280719125029,-0.010146595112339507,0.08799635567391653,-3.469446951953614e-18,-1.1102230246251565e-16,-0.0010237947651380518,0.12773514659465743,-1.7602052632477796e-06,16.707864742763824,0.00155448080497175,-0.09060765213064281,-0.12223049087772686,0.6249209826840169,73.37269708263368,0.6791700455459064,0.7142729175266878,0.756716393225253,0.8017891027711589
11,block01_iaaft_010,iaaft,0,10,20260932,15,14,unchanged_rank_permutation,True,0.02341068544703043,0.028087154065119,0.0,0.0,0.0280869348580604,-0.010146595112339507,0.08799635567391655,-3.469446951953614e-18,0.0,-0.004354626298501897,0.13648759411225103,4.937734441838055e-07,17.705234736043543,-0.0017763507283920952,-0.028295837334004315,-0.06983235485657036,0.7681783117027274,93.73605248718145,0.6522297020270622,0.6640380060913235,0.7299006807867776,0.748813126770718
12,block01_iaaft_011,iaaft,0,11,20260933,16,15,unchanged_rank_permutation,True,0.024677809596927475,0.03136332655059372,0.0,0.0,0.031363274989724785,-0.010146595112339507,0.08799635567391653,-3.469446951953614e-18,-1.1102230246251565e-16,-0.0054496557343595795,0.12224398187888644,3.3990864287703486e-06,14.949198753306641,-0.0028713801642497776,-0.129701224311357,-0.21462430696631152,0.6151127183621236,80.56523233952146,0.5941286442289253,0.6439651299218486,0.6784737104533615,0.700083744251376
13,block01_iaaft_012,iaaft,0,12,20260934,16,14,unchanged_rank_permutation,True,0.021867784405855874,0.023731114369321345,0.0,0.0,0.0237310183000871,-0.010146595112339512,0.08799635567391653,-8.673617379884035e-18,-1.1102230246251565e-16,-0.0056908716496368575,0.1339645454424361,1.2083127285356066e-06,17.38078531508784,-0.0031125960795270555,-0.04625832624015169,-0.08687772919685732,0.646424230975771,87.55714564868107,0.5386396337171537,0.5501761833869372,0.6903357825754237,0.7222237846254862
14,block01_iaaft_013,iaaft,0,13,20260935,13,12,unchanged_rank_permutation,True,0.020282880782984694,0.020742394464936535,0.0,0.0,0.02074238229186142,-0.010146595112339507,0.08799635567391653,-3.469446951953614e-18,-1.1102230246251565e-16,-0.001828794592853967,0.13365437733641508,2.8369761307948033e-07,17.425216505821428,0.0007494809772558349,-0.04846652429439391,-0.08454347852626654,0.5651995381330807,68.48796215832014,0.8714620321848503,0.9217126093059087,0.9549377658457325,1.0546138678287642
15,block01_iaaft_014,iaaft,0,14,20260936,11,10,unchanged_rank_permutation,True,0.027081365212246366,0.027886160241138498,0.0,0.0,0.02788316945732799,-0.01014659511233951,0.08799635567391653,-6.938893903907228e-18,-1.1102230246251565e-16,-0.004554851283695346,0.15214489220024463,-6.597539013251157e-08,19.706304943764078,-0.0019765757135855443,0.08317408656027347,0.03529648362716187,0.625702076693188,74.65681413846305,0.8913669200717083,0.7855713751395206,0.9243392786411039,0.8792987770998089
16,block01_iaaft_015,iaaft,0,15,20260937,16,15,unchanged_rank_permutation,True,0.03612202353800698,0.031885071700323925,0.0,0.0,0.03188429729079898,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.0034727821732542783,0.1410405985919827,-2.3286509446045212e-06,18.085586281391244,-0.0008945066031444764,0.004118635456494157,-0.04985008935502899,0.5814908852235026,78.76963187876487,0.7005312398541504,0.6964268506808239,0.6240704742920675,0.6427730447216984
17,block01_iaaft_016,iaaft,0,16,20260938,15,14,unchanged_rank_permutation,True,0.024184212506964897,0.025018135076555266,0.0,0.0,0.025018132692036694,-0.010146595112339509,0.08799635567391655,-5.204170427930421e-18,0.0,-0.003686291843335133,0.13630845769705247,1.4717303103508204e-06,17.847816595146266,-0.0011080162732253311,-0.029571173759015412,-0.06234163055390074,0.7209867956256745,95.86074862615291,0.6579845692034879,0.6677507746633023,0.695673790003176,0.7131541894053322
18,block01_iaaft_017,iaaft,0,17,20260939,17,16,unchanged_rank_permutation,True,0.030406517733623545,0.029268113265041727,0.0,0.0,0.029268083001768034,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.005552758288237197,0.12336907941059251,-2.886906654523413e-06,16.631335147072914,-0.002974482718127395,-0.12169125122863933,-0.12625107320091278,0.6292163121628387,82.6084473455081,0.7274428599262709,0.7756866242044839,0.8575264000826667,0.9418740563163486
19,block01_iaaft_018,iaaft,0,18,20260940,13,12,unchanged_rank_permutation,True,0.02898979200358393,0.03505563022729587,0.0,0.0,0.03505562612257508,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.005469251012686871,0.15048311326467034,-2.5318297183019428e-06,18.670036244862402,-0.0028909754425770692,0.07134328596897466,-0.01914524672905593,0.7180947520437663,90.3054426827641,0.9127864832747604,0.8346238404176705,0.9344816378475085,0.9530574911751397
20,block01_iaaft_019,iaaft,0,19,20260941,21,20,unchanged_rank_permutation,True,0.025819148402791085,0.032679227450889664,0.0,0.0,0.032678684223655684,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.0011564912151231295,0.14846025465950086,-8.817454350865415e-07,17.953312235060913,0.0014217843549866724,0.05694182963213468,-0.05679927924281991,0.7633089326600083,91.48319782484484,0.5890052604579384,0.5559539826879523,0.6409569622557096,0.6460427797072649
21,block01_iaaft_020,iaaft,0,20,20260942,19,18,unchanged_rank_permutation,True,0.03140952091711089,0.03189485162300239,0.0,0.0,0.03189373076169377,-0.010146595112339507,0.08799635567391653,-3.469446951953614e-18,-1.1102230246251565e-16,-0.004571648386019557,0.15000087320880995,-3.5979428839581528e-06,18.812874965214323,-0.001993372815909755,0.06791004595377981,-0.01164102788497745,0.6700098397958207,86.04803403354965,0.835622617265831,0.7766029499915968,0.8270364179073615,0.8339207935788829
22,block01_iaaft_021,iaaft,0,21,20260943,9,8,unchanged_rank_permutation,True,0.022129177630401575,0.021892579203939798,0.0,0.0,0.02189256499778657,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.004864662235916177,0.15107093596653057,-9.32608322552529e-07,19.275826492568434,-0.002286386665806375,0.07552820673061822,0.012680735617987215,0.6789735782592558,87.3233188765827,0.5973265662870886,0.5521817273259462,0.5240894382828225,0.5235018395316887
23,block01_iaaft_022,iaaft,0,22,20260944,17,16,unchanged_rank_permutation,True,0.02063640603808581,0.019277540722216487,0.0,0.0,0.01927742969636273,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.0024523365073526554,0.15540553674859087,-4.168617096185434e-06,21.45575603352798,0.00012593906275714653,0.10638778522065495,0.12720618291776442,0.6646961545754445,88.27153374080552,0.7308842963794108,0.6365642322234715,0.8464042654591746,0.7198616404600715
24,block01_iaaft_023,iaaft,0,23,20260945,10,9,unchanged_rank_permutation,True,0.0213801486627402,0.025200793949288328,0.0,0.0,0.02520077349573932,-0.010146595112339509,0.08799635567391653,-5.204170427930421e-18,-1.1102230246251565e-16,-0.004088253813671886,0.1318365706991612,-2.1384777617332837e-06,17.243019733413334,-0.001509978243562084,-0.06140814208632861,-0.09411542407062945,0.568465992433766,72.24450874285145,0.7640053781461782,0.8077710715803262,0.8322002526162301,0.9020321733609097
25,block01_iaaft_024,iaaft,0,24,20260946,22,21,unchanged_rank_permutation,True,0.04265713433606003,0.047705612421895346,0.0,0.0,0.047689188155979216,-0.010146595112339507,0.08799635567391653,-3.469446951953614e-18,-1.1102230246251565e-16,-0.0019515463049828167,0.1576161110375327,7.828813700551008e-07,19.19079966296194,0.0006267292651269852,0.12212565687425458,0.008213740006340009,0.7958418726823528,107.5119955928625,0.6190821361060388,0.5042565126884944,0.6374539370542635,0.6352413363400099
26,block01_iaaft_025,iaaft,0,25,20260947,16,15,unchanged_rank_permutation,True,0.023164461308703928,0.028401968524373482,0.0,0.0,0.02840133710553948,-0.010146595112339504,0.08799635567391655,0.0,0.0,-0.0043066290284615874,0.12561484179353527,2.077295422640231e-06,15.807633453959925,-0.0017283534583517855,-0.10570286290618514,-0.16952531811243654,0.525614861347423,74.62807120299327,0.6882219750376016,0.7141459267265385,0.7950737066983117,0.85274168987555
27,block01_iaaft_026,iaaft,0,26,20260948,11,10,unchanged_rank_permutation,True,0.02366505634241012,0.02664737603794473,0.0,0.0,0.026646515213508092,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.002758988303419721,0.1399382249691409,-3.0978243545590433e-06,16.191260588806973,-0.00018071273330991927,-0.003729557964276098,-0.14937096523580584,0.6123061219916823,67.39297937516636,0.684548714789161,0.6879667880022983,0.7817136021094285,0.8656385485775517
28,block01_iaaft_027,iaaft,0,27,20260949,13,12,unchanged_rank_permutation,True,0.024561887735818046,0.027514090456528837,0.0,0.0,0.027514054463853188,-0.010146595112339502,0.08799635567391653,1.734723475976807e-18,-1.1102230246251565e-16,-0.002964424760912561,0.15657263853449677,2.026604130166195e-06,18.967450568859714,-0.00038614919080275914,0.11469680166274254,-0.0035201965385986966,0.6996488734761196,89.77928844784273,0.7194840109155056,0.5932079882283501,0.5780084400448785,0.5792429007365404
29,block01_iaaft_028,iaaft,0,28,20260950,21,20,unchanged_rank_permutation,True,0.0259773535145057,0.03058240531502066,0.0,0.0,0.030582179586856977,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.003924502232775133,0.1398971738406064,2.748031806071466e-06,18.064055286591955,-0.0013462266626653313,-0.004021815679994156,-0.05098124830483264,0.6596853098319996,96.65161018796871,0.5753559525577208,0.5766809660451303,0.6414449477888728,0.650897903752362
30,block01_iaaft_029,iaaft,0,29,20260951,18,17,unchanged_rank_permutation,True,0.023788968300876803,0.022433711394434144,0.0,0.0,0.022433270282236042,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.0021693587072484704,0.1440758745276135,2.214039397735531e-06,18.384372192432426,0.0004089168628613315,0.025727854086772917,-0.034152981046748354,0.5900366660040882,83.80171629988891,0.532325330835875,0.518889520973743,0.6168791011547263,0.6302863416399456
31,block01_iaaft_030,iaaft,0,30,20260952,20,19,unchanged_rank_permutation,True,0.02853475011550605,0.02610907885463325,0.0,0.0,0.026109078869922562,-0.010146595112339512,0.08799635567391653,-8.673617379884035e-18,-1.1102230246251565e-16,-0.004156003483126541,0.12717419099915125,3.30862057100984e-08,17.62392771022333,-0.0015777279130167387,-0.09460129632057457,-0.07410392571503743,0.45653419660706085,73.03342086866708,0.5932194302712932,0.6246163572738568,0.6267912634585292,0.686337190352186
32,block01_iaaft_031,iaaft,0,31,20260953,12,11,unchanged_rank_permutation,True,0.03447092756056374,0.03825714557791959,0.0,0.0,0.038257001652993367,-0.010146595112339502,0.08799635567391653,1.734723475976807e-18,-1.1102230246251565e-16,-0.005231745328525222,0.13670572039909662,2.4479629248819975e-06,18.21256653928046,-0.00265346975841542,-0.026742918020763007,-0.043179015561239154,0.7162445317374794,108.06668561551143,0.8171231609250619,0.8402389014882509,0.9184042388817946,0.9566686092492057
33,block01_iaaft_032,iaaft,0,32,20260954,14,13,unchanged_rank_permutation,True,0.027691860895919126,0.03354746874632157,0.0,0.0,0.03354729109015067,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.0019085803414093192,0.15035611583206565,-4.6546671840358934e-07,19.705924810219347,0.0006696952287004827,0.07043914567173726,0.03527651281460753,0.5948759261234203,92.21444878987252,0.6428709301495494,0.5985954066445821,0.6925230738965866,0.6716953493904837
34,block01_iaaft_033,iaaft,0,33,20260955,13,11,unchanged_rank_permutation,True,0.029613659734814442,0.025895026434903462,0.0,0.0,0.025889800494283518,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.005974119664424018,0.13209545249561894,-7.643021521556316e-07,16.56185276644385,-0.0033958440943142165,-0.059565069674563764,-0.12990142087109213,0.482111605815431,61.57304236128956,0.6674703330540411,0.6947550095046672,0.7388104968447267,0.7901079355820471
35,block01_iaaft_034,iaaft,0,34,20260956,11,10,unchanged_rank_permutation,True,0.029106920629843044,0.02488781885884114,0.0,0.0,0.024887639054463496,-0.0101465951123395,0.08799635567391653,3.469446951953614e-18,-1.1102230246251565e-16,-0.004833129201390019,0.14794293695992694,1.5394409667247724e-06,19.755975343349597,-0.0022548536312802167,0.05325885928331786,0.037905982981707886,0.6476116047778799,86.18083538261908,0.5968586818996289,0.5618556093271574,0.5768810469979935,0.5574376889209913
36,block01_iaaft_035,iaaft,0,35,20260957,15,14,unchanged_rank_permutation,True,0.0241250009571919,0.028094917865096884,0.0,0.0,0.0280949171585457,-0.0101465951123395,0.08799635567391653,3.469446951953614e-18,-1.1102230246251565e-16,-0.005014877849834925,0.1347190671456534,5.153105143368578e-07,16.350564469097048,-0.002436602279725123,-0.04088661546594696,-0.14100172769669705,0.6707148981107168,78.63646054230864,0.7166594288386148,0.7401775134035091,0.774729520072867,0.8203566150136423
37,block01_iaaft_036,iaaft,0,36,20260958,15,13,unchanged_rank_permutation,True,0.02232849910646346,0.02475586659434776,0.0,0.0,0.024754471626783868,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.0024816116642088454,0.14616528461641334,3.748573243625389e-06,19.986196186954484,9.666390590095655e-05,0.04060311431836139,0.05000093586719245,0.7022264797825198,94.45457900977583,0.641492707353133,0.6114451941282252,0.6409154564451157,0.606667756340095
38,block01_iaaft_037,iaaft,0,37,20260959,21,20,unchanged_rank_permutation,True,0.025904966693775056,0.02268425556163961,0.0,0.0,0.02268425547119866,-0.010146595112339507,0.08799635567391653,-3.469446951953614e-18,-1.1102230246251565e-16,-0.005707561238766168,0.1454817227455175,-1.0707943301481272e-06,19.180261853382582,-0.0031292856686563663,0.035736592055224614,0.007660122408633452,0.6993856744204076,91.69805509672389,0.5624637238635622,0.5489391496759666,0.6051137003284666,0.6043480390426352
39,block01_iaaft_038,iaaft,0,38,20260960,16,15,unchanged_rank_permutation,True,0.02218879722348976,0.026068590575400136,0.0,0.0,0.026067538141915442,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.003689965584189489,0.12788740588353983,-2.8277727691005484e-06,16.34852981998342,-0.0011116900140796869,-0.08952366361304986,-0.14110862064688567,0.571549679258888,77.5884716391349,0.5774904816566666,0.609526527312051,0.5542216996103125,0.5252723555855882
40,block01_iaaft_039,iaaft,0,39,20260961,11,10,unchanged_rank_permutation,True,0.02165189860462139,0.027382253362073002,0.0,0.0,0.027382238460745893,-0.010146595112339507,0.08799635567391655,-3.469446951953614e-18,0.0,-0.005170756152669936,0.14384384946080464,1.3889276350937008e-06,18.40813628645908,-0.002592480582560134,0.024075984371232595,-0.032904503310684174,0.5684897545394836,73.4888756150085,0.9450905488041748,0.9148995002551843,0.9279294521927071,0.9607914715131735
41,block01_iaaft_040,iaaft,0,40,20260962,13,12,unchanged_rank_permutation,True,0.031120294663110636,0.03404676933758811,0.0,0.0,0.034046473583615976,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.0021045642233159835,0.1363420250804062,3.553639161306959e-06,17.262780673662572,0.0004737113467938184,-0.02933219551086963,-0.0930772572498283,0.681767851327199,104.2155764513023,0.5950833714987843,0.6088888425672497,0.7176573922003419,0.7516760376001886
42,block01_iaaft_041,iaaft,0,41,20260963,14,13,unchanged_rank_permutation,True,0.027805317623580426,0.03185676844213586,0.0,0.0,0.03185472960712878,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.006623818716014516,0.1415547528613903,-8.460935374693094e-07,17.95301332111514,-0.004045543145904714,0.007779084210723264,-0.056814983077600245,0.599164697640717,70.5936132407145,0.5127332353047068,0.5110243885178595,0.6107400541040972,0.6182182057339691
43,block01_iaaft_042,iaaft,0,42,20260964,22,21,unchanged_rank_permutation,True,0.02207866041670767,0.026616644613789,0.0,0.0,0.026616644618288325,-0.01014659511233951,0.08799635567391655,-6.938893903907228e-18,0.0,-0.0038583534845546227,0.1417951817039767,4.561793351470288e-06,17.88372611231459,-0.0012800779144448208,0.009490783421818083,-0.06045507714070608,0.6925788134330382,96.33402226653843,0.7689505584267466,0.7601265938862392,0.808217037289933,0.8492382177553929
44,block01_iaaft_043,iaaft,0,43,20260965,18,16,unchanged_rank_permutation,True,0.029029947469435494,0.03234906597001274,0.0,0.0,0.03234886928030832,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.001633636868819769,0.14897937795989838,-2.5165089493681164e-06,20.00711091551756,0.000944638701290033,0.06063765470117599,0.051099718464902244,0.5846739413333791,76.11686490035015,0.7223124956270892,0.6772047557789277,0.8463026306634024,0.8023330571258961
45,block01_iaaft_044,iaaft,0,44,20260966,15,14,unchanged_rank_permutation,True,0.027610364933405847,0.025824269175121855,0.0,0.0,0.02582426919134,-0.01014659511233951,0.08799635567391655,-6.938893903907228e-18,0.0,-0.005858727042213985,0.12338628535397751,1.5979908834795685e-06,15.95091924670728,-0.003280451472104183,-0.121568755943126,-0.16199761173580252,0.46264875919332327,80.50523352941184,0.6306643601158013,0.6393555278703773,0.7678936233284235,0.8001547639486749
46,block01_iaaft_045,iaaft,0,45,20260967,19,18,unchanged_rank_permutation,True,0.026888445255353926,0.030318299897870424,0.0,0.0,0.030318265501165533,-0.010146595112339505,0.08799635567391655,-1.734723475976807e-18,0.0,-0.0042784354356678175,0.14399397885116094,2.8404243873310776e-06,19.808543216332275,-0.0017001598655580156,0.025144809376879573,0.04066770488776972,0.6362037607356208,86.67956262730736,0.6291407595866678,0.6207027623387644,0.6584499392781166,0.639539501708387
47,block01_iaaft_046,iaaft,0,46,20260968,15,14,unchanged_rank_permutation,True,0.027841300785102493,0.028535748911609364,0.0,0.0,0.02853542776093173,-0.010146595112339507,0.08799635567391655,-3.469446951953614e-18,0.0,-0.004426572180778364,0.14121401983004828,4.9730432986489386e-08,16.57183153839865,-0.0018482966106685619,0.005353283484537341,-0.12937717304557628,0.7351598049410242,85.90317977978951,0.59994088047479,0.596142590635657,0.7575953412558075,0.7948692397066467
48,block01_iaaft_047,iaaft,0,47,20260969,13,12,unchanged_rank_permutation,True,0.024157585016980305,0.026800388625875964,0.0,0.0,0.02680037781779045,-0.010146595112339507,0.08799635567391653,-3.469446951953614e-18,-1.1102230246251565e-16,-0.0010319575589049694,0.13609125942527264,-2.4563024830467472e-06,18.087747236792598,0.0015463180112048325,-0.031117486199974453,-0.04973656073894994,0.6618437856673228,95.15975621597221,0.5457560372949419,0.560903617978348,0.5629589696361716,0.5943981095429697
49,block01_iaaft_048,iaaft,0,48,20260970,9,8,unchanged_rank_permutation,True,0.03128155068926626,0.038593709408650784,0.0,0.0,0.03859270563169781,-0.0101465951123395,0.08799635567391655,3.469446951953614e-18,0.0,-0.0015709207757785711,0.14262323123191914,-9.056484043920441e-07,18.473179886633744,0.0010073547943312308,0.015385965166567317,-0.02948735277254677,0.6686973671718459,97.6882969434783,0.658086859781703,0.6497678088271635,0.6773754429475444,0.6854511069635741
50,block01_iaaft_049,iaaft,0,49,20260971,10,9,unchanged_rank_permutation,True,0.02528010599244577,0.024167283286344685,0.0,0.0,0.0241604360832032,-0.010146595112339509,0.08799635567391655,-5.204170427930421e-18,0.0,-0.0009407442245060296,0.14383873139043435,1.792918948428877e-07,19.198633653810546,0.0016375313456037724,0.024039546991586613,0.008625308953511102,0.6606646936006442,83.39845709166103,0.8160868889791979,0.7937812846097202,1.0174345228762542,1.0072744202193533
51,block01_iaaft_050,iaaft,0,50,20260972,18,17,unchanged_rank_permutation,True,0.026130886752363424,0.031430459145270664,0.0,0.0,0.03143044241162114,-0.010146595112339509,0.08799635567391653,-5.204170427930421e-18,-1.1102230246251565e-16,-0.006273700712971691,0.12954687906704734,-8.986840833590719e-07,16.704745809298142,-0.0036954251428618894,-0.07770927849816034,-0.12239434812335959,0.49187033501611316,81.37806893002312,0.6527525160869246,0.6757599251322753,0.6881526744771065,0.7215599717561103
52,block01_iaaft_051,iaaft,0,51,20260973,13,12,unchanged_rank_permutation,True,0.024524252624956118,0.030901383798182438,0.0,0.0,0.030901281367350156,-0.010146595112339505,0.08799635567391653,-1.734723475976807e-18,-1.1102230246251565e-16,-0.005422878606646704,0.11857640226516199,-4.300488757903579e-07,14.476841798372975,-0.002844603036536902,-0.15581203973560742,-0.23944019689875706,0.46872963041777477,68.61131711148226,0.7213454750017664,0.8117980521496488,0.8473197593632334,0.9393026189798315
53,block01_iaaft_052,iaaft,0,52,20260974,35,33,unchanged_rank_permutation,True,0.03063330242002077,0.03181206475956083,0.0,0.0,0.031811669257982116,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.0069680708117617965,0.13114275305867473,1.7238476710126809e-06,16.27718436369186,-0.004389795241651995,-0.06634767885358472,-0.14485684743177552,0.5270752190371577,71.36721562688881,0.6649318054830804,0.701221654374681,0.816021719988291,0.898495985769263
54,block01_iaaft_053,iaaft,0,53,20260975,15,14,unchanged_rank_permutation,True,0.02193361259187341,0.02206305883345524,0.0,0.0,0.02206266495079572,-0.010146595112339504,0.08799635567391653,0.0,-1.1102230246251565e-16,-0.0018128308128775405,0.14302091905259556,2.283232426325186e-06,19.34716092715792,0.0007654447572322614,0.018217247476921772,0.016428383363354726,0.710892443948484,95.58677000123755,0.3472591805644901,0.34480664910505177,0.39913610161166346,0.39569737527267773
55,block01_iaaft_054,iaaft,0,54,20260976,14,13,unchanged_rank_permutation,True,0.025370464552086996,0.04316150808245399,0.0,0.0,0.04316150462987903,-0.010146595112339505,0.08799635567391656,-1.734723475976807e-18,2.220446049250313e-16,-0.0038423989346961208,0.14358197574820514,-2.074612462024644e-06,16.913105908798617,-0.0012641233645863188,0.02221161143477013,-0.11144787799836009,0.706911012934196,75.86341901984471,0.7895097089495564,0.7680186791676815,0.9087162160237275,1.009870518651882
