k_h_mpc,pk_z49_mpc_over_h3,pk_z0_mpc_over_h3
1.30387024616058817e-03,3.02874179711332303e+00,4.87476994671017383e+03
1.30974726430058987e-03,3.04158943787298996e+00,4.89488700179292755e+03
1.31565077230207821e-03,3.05448874538492809e+00,4.91508013638450484e+03
1.32158088956450879e-03,3.06743988746707874e+00,4.93534953069034418e+03
1.32753773602551262e-03,3.08044303059263802e+00,4.95569535666704269e+03
1.33352143216332406e-03,3.09349834142524927e+00,4.97611778560671246e+03
1.33953209899921664e-03,3.10660598659212051e+00,4.99661699311269967e+03
1.34556985809995092e-03,3.11976612993223101e+00,5.01719322021092739e+03
1.35163483158023284e-03,3.13297893330680877e+00,5.03784675521785175e+03
1.35772714210518394e-03,3.14624455862153374e+00,5.05857788867847830e+03
1.36384691289282269e-03,3.15956316788704950e+00,5.07938691225037292e+03
1.36999426771655468e-03,3.17293492851569603e+00,5.10027407995615067e+03
1.37616933090767887e-03,3.18636002050430012e+00,5.12123955567552912e+03
1.38237222735789985e-03,3.19983862599106272e+00,5.14228348951303724e+03
1.38860308252185434e-03,3.21337092751735032e+00,5.16340603049039328e+03
1.39486202241964987e-03,3.22695710616767562e+00,5.18460733397909553e+03
1.40114917363941163e-03,3.24059732649783161e+00,5.20588762204569957e+03
1.40746466333984332e-03,3.25429174412564803e+00,5.22724715299203581e+03
1.41380861925280064e-03,3.26804051451253308e+00,5.24868618614884417e+03
1.42018116968587165e-03,3.28184379315631292e+00,5.27020498118486648e+03
1.42658244352497458e-03,3.29570174514816339e+00,5.29180376820257607e+03
1.43301257023696268e-03,3.30961455252374925e+00,5.31348272475419890e+03
1.43947167987224433e-03,3.32358239936686672e+00,5.33524202243424497e+03
1.44595990306741157e-03,3.33760547014459164e+00,5.35708183207267575e+03
1.45247737104788380e-03,3.35168394748505483e+00,5.37900232871223034e+03
1.45902421563056067e-03,3.36581800001723108e+00,5.40100371890040788e+03
1.46560056922648914e-03,3.38000779077094338e+00,5.42308622179225222e+03
1.47220656484354064e-03,3.39425348276296468e+00,5.44525005658473219e+03
1.47884233608910117e-03,3.40855523929036242e+00,5.46749544300661546e+03
1.48550801717277511e-03,3.42291323494537414e+00,5.48982262172600804e+03
1.49220374290909741e-03,3.43732765936599360e+00,5.51223186128761154e+03
1.49892964872026086e-03,3.45179870363002106e+00,5.53472343290036315e+03
1.50568587063885646e-03,3.46632655926128042e+00,5.55729760859930138e+03
1.51247254531062343e-03,3.48091140794116427e+00,5.57995463890112569e+03
1.51928980999721259e-03,3.49555338354648715e+00,5.60269467037460981e+03
1.52613780257896303e-03,3.51025260538301120e+00,5.62551781788077278e+03
1.53301666155769155e-03,3.52500919197081908e+00,5.64842419452902232e+03
1.53992652605949203e-03,3.53982326304839034e+00,5.67141391519681474e+03
1.54686753583755114e-03,3.55469498358135683e+00,5.69448717377492449e+03
1.55383983127497399e-03,3.56962456442053044e+00,5.71764424426947244e+03
1.56084355338762274e-03,3.58461221914972983e+00,5.74088540502390515e+03
1.56787884382697052e-03,3.59965816213864009e+00,5.76421093529916379e+03
1.57494584488296406e-03,3.61476259372491304e+00,5.78762109479100127e+03
1.58204469948690406e-03,3.62992566432238029e+00,5.81111607403880316e+03
1.58917555121433304e-03,3.64514751331365128e+00,5.83469604821656503e+03
1.59633854428794229e-03,3.66042827959353989e+00,5.85836119171076643e+03
1.60353382358048666e-03,3.67576810353830341e+00,5.88211167966277480e+03
1.61076153461771473e-03,3.69116715384427962e+00,5.90594770904171583e+03
1.61802182358131391e-03,3.70662562099544290e+00,5.92986949349449696e+03
1.62531483731186447e-03,3.72214369637238551e+00,5.95387724692562824e+03
1.63264072331181158e-03,3.73772157167597019e+00,5.97797118305245567e+03
1.63999962974844724e-03,3.75335942108594534e+00,6.00215150624639136e+03
1.64739170545690687e-03,3.76905737409031527e+00,6.02641839759673258e+03
1.65481709994318160e-03,3.78481555260748292e+00,6.05077203395983815e+03
1.66227596338713868e-03,3.80063407774356898e+00,6.07521259142124654e+03
1.66976844664556219e-03,3.81651307474215962e+00,6.09974024703228224e+03
1.67729470125520187e-03,3.83245271713159275e+00,6.12435519435259994e+03
1.68485487943583899e-03,3.84845320648401135e+00,6.14905763630160254e+03
1.69244913409336483e-03,3.86451474521252747e+00,6.17384777556433710e+03
1.70007761882287308e-03,3.88063753600808559e+00,6.19872581456328135e+03
1.70774048791176710e-03,3.89682175667642605e+00,6.22369196484947952e+03
1.71543789634287925e-03,3.91306753777381289e+00,6.24874645544157920e+03
1.72316999979760526e-03,3.92937500399367723e+00,6.27388951734995226e+03
1.73093695465905513e-03,3.94574427923587123e+00,6.29912138167489229e+03
1.73873891801521363e-03,3.96217549199711527e+00,6.32444226898380111e+03
1.74657604766211829e-03,3.97866880773138787e+00,6.34985232569076106e+03
1.75444850210705085e-03,3.99522440784039201e+00,6.37535166536905399e+03
1.76235644057174366e-03,4.01184247393486526e+00,6.40094039967135450e+03
1.77030002299559831e-03,4.02852318740297921e+00,6.42661863984739830e+03
1.77827941003892297e-03,4.04526671258936688e+00,6.45238656127242029e+03
1.78629476308617900e-03,4.06207318957220220e+00,6.47824443108521609e+03
1.79434624424924740e-03,4.07894275607165291e+00,6.50419252402504753e+03
1.80243401637070568e-03,4.09587554921347241e+00,6.53023111562722079e+03
1.81055824302712217e-03,4.11287170701637450e+00,6.55636046012439328e+03
1.81871908853236492e-03,4.12993137444644631e+00,6.58258070097873315e+03
1.82691671794092420e-03,4.14705469836180285e+00,6.60889194541060078e+03
1.83515129705125114e-03,4.16424182517801267e+00,6.63529429872395758e+03
1.84342299240911056e-03,4.18149290122625050e+00,6.66178786619836774e+03
1.85173197131094998e-03,4.19880808181514276e+00,6.68837280001673480e+03
1.86007840180728236e-03,4.21618753198004459e+00,6.71504930312998567e+03
1.86846245270608615e-03,4.23363141709446111e+00,6.74181758065458598e+03
1.87688429357621899e-03,4.25113990238745476e+00,6.76867783739606330e+03
1.88534409475084644e-03,4.26871314259064061e+00,6.79563026828722559e+03
1.89384202733088839e-03,4.28635125420159380e+00,6.82267503278412914e+03
1.90237826318847853e-03,4.30405434408038978e+00,6.84981228129056308e+03
1.91095297497044059e-03,4.32182251797163453e+00,6.87704216302906934e+03
1.91956633610178133e-03,4.33965588244128408e+00,6.90436482911108760e+03
1.92821852078919605e-03,4.35755457425806281e+00,6.93178047898815112e+03
1.93690970402459373e-03,4.37551875485774122e+00,6.95928935167252439e+03
1.94564006158863567e-03,4.39354858619194122e+00,6.98689168754984894e+03
1.95440977005429057e-03,4.41164423000341444e+00,7.01458772716318890e+03
1.96321900679040547e-03,4.42980584040579117e+00,7.04237765526731255e+03
1.97206794996529445e-03,4.44803355124415489e+00,7.07026150556061566e+03
1.98095677855033864e-03,4.46632749238876237e+00,7.09823928374512889e+03
1.98988567232361198e-03,4.48468779298110398e+00,7.12631099207084117e+03
1.99885481187351026e-03,4.50311458088390726e+00,7.15447664744351823e+03
2.00786437860240967e-03,4.52160797738951903e+00,7.18273645884786220e+03
2.01691455473033054e-03,4.54016809938148036e+00,7.21109075419099736e+03
2.02600552329862708e-03,4.55879506275921997e+00,7.23953986476143473e+03
2.03513746817368711e-03,4.57748898249051983e+00,7.26808412288206182e+03
2.04431057405065047e-03,4.59624997460905593e+00,7.29672377041642449e+03
2.05352502645714642e-03,4.61507815824650969e+00,7.32545886576328485e+03
2.06278101175704377e-03,4.63397365212911616e+00,7.35428944295392921e+03
2.07207871715422119e-03,4.65293657409597827e+00,7.38321553305164070e+03
2.08141833069635466e-03,4.67196704295814857e+00,7.41223717363272954e+03
2.09080004127871859e-03,4.69106519076032580e+00,7.44135447113693772e+03
2.10022403864800703e-03,4.71023115533137116e+00,7.47056756297989159e+03
2.10969051340617175e-03,4.72946507396883131e+00,7.49987658546384682e+03
2.11919965701427718e-03,4.74876708301834860e+00,7.52928167412227594e+03
2.12875166179637282e-03,4.76813729753587978e+00,7.55878299157980837e+03
2.13834672094338155e-03,4.78757580062986676e+00,7.58838074211399362e+03
2.14798502851700846e-03,4.80708267141727852e+00,7.61807513327776905e+03
2.15766677945366690e-03,4.82665798750823072e+00,7.64786637246498867e+03
2.16739216956841766e-03,4.84630183167564255e+00,7.67775465014832207e+03
2.17716139555893234e-03,4.86601432151922531e+00,7.70774006551136699e+03
2.18697465500947066e-03,4.88579558601666886e+00,7.73782268522809318e+03
2.19683214639487551e-03,4.90564575348605469e+00,7.76800257359885745e+03
2.20673406908459017e-03,4.92556495070202782e+00,7.79827979297476668e+03
2.21668062334668672e-03,4.94555327856335580e+00,7.82865441563262993e+03
2.22667201035191926e-03,4.96561080829591628e+00,7.85912652559543858e+03
2.23670843217779140e-03,4.98573760799432009e+00,7.88969620561629472e+03
2.24679009181264454e-03,5.00593374411794034e+00,7.92036353641946425e+03
2.25691719315976140e-03,5.02619928954389028e+00,7.95112861868830896e+03
2.26708994104149117e-03,5.04653434743018536e+00,7.98199163814009080e+03
2.27730854120339332e-03,5.06693902773648119e+00,8.01295280147426547e+03
2.28757320031839576e-03,5.08741343949744529e+00,8.04401231532131806e+03
2.29788412599097767e-03,5.10795768891432456e+00,8.07517038025108923e+03
2.30824152676136580e-03,5.12857184749134465e+00,8.10642709028900663e+03
2.31864561210975637e-03,5.14925595617613663e+00,8.13778244609315425e+03
2.32909659246054602e-03,5.17001005295713068e+00,8.16923644209617487e+03
2.33959467918659321e-03,5.19083417379650758e+00,8.20078906945690323e+03
2.35014008461348952e-03,5.21172837615231810e+00,8.23244036473393135e+03
2.36073302202385567e-03,5.23269278370111124e+00,8.26419050236195108e+03
2.37137370566165538e-03,5.25372753164814910e+00,8.29603968144660394e+03
2.38206235073652696e-03,5.27483275475155011e+00,8.32798810099147340e+03
2.39279917342813788e-03,5.29600858003709618e+00,8.36003594838615209e+03
2.40358439089055544e-03,5.31725504835369289e+00,8.39218327541393410e+03
2.41441822125663952e-03,5.33857214283807213e+00,8.42443004336214653e+03
2.42530088364245481e-03,5.35995984281174653e+00,8.45677620827861028e+03
2.43623259815170089e-03,5.38141812495121652e+00,8.48922172275045523e+03
2.44721358588016616e-03,5.40294700851660981e+00,8.52176659339924845e+03
2.45824406892019773e-03,5.42454660765157115e+00,8.55441094730501754e+03
2.46932427036519308e-03,5.44621704827194009e+00,8.58715492629306937e+03
2.48045441431411426e-03,5.46795845578677753e+00,8.61999867131940846e+03
2.49163472587601723e-03,5.48977094451150016e+00,8.65294231592595497e+03
2.50286543117460812e-03,5.51165454160564039e+00,8.68598593925857676e+03
2.51414675735281467e-03,5.53360922988355419e+00,8.71912959254679481e+03
2.52547893257737887e-03,5.55563498911066489e+00,8.75237332462152153e+03
2.53686218604347704e-03,5.57773179665676277e+00,8.78571718189506100e+03
2.54829674797934710e-03,5.59989965291329028e+00,8.81916119717243419e+03
2.55978284965095206e-03,5.62213859716599185e+00,8.85270538266451331e+03
2.57132072336665454e-03,5.64444867061297373e+00,8.88634974620530375e+03
2.58291060248191625e-03,5.66682991270466374e+00,8.92009429283109785e+03
2.59455272140401549e-03,5.68928235958319295e+00,8.95393903483967733e+03
2.60624731559679079e-03,5.71180603655512353e+00,8.98788404077157429e+03
2.61799462158540056e-03,5.73440096369112684e+00,9.02192939870667215e+03
2.62979487696110960e-03,5.75706715902699884e+00,9.05607519524557210e+03
2.64164832038609300e-03,5.77980463896023888e+00,9.09032151321451420e+03
2.65355519159826215e-03,5.80261343140908714e+00,9.12466835916924174e+03
2.66551573141611542e-03,5.82549357885352137e+00,9.15911564662299133e+03
2.67753018174360802e-03,5.84844512313548037e+00,9.19366327960389208e+03
2.68959878557504346e-03,5.87146810447948564e+00,9.22831115793788922e+03
2.70172178699999016e-03,5.89456254637411092e+00,9.26305922285491215e+03
2.71389943120821679e-03,5.91772840631314256e+00,9.29790760568082806e+03
2.72613196449465051e-03,5.94096562187862176e+00,9.33285648841621878e+03
2.73841963426436127e-03,5.96427412745724705e+00,9.36790605313592641e+03
2.75076268903756303e-03,5.98765385629232760e+00,9.40305647312985820e+03
2.76316137845463968e-03,6.01110477944197541e+00,9.43830774667825972e+03
2.77561595328119828e-03,6.03462690302384797e+00,9.47365970883566115e+03
2.78812666541313359e-03,6.05822023251818464e+00,9.50911218362511499e+03
2.80069376788173079e-03,6.08188477137648409e+00,9.54466498986905754e+03
2.81331751485877678e-03,6.10562050861639971e+00,9.58031799624650193e+03
2.82599816166170413e-03,6.12942739261748404e+00,9.61607123764774769e+03
2.83873596475875487e-03,6.15330536148742890e+00,9.65192477993263310e+03
2.85153118177416606e-03,6.17725435033355197e+00,9.68787868747184621e+03
2.86438407149337999e-03,6.20127429537584263e+00,9.72393301842497203e+03
2.87729489386828090e-03,6.22536518310136966e+00,9.76008776871566079e+03
2.89026391002245031e-03,6.24952703484316530e+00,9.79634288960894446e+03
2.90329138225644883e-03,6.27375987105976041e+00,9.83269832838708317e+03
2.91637757405312052e-03,6.29806371038622537e+00,9.86915402914759943e+03
2.92952275008292367e-03,6.32243852219602775e+00,9.90570992919206583e+03
2.94272717620928242e-03,6.34688416464081762e+00,9.94236595431885689e+03
2.95599111949396316e-03,6.37140047666364495e+00,9.97912202577219250e+03
2.96931484820247941e-03,6.39598729286220014e+00,1.00159780613468229e+04
2.98269863180951203e-03,6.42064445738764444e+00,1.00529339763527751e+04
2.99614274100436402e-03,6.44537193368115435e+00,1.00899896913739849e+04
3.00964744769643446e-03,6.47016974744860995e+00,1.01271451281983445e+04
3.02321302502071539e-03,6.49503792360952215e+00,1.01644002053239619e+04
3.03683974734331955e-03,6.51997648480006387e+00,1.02017548381241850e+04
3.05052789026702582e-03,6.54498537860381990e+00,1.02392089563400241e+04
3.06427773063685594e-03,6.57006442420962866e+00,1.02767625168795712e+04
3.07808954654567460e-03,6.59521342404831223e+00,1.03144154769062461e+04
3.09196361733980957e-03,6.62043217587916377e+00,1.03521677909041482e+04
3.10590022362470554e-03,6.64572049142261889e+00,1.03900194082590224e+04
3.11989964727059886e-03,6.67107829568460442e+00,1.04279702604535214e+04
3.13396217141821611e-03,6.69650555678433079e+00,1.04660202700905429e+04
3.14808808048450432e-03,6.72200224093677345e+00,1.05041693566701942e+04
3.16227766016837939e-03,6.74756831121519163e+00,1.05424174344404419e+04
3.17653119745650797e-03,6.77320368577536858e+00,1.05807643328686481e+04
3.19084898062910877e-03,6.79890822476729451e+00,1.06192097717967972e+04
3.20523129926578425e-03,6.82468178112651724e+00,1.06577534582031440e+04
3.21967844425137930e-03,6.85052420414534247e+00,1.06963950930096526e+04
3.23419070778186097e-03,6.87643534076639806e+00,1.07351344259841844e+04
3.24876838337023266e-03,6.90241504027908004e+00,1.07739714525342533e+04
3.26341176585246339e-03,6.92846315008846325e+00,1.08129062379579991e+04
3.27812115139345913e-03,6.95457951400141816e+00,1.08519388468450634e+04
3.29289683749304759e-03,6.98076397240842272e+00,1.08910693351961909e+04
3.30773912299199644e-03,7.00701636656348459e+00,1.09302975845293731e+04
3.32264830807805795e-03,7.03333653853267649e+00,1.09696233031456923e+04
3.33762469429203876e-03,7.05972432701626840e+00,1.10090461864745885e+04
3.35266858453390224e-03,7.08617956714738018e+00,1.10485659240218392e+04
3.36778028306888941e-03,7.11270209182651669e+00,1.10881822327810696e+04
3.38296009553367815e-03,7.13929173488062130e+00,1.11278949356023022e+04
3.39820832894255917e-03,7.16594832753252042e+00,1.11677038745274058e+04
3.41352529169365202e-03,7.19267169745612378e+00,1.12076088879501913e+04
3.42891129357513662e-03,7.21946166801019817e+00,1.12476098091704262e+04
3.44436664577151951e-03,7.24631804840717653e+00,1.12877064476111573e+04
3.45989166086993353e-03,7.27324063625842765e+00,1.13278985937209836e+04
3.47548665286645129e-03,7.30022922507690275e+00,1.13681860333482909e+04
3.49115193717244258e-03,7.32728360447338734e+00,1.14085685481430883e+04
3.50688783062095156e-03,7.35440357234572950e+00,1.14490459409715586e+04
3.52269465147310185e-03,7.38158895278677196e+00,1.14896180732201592e+04
3.53857271942453798e-03,7.40883957101724278e+00,1.15302848125663604e+04
3.55452235561188852e-03,7.43615524892863000e+00,1.15710460237116240e+04
3.57054388261926091e-03,7.46353579964601543e+00,1.16119015483487310e+04
3.58663762448476874e-03,7.49098098064649598e+00,1.16528510320787009e+04
3.60280390670708172e-03,7.51849051598298335e+00,1.16938940066719242e+04
3.61904305625201190e-03,7.54606412471290344e+00,1.17350299951604629e+04
3.63535540155912303e-03,7.57370152137317820e+00,1.17762585145656140e+04
3.65174127254837754e-03,7.60140243388423364e+00,1.18175792305064242e+04
3.66820100062680791e-03,7.62916661874975777e+00,1.18589920883468185e+04
3.68473491869521653e-03,7.65699383196304595e+00,1.19004970622667406e+04
3.70134336115491300e-03,7.68488382552037397e+00,1.19420941253431174e+04
3.71802666391447476e-03,7.71283635055397987e+00,1.19837832104333756e+04
3.73478516439654153e-03,7.74085117568306913e+00,1.20255639823282836e+04
3.75161920154463892e-03,7.76892807478880965e+00,1.20674359893246874e+04
3.76852911583003660e-03,7.79706681819729130e+00,1.21093987724146227e+04
3.78551524925862994e-03,7.82526717169596431e+00,1.21514518672279501e+04
3.80257794537786206e-03,7.85352885598825079e+00,1.21935948738539391e+04
3.81971754928366568e-03,7.88185153049699849e+00,1.22358274846416425e+04
3.83693440762744977e-03,7.91023484541637956e+00,1.22781493943774894e+04
3.85422886862310738e-03,7.93867844577246018e+00,1.23205602932231395e+04
3.87160128205405645e-03,7.96718198789787291e+00,1.23630598586766901e+04
3.88905199928031792e-03,7.99574520431540670e+00,1.24056477240157856e+04
3.90658137324562029e-03,8.02436784862979735e+00,1.24483235050710555e+04
3.92418975848453627e-03,8.05304967095359814e+00,1.24910868121420899e+04
3.94187751112965758e-03,8.08179041581998447e+00,1.25339372528478852e+04
3.95964498891879235e-03,8.11058977301166983e+00,1.25768745003617987e+04
3.97749255120220715e-03,8.13944737461469359e+00,1.26198982974109967e+04
3.99542055894988677e-03,8.16836284514523747e+00,1.26630083865948454e+04
4.01342937475884266e-03,8.19733580398868256e+00,1.27062045069532960e+04
4.03151936286044038e-03,8.22636588091292609e+00,1.27494863533025655e+04
4.04969088912777043e-03,8.25545275637814946e+00,1.27928534707226063e+04
4.06794432108304772e-03,8.28459611911094918e+00,1.28363053655813510e+04
4.08628002790504142e-03,8.31379565380972707e+00,1.28798415376497687e+04
4.10469838043654462e-03,8.34305103922626579e+00,1.29234614817436104e+04
4.12319975119187446e-03,8.37236192037909355e+00,1.29671647120309372e+04
4.14178451436440602e-03,8.40172791431082722e+00,1.30109507569322741e+04
4.16045304583413829e-03,8.43114863256513125e+00,1.30548191393769521e+04
4.17920572317530010e-03,8.46062368184379388e+00,1.30987693762453400e+04
4.19804292566398549e-03,8.49015268641695009e+00,1.31428009867536475e+04
4.21696503428582292e-03,8.51973532497656727e+00,1.31869135062464884e+04
4.23597243174368178e-03,8.54937128198575458e+00,1.32311064679334613e+04
4.25506550246541188e-03,8.57906023822614650e+00,1.32753793993286017e+04
4.27424463261162017e-03,8.60880186073181264e+00,1.33197318292847558e+04
4.29351021008348224e-03,8.63859570725161063e+00,1.33641633549821636e+04
4.31286262453058327e-03,8.66844126721118258e+00,1.34086736131233865e+04
4.33230226735879971e-03,8.69833802299663361e+00,1.34532622368989723e+04
4.35182953173821920e-03,8.72828545125264377e+00,1.34979288546212720e+04
4.37144481261108990e-03,8.75828308228217089e+00,1.35426729960491884e+04
4.39114850669980895e-03,8.78833055789693951e+00,1.35874940012237112e+04
4.41094101251494376e-03,8.81842752956205977e+00,1.36323911810487116e+04
4.43082273036329594e-03,8.84857364505779742e+00,1.36773638382774152e+04
4.45079406235599721e-03,8.87876854667216087e+00,1.37224112920247571e+04
4.47085541241663484e-03,8.90901185972010801e+00,1.37675330342268353e+04
4.49100718628943091e-03,8.93930319967928533e+00,1.38127286320505118e+04
4.51124979154744667e-03,8.96964217799334662e+00,1.38579976485415118e+04
4.53158363760081898e-03,9.00002840050360042e+00,1.39033396402876933e+04
4.55200913570504798e-03,9.03046138690345401e+00,1.39487540579492925e+04
4.57252669896931162e-03,9.06094053119229592e+00,1.39942401974853565e+04
4.59313674236482092e-03,9.09146521095945381e+00,1.40397973351688088e+04
4.61383968273321437e-03,9.12203479684241536e+00,1.40854247392706257e+04
4.63463593879498686e-03,9.15264869397516456e+00,1.41311216926501002e+04
4.65552593115795867e-03,9.18330652080379473e+00,1.41768875902332729e+04
4.67651008232578339e-03,9.21400796478444128e+00,1.42227218602586236e+04
4.69758881670649317e-03,9.24475271086699735e+00,1.42686239252544983e+04
4.71876256062107868e-03,9.27554043770714820e+00,1.43145932034952784e+04
4.74003174231211761e-03,9.30637071666528470e+00,1.43606291492780292e+04
4.76139679195243266e-03,9.33724299870146091e+00,1.44067312581135138e+04
4.78285814165379207e-03,9.36815672316387094e+00,1.44528990232990127e+04
4.80441622547564656e-03,9.39911132376495040e+00,1.44991319335197495e+04
4.82607147943391566e-03,9.43010623686494931e+00,1.45454293854549160e+04
4.84782434150979758e-03,9.46114092524865136e+00,1.45917904332526159e+04
4.86967525165863183e-03,9.49221485426269496e+00,1.46382140398977845e+04
4.89162465181879839e-03,9.52332748420517738e+00,1.46846991572784373e+04
4.91367298592065328e-03,9.55447827290131713e+00,1.47312447441767163e+04
4.93582069989551182e-03,9.58566671764012312e+00,1.47778500586407117e+04
4.95806824168465703e-03,9.61689234879490407e+00,1.48245146133933395e+04
4.98041606124841139e-03,9.64815469393436764e+00,1.48712379255830820e+04
5.00286461057523370e-03,9.67945327662525656e+00,1.49180195086409913e+04
5.02541434369085677e-03,9.71078758705269962e+00,1.49648588150164596e+04
5.04806571666747191e-03,9.74215702812309203e+00,1.50117551311594634e+04
5.07081918763295676e-03,9.77356098280723806e+00,1.50587077088478709e+04
5.09367521678013527e-03,9.80499882845377968e+00,1.51057157930969024e+04
5.11663426637609230e-03,9.83646994235310856e+00,1.51527786056291407e+04
5.13969680077151336e-03,9.86797375998212445e+00,1.51998951721781577e+04
5.16286328641008679e-03,9.89950975274582490e+00,1.52470643885262361e+04
5.18613419183792772e-03,9.93107738846187615e+00,1.52942851376576418e+04
5.20950998771306517e-03,9.96267613063516855e+00,1.53415562930160231e+04
5.23299114681494842e-03,9.99430542642294206e+00,1.53888769326649126e+04
5.25657814405402091e-03,1.00259646932947355e+01,1.54362465765599318e+04
5.28027145648131847e-03,1.00576533408348752e+01,1.54836647982948762e+04
5.30407156329812043e-03,1.00893707738683762e+01,1.55311311694075303e+04
5.32797894586564159e-03,1.01211163912559119e+01,1.55786451914947265e+04
5.35199408771476568e-03,1.01528895774924113e+01,1.56262058221248371e+04
5.37611747455582576e-03,1.01846897075835425e+01,1.56738117504128968e+04
5.40034959428842970e-03,1.02165161515468057e+01,1.57214616512415651e+04
5.42469093701132641e-03,1.02483682747388052e+01,1.57691541918782696e+04
5.44914199503231805e-03,1.02802454560652006e+01,1.58168883375143505e+04
5.47370326287821736e-03,1.03121470987038073e+01,1.58646635310506517e+04
5.49837523730485091e-03,1.03440726039904884e+01,1.59124792547891666e+04
5.52315841730709970e-03,1.03760213689221796e+01,1.59603349885157513e+04
5.54805330412900394e-03,1.04079927781299233e+01,1.60082301136977167e+04
5.57306040127388685e-03,1.04399861659601374e+01,1.60561634610044257e+04
5.59818021451454970e-03,1.04720008455093083e+01,1.61041336569667110e+04
5.62341325190349184e-03,1.05040361246618463e+01,1.61521393153838417e+04
5.64876002378319250e-03,1.05360913066441384e+01,1.62001790473993133e+04
