phase,mG_eV,index,CW_eV4,CW_chi_eV4,s_eV2,d_eV2,B_abs2_eV4
quadrature,1e-17,1024,-1.2759651464638165e-14,-4.188736318618026e-17,9.84724811048071e+21,1e-34,9.847248110480709e-13
quadrature,1e-06,0,-126651479.55292222,-460074.6994005196,1e+22,1e-12,10000000000.0
quadrature,1e-06,512,-127188404.20886841,-436668.45494377025,9.914102312305466e+21,1e-12,9914102312.305468
quadrature,1e-06,1024,-127596514.64638165,-418873.63186180266,9.84724811048071e+21,1e-12,9847248110.48071
quadrature,1.0,0,-1.266514795529222e+20,-4.600746994005196e+17,1e+22,1.0,1e+22
quadrature,1.0,512,-1.2718840420886841e+20,-4.366684549437703e+17,9.914102312305466e+21,1.0,9.914102312305466e+21
quadrature,1.0,1024,-1.2759651464638164e+20,-4.188736318618026e+17,9.84724811048071e+21,1.0,9.84724811048071e+21
quadrature,1000.0,0,-1.2665147955292222e+26,-4.6007469940051965e+23,1e+22,1000000.0,1e+28
quadrature,1000.0,512,-1.271884042088684e+26,-4.366684549437703e+23,9.914102312305466e+21,1000000.0,9.914102312305466e+27
quadrature,1000.0,1024,-1.2759651464638164e+26,-4.188736318618027e+23,9.84724811048071e+21,1000000.0,9.84724811048071e+27
pi,0.0,0,-5.392040387010955e-46,2.630901972288018e-48,1e+22,4.257384442759591e-66,2.667706538321885e-47
pi,0.0,512,-5.3798812005087e-46,2.7284817394200467e-49,9.914102312305466e+21,4.2479400962698245e-66,2.3266146163161928e-48
pi,0.0,1024,-5.378427170978039e-46,9.304305132466963e-50,9.84724811048071e+21,4.247133658860287e-66,3.3331752104122057e-49
pi,1e-33,0,-6.654903353343954e-46,1.8531699275337158e-48,1e+22,5.254501073999026e-66,8.993680155741784e-45
pi,1e-33,512,-6.650496978188304e-46,-2.7728116491860997e-49,9.914102312305466e+21,5.247069704062651e-66,9.612677085133364e-45
pi,1e-33,1024,-6.653856122375408e-46,-3.7458666674406344e-49,9.84724811048071e+21,5.246798445278768e-66,9.732999399231733e-45
pi,1e-17,0,-1.2665147955292221e-14,-4.6007469940051964e-17,1e+22,1e-34,1e-12
pi,1e-17,512,-1.2718840420886841e-14,-4.366684549437703e-17,9.914102312305466e+21,1e-34,9.914102312305468e-13
pi,1e-17,1024,-1.2759651464638165e-14,-4.188736318618026e-17,9.84724811048071e+21,1e-34,9.847248110480709e-13
pi,1e-06,0,-126651479.55292222,-460074.6994005196,1e+22,1e-12,10000000000.0
pi,1e-06,512,-127188404.20886841,-436668.45494377025,9.914102312305466e+21,1e-12,9914102312.305468
pi,1e-06,1024,-127596514.64638165,-418873.63186180266,9.84724811048071e+21,1e-12,9847248110.48071
pi,1.0,0,-1.266514795529222e+20,-4.600746994005196e+17,1e+22,1.0,1e+22
pi,1.0,512,-1.2718840420886841e+20,-4.366684549437703e+17,9.914102312305466e+21,1.0,9.914102312305466e+21
pi,1.0,1024,-1.2759651464638164e+20,-4.188736318618026e+17,9.84724811048071e+21,1.0,9.84724811048071e+21
pi,1000.0,0,-1.2665147955292222e+26,-4.6007469940051965e+23,1e+22,1000000.0,1e+28
pi,1000.0,512,-1.271884042088684e+26,-4.366684549437703e+23,9.914102312305466e+21,1000000.0,9.914102312305466e+27
pi,1000.0,1024,-1.2759651464638164e+26,-4.188736318618027e+23,9.84724811048071e+21,1000000.0,9.84724811048071e+27
