phase,mG_eV,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,1e-20,17901721367735.297,1024,2.5151681174684538e-08,1024,1.0155121398187084e-62,1.0077262226511275e-31,1.0,6494.261864469446,6.494261864469446e-08,7.941560070455938e-22,1.161586065972782e-22,1.0954473172831842e-13,5.586054991350296e-15
zero,1.7782794100389228e-20,31834262512497.5,1024,7.953659949438287e-08,1024,3.21133135337849e-62,1.7920187926967986e-31,1.0,8660.237382350955,8.660237382350955e-08,1.412231275687905e-21,2.065624584107512e-22,3.464108579335997e-13,3.1412695664220894e-15
zero,3.162277660168379e-20,56610213559748.25,1024,2.5151681174684726e-07,1024,1.0155121398187085e-61,3.1867101214555256e-31,1.0,11548.612156987001,1.1548612156987001e-07,2.5113417997688034e-21,3.6732576667886017e-22,1.0954473172831846e-12,1.7664656907619113e-15
zero,5.62341325190349e-20,100668777171206.55,1024,7.95365994943832e-07,1024,3.211331353378489e-61,5.666860994746994e-31,1.0,15400.32182308408,1.540032182308408e-07,4.4658674140989536e-21,6.532078476617784e-22,3.4641085793359962e-12,9.933566574463386e-16
zero,1e-19,179017213677352.97,1024,2.515168117468479e-06,1024,1.0155121398187084e-60,1.0077262226511269e-30,1.0,20536.659213295177,2.0536659213295176e-07,7.941560070455937e-21,1.1615860659727817e-21,1.095447317283184e-11,5.586054991350296e-16
zero,1.7782794100389227e-19,318342625124975.06,1024,7.953659949438334e-06,1024,3.211331353378489e-60,1.7920187926967978e-30,1.0,27386.075205963505,2.7386075205963506e-07,1.412231275687905e-20,2.0656245841075116e-21,3.464108579335995e-11,3.14126956642209e-16
zero,3.162277660168379e-19,566102135597482.5,1024,2.5151681174684814e-05,1024,1.0155121398187084e-59,3.186710121455525e-30,1.0,36519.91822998895,3.651991822998895e-07,2.511341799768803e-20,3.6732576667886014e-21,1.095447317283184e-10,1.7664656907619115e-16
zero,5.623413251903491e-19,1006687771712065.5,1024,7.953659949438337e-05,1024,3.21133135337849e-59,5.666860994746995e-30,1.0,48700.093660542356,4.870009366054235e-07,4.4658674140989534e-20,6.532078476617784e-21,3.4641085793359954e-10,9.933566574463384e-17
zero,1e-18,1790172136773530.0,1024,0.0002515168117468483,1024,1.0155121398187086e-58,1.0077262226511268e-29,1.0,64942.61864469446,6.494261864469447e-07,7.941560070455938e-20,1.1615860659727821e-20,1.0954473172831847e-09,5.586054991350295e-17
zero,1.778279410038923e-18,3183426251249751.0,1024,0.000795365994943834,1024,3.21133135337849e-58,1.792018792696798e-29,1.0,86602.37382350955,8.660237382350956e-07,1.4122312756879052e-19,2.0656245841075122e-20,3.4641085793359967e-09,3.14126956642209e-17
zero,3.1622776601683795e-18,5661021355974825.0,1024,0.002515168117468483,1024,1.0155121398187087e-57,3.186710121455525e-29,1.0,115486.12156987001,1.1548612156987e-06,2.5113417997688033e-19,3.673257666788602e-20,1.0954473172831845e-08,1.766465690761911e-17
zero,5.623413251903491e-18,1.0066877717120656e+16,1024,0.00795365994943834,1024,3.2113313533784897e-57,5.666860994746994e-29,1.0,154003.2182308408,1.540032182308408e-06,4.465867414098953e-19,6.532078476617784e-20,3.464108579335996e-08,9.933566574463384e-18
zero,9.999999999999999e-18,1.7901721367735294e+16,1024,0.025151681174684824,1024,1.0155121398187084e-56,1.0077262226511268e-28,1.0,205366.59213295174,2.0536659213295173e-06,7.941560070455937e-19,1.1615860659727818e-19,1.095447317283184e-07,5.586054991350297e-18
zero,1.7782794100389228e-17,3.1834262512497504e+16,1024,0.07953659949438341,1024,3.2113313533784896e-56,1.7920187926967981e-28,1.0,273860.75205963507,2.7386075205963507e-06,1.4122312756879051e-18,2.065624584107512e-19,3.464108579335997e-07,3.1412695664220892e-18
zero,3.1622776601683796e-17,5.661021355974826e+16,1024,0.25151681174684837,1024,1.0155121398187087e-55,3.186710121455525e-28,1.0,365199.18229988957,3.6519918229988955e-06,2.5113417997688034e-18,3.6732576667886017e-19,1.0954473172831842e-06,1.7664656907619112e-18
zero,5.62341325190349e-17,1.0066877717120654e+17,1024,0.7953659949438339,1024,3.211331353378489e-55,5.666860994746994e-28,1.0,487000.9366054235,4.870009366054235e-06,4.465867414098954e-18,6.5320784766177845e-19,3.464108579335997e-06,9.933566574463386e-19
zero,1e-16,1.7901721367735296e+17,1024,2.515168117468483,1024,1.0155121398187084e-54,1.0077262226511269e-27,1.0,649426.1864469446,6.494261864469446e-06,7.941560070455937e-18,1.1615860659727818e-18,1.0954473172831841e-05,5.586054991350296e-19
zero,1.7782794100389228e-16,3.1834262512497504e+17,1024,7.953659949438342,1024,3.2113313533784897e-54,1.7920187926967983e-27,1.0,866023.7382350954,8.660237382350954e-06,1.412231275687905e-17,2.0656245841075115e-18,3.4641085793359954e-05,3.1412695664220894e-19
zero,3.1622776601683793e-16,5.6610213559748256e+17,1024,25.151681174684832,1024,1.0155121398187086e-53,3.1867101214555247e-27,1.0,1154861.2156987002,1.1548612156987002e-05,2.511341799768803e-17,3.673257666788601e-18,0.00010954473172831842,1.766465690761911e-19
zero,5.623413251903491e-16,1.0066877717120655e+18,1024,79.53659949438338,1024,3.21133135337849e-53,5.666860994746995e-27,1.0,1540032.182308408,1.540032182308408e-05,4.465867414098954e-17,6.532078476617784e-18,0.0003464108579335996,9.933566574463383e-20
zero,1e-15,1.7901721367735299e+18,1024,251.5168117468483,1024,1.0155121398187087e-52,1.0077262226511268e-26,1.0,2053665.9213295176,2.0536659213295175e-05,7.941560070455939e-17,1.1615860659727821e-17,0.0010954473172831846,5.586054991350296e-20
zero,1.7782794100389227e-15,3.18342625124975e+18,1024,795.3659949438338,1024,3.211331353378489e-52,1.792018792696798e-26,1.0,2738607.5205963505,2.7386075205963505e-05,1.4122312756879048e-16,2.0656245841075116e-17,0.003464108579335995,3.14126956642209e-20
zero,3.1622776601683794e-15,5.661021355974826e+18,1024,2515.168117468483,1024,1.0155121398187086e-51,3.1867101214555254e-26,1.0,3651991.8229988953,3.651991822998895e-05,2.511341799768803e-16,3.673257666788601e-17,0.01095447317283184,1.766465690761911e-20
zero,5.6234132519034904e-15,1.0066877717120655e+19,1024,7953.659949438341,1024,3.211331353378489e-51,5.666860994746995e-26,1.0,4870009.366054235,4.870009366054235e-05,4.465867414098953e-16,6.532078476617783e-17,0.034641085793359956,9.933566574463385e-21
