phase,mG_eV,beta,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,heavy_threshold_below_marker,heavy_threshold_below_marker_by_ten,tree_axis_budget_pass,CW_budget_pass,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,5.623413251903491e-33,3.911333803638786,10.066877717120656,1024,7.733159868450499e-33,1024,3.6428243609360497e-87,5.675063097385562e-44,1.0,0.004923621766311356,4.923621766311356e-14,False,False,False,True,4.564735295136906e-34,6.676689298631432e-35,3.619187156715973e-38,0.009933566574463384
zero,1e-32,6.955444368800077,17.9017213677353,1024,2.4803051817101436e-32,1024,1.0586763390649078e-86,1.008312514951984e-43,1.0,0.0065171250833930775,6.517125083393078e-14,False,False,False,True,7.9975754392827e-34,1.1697792511067145e-34,1.1109551750211822e-37,0.005586054991350295
zero,1.7782794100389227e-32,12.368723508708346,31.8342625124975,1024,7.896012048240696e-32,1024,3.2545220463034845e-86,1.7926050849976554e-43,1.0,0.008669913526392835,8.669913526392836e-14,False,False,False,True,1.415388830524907e-33,2.070243036487985e-34,3.4796164370739927e-37,0.0031412695664220897
zero,3.1622776601683795e-32,21.995046344000436,56.61021355974826,1024,2.5053515238588006e-31,1024,1.0198359204275581e-85,3.187296413756382e-43,1.0,0.011552697228754403,1.1552697228754404e-13,False,False,False,True,2.5131187796858288e-33,3.675856797303032e-34,1.0969981030569842e-36,0.0017664656907619108
zero,5.623413251903491e-32,39.11333803638786,100.66877717120656,1024,7.936638117109016e-31,1024,3.215663512024199e-85,5.667447287047852e-43,1.0,0.015402045108537772,1.5402045108537773e-13,False,False,False,True,4.466866925021883e-33,6.533540428615329e-34,3.465659365109797e-36,0.0009933566574463384
zero,1e-31,69.55444368800077,179.01721367735297,1024,2.5121846414695946e-30,1024,1.0159468455323242e-84,1.007784851881213e-42,1.0,0.020537386000148837,2.0537386000148836e-13,False,False,False,True,7.942122179757982e-33,1.1616682838653643e-33,1.0956023958605642e-35,0.0005586054991350296
zero,1.7782794100389228e-31,123.68723508708348,318.34262512497503,1024,7.948397976895521e-30,1024,3.2117687084599853e-84,1.7920774219268842e-42,1.0,0.02738638170056307,2.738638170056307e-13,False,False,False,True,1.4122628861817915e-32,2.0656708197449826e-33,3.464263657913377e-35,0.00031412695664220894
zero,3.162277660168379e-31,219.95046344000434,566.1021355974826,1024,2.5142367398652077e-29,1024,1.015556346458493e-83,3.186768750685611e-42,1.0,0.03652004747917351,3.6520047479173514e-13,False,False,False,True,2.511359575791855e-32,3.673283667197214e-33,1.095462825140922e-34,0.0001766465690761911
zero,5.623413251903491e-31,391.1333803638786,1006.6877717120655,1024,7.952008047963098e-29,1024,3.2113763978219614e-83,5.666919623977081e-42,1.0,0.0487001481646694,4.87001481646694e-13,False,False,False,True,4.4658774103155045e-32,6.532093097757403e-33,3.464124087193736e-34,9.933566574463386e-05
zero,9.999999999999999e-31,695.5444368800075,1790.1721367735295,1024,2.5148747980443613e-28,1024,1.0155167932479599e-82,1.0077320855741353e-41,1.0,0.06494264162892063,6.494264162892063e-13,False,False,False,True,7.941565691745898e-32,1.1615868881805136e-32,1.0954488680689576e-33,5.586054991350297e-05
zero,1.7782794100389227e-30,1236.8723508708347,3183.42625124975,1024,7.953138780359824e-28,1024,3.2113362717445295e-82,1.7920246556198068e-41,1.0,0.08660238351588087,8.660238351588087e-13,False,False,False,True,1.4122315917963464e-31,2.0656250464690094e-32,3.464110130121771e-33,3.14126956642209e-05
zero,3.1622776601683794e-30,2199.5046344000434,5661.0213559748245,1024,2.515075482525731e-27,1024,1.0155126787684762e-81,3.186715984378534e-41,1.0,0.11548612565710958,1.1548612565710958e-12,False,False,False,True,2.511341977529657e-31,3.6732579267936e-32,1.0954474723617624e-32,1.7664656907619113e-05
zero,5.623413251903491e-30,3911.333803638786,10066.877717120657,1024,7.95349526210839e-27,1024,3.2113319761086265e-81,5.666866857670003e-41,1.0,0.15400321995441552,1.5400321995441551e-12,False,False,False,True,4.465867514061231e-31,6.532078622829344e-32,3.4641087344145755e-32,9.933566574463384e-06
zero,1e-29,6955.444368800076,17901.721367735296,1024,2.515138835807826e-26,1024,1.0155122169902127e-80,1.0077268089434276e-40,1.0,0.20536659285977718,2.0536659285977717e-12,False,False,False,True,7.941560126668856e-31,1.161586074194862e-31,1.0954473327910418e-31,5.586054991350297e-06
zero,1.7782794100389227e-29,12368.723508708346,31834.262512497502,1024,7.953607882812242e-26,1024,3.2113314570436728e-80,1.7920193789890991e-40,1.0,0.2738607523661348,2.738607523661348e-12,False,False,False,True,1.4122312788489896e-30,2.0656245887311273e-31,3.4641085948438537e-31,3.1412695664220895e-06
zero,3.162277660168379e-29,21995.046344000435,56610.213559748256,1024,2.5151588590023816e-25,1024,1.0155121548965434e-79,3.1867107077478258e-40,1.0,0.3651991824291394,3.651991824291394e-12,False,False,False,True,2.5113418015464112e-30,3.673257669388651e-31,1.0954473188339699e-30,1.766465690761911e-06
zero,5.623413251903491e-29,39113.33803638786,100668.77717120656,1024,7.953643485733516e-25,1024,3.211331376834361e-79,5.6668615810392955e-40,1.0,0.4870009366599278,4.870009366599278e-12,False,False,False,True,4.465867415098577e-30,6.532078478079901e-31,3.464108580886783e-30,9.933566574463384e-07
zero,1e-28,69554.44368800076,179017.21367735293,1024,2.515165189805233e-24,1024,1.015512143654145e-78,1.0077262812803571e-39,1.0,0.6494261864699288,6.4942618646992876e-12,False,False,False,True,7.941560071018066e-30,1.1615860660550027e-30,1.095447317438263e-29,5.586054991350297e-07
zero,1.7782794100389227e-28,123687.23508708346,318342.625124975,1024,7.953654743278544e-24,1024,3.2113313598632944e-78,1.7920188513260282e-39,1.0,0.8660237382447877,8.660237382447877e-12,False,False,False,True,1.4122312757195158e-29,2.065624584153748e-30,3.4641085794910754e-29,3.14126956642209e-07
zero,3.1622776601683794e-28,219950.46344000436,566102.1355974826,1024,2.515167191672153e-23,1024,1.0155121409383207e-77,3.186710180084755e-39,1.0,1.1548612157027873,1.1548612157027874e-11,False,False,False,True,2.5113417997865793e-29,3.673257666814602e-30,1.0954473172986923e-28,1.766465690761911e-07
zero,5.62341325190349e-28,391133.38036387856,1006687.7717120653,1024,7.953658303118134e-23,1024,3.2113313553359056e-77,5.666861053376224e-39,1.0,1.5400321823101315,1.5400321823101314e-11,False,False,False,True,4.46586741410895e-29,6.532078476632405e-30,3.4641085793515044e-28,9.933566574463386e-08
zero,1e-27,695544.4368800076,1790172.1367735297,1024,2.515167824707185e-22,1024,1.0155121401634353e-76,1.00772622851405e-38,1.0,2.0536659213302446,2.0536659213302445e-11,False,False,False,True,7.941560070461559e-29,1.1615860659736041e-29,1.0954473172847353e-27,5.586054991350296e-08
zero,1.7782794100389228e-27,1236872.3508708347,3183426.25124975,1024,7.953659428827386e-22,1024,3.211331353988154e-76,1.7920187985597213e-38,1.0,2.738607520596657,2.7386075205966568e-11,False,False,False,True,1.412231275688221e-28,2.0656245841079738e-29,3.464108579337547e-27,3.1412695664220894e-08
zero,3.1622776601683794e-27,2199504.6344000436,5661021.355974825,1024,2.5151680248893514e-21,1024,1.0155121399267883e-75,3.1867101273184484e-38,1.0,3.6519918229990247,3.6519918229990246e-11,False,False,False,True,2.511341799768981e-28,3.673257666788862e-29,1.0954473172833398e-26,1.7664656907619112e-08
zero,5.62341325190349e-27,3911333.8036387856,10066877.717120655,1024,7.953659784806818e-21,1024,3.21133135357035e-75,5.666861000609918e-38,1.0,4.87000936605429,4.870009366054289e-11,False,False,False,True,4.465867414099053e-28,6.532078476617929e-29,3.4641085793361503e-26,9.933566574463385e-09
zero,1e-26,6955444.368800077,17901721.367735296,1024,2.5151680881924027e-20,1024,1.0155121398527933e-74,1.0077262232374193e-37,1.0,6.494261864469469,6.494261864469469e-11,False,False,False,True,7.941560070455994e-28,1.1615860659727901e-28,1.0954473172832002e-25,5.586054991350296e-09
zero,1.778279410038923e-26,12368723.508708348,31834262.512497503,1024,7.95365989737729e-20,1024,3.2113313534390687e-74,1.7920187932830906e-37,1.0,8.660237382350964,8.660237382350963e-11,False,False,False,True,1.4122312756879082e-27,2.0656245841075163e-28,3.4641085793360123e-25,3.141269566422089e-09
zero,3.162277660168379e-26,21995046.344000433,56610213.55974825,1024,2.5151681082105733e-19,1024,1.0155121398294777e-73,3.1867101220418173e-37,1.0,11.548612156987005,1.1548612156987005e-10,False,False,False,True,2.5113417997688047e-27,3.6732576667886035e-28,1.0954473172831859e-24,1.7664656907619113e-09
zero,5.623413251903491e-26,39113338.03638786,100668777.17120656,1024,7.953659932975189e-19,1024,3.2113313533976376e-73,5.666860995333288e-37,1.0,15.40032182308408,1.540032182308408e-10,False,False,False,True,4.4658674140989546e-27,6.532078476617785e-28,3.464108579335998e-24,9.933566574463383e-10
zero,1e-25,69554443.68800077,179017213.67735296,1024,2.515168114540874e-18,1024,1.0155121398221135e-72,1.0077262227097561e-36,1.0,20.536659213295177,2.0536659213295177e-10,False,False,False,True,7.941560070455938e-27,1.1615860659727821e-27,1.0954473172831848e-23,5.586054991350297e-10
zero,1.7782794100389227e-25,123687235.08708347,318342625.12497497,1024,7.953659944232232e-18,1024,3.2113313533845437e-72,1.7920187927554274e-36,1.0,27.386075205963504,2.7386075205963506e-10,False,False,False,True,1.4122312756879048e-26,2.0656245841075118e-27,3.464108579335996e-23,3.14126956642209e-10
zero,3.162277660168379e-25,219950463.44000432,566102135.5974826,1024,2.51516811654269e-17,1024,1.0155121398197851e-71,3.186710121514154e-36,1.0,36.51991822998895,3.651991822998895e-10,False,False,False,True,2.511341799768803e-26,3.673257666788601e-27,1.0954473172831844e-22,1.766465690761911e-10
zero,5.62341325190349e-25,391133380.36387855,1006687771.7120655,1024,7.953659947792021e-17,1024,3.211331353380404e-71,5.666860994805624e-36,1.0,48.70009366054235,4.870009366054235e-10,False,False,False,True,4.4658674140989543e-26,6.532078476617785e-27,3.464108579335998e-22,9.933566574463386e-11
zero,1e-24,695544436.8800075,1790172136.7735293,1024,2.51516811717572e-16,1024,1.015512139819049e-70,1.0077262226569899e-35,1.0,64.94261864469445,6.494261864469445e-10,False,False,False,True,7.941560070455935e-26,1.1615860659727816e-26,1.095447317283184e-21,5.586054991350297e-11
zero,1.778279410038923e-24,1236872350.8708348,3183426251.2497506,1024,7.953659948917729e-16,1024,3.211331353379096e-70,1.7920187927026614e-35,1.0,86.60237382350954,8.660237382350954e-10,False,False,False,True,1.412231275687905e-25,2.065624584107512e-26,3.464108579335997e-21,3.141269566422089e-11
zero,3.1622776601683795e-24,2199504634.4000435,5661021355.974825,1024,2.515168117375902e-15,1024,1.0155121398188165e-69,3.186710121461388e-35,1.0,115.48612156987001,1.1548612156987e-09,False,False,False,True,2.5113417997688035e-25,3.673257666788602e-26,1.095447317283185e-20,1.7664656907619112e-11
zero,5.623413251903491e-24,3911333803.6387863,10066877717.120655,1024,7.953659949273704e-15,1024,3.2113313533786823e-69,5.666860994752858e-35,1.0,154.00321823084082,1.540032182308408e-09,False,False,False,True,4.465867414098955e-25,6.532078476617785e-26,3.464108579335998e-20,9.933566574463386e-12
zero,1e-23,6955444368.800076,17901721367.7353,1024,2.5151681174392063e-14,1024,1.0155121398187426e-68,1.0077262226517135e-34,1.0,205.36659213295175,2.0536659213295175e-09,False,False,False,True,7.941560070455937e-25,1.161586065972782e-25,1.0954473172831843e-19,5.586054991350296e-12
zero,1.7782794100389228e-23,12368723508.708347,31834262512.4975,1024,7.953659949386275e-14,1024,3.211331353378551e-68,1.7920187926973847e-34,1.0,273.86075205963505,2.7386075205963505e-09,False,False,False,True,1.412231275687905e-24,2.0656245841075117e-25,3.4641085793359966e-19,3.1412695664220895e-12
zero,3.1622776601683793e-23,21995046344.000435,56610213559.74826,1024,2.515168117459223e-13,1024,1.0155121398187195e-67,3.186710121456111e-34,1.0,365.1991822998895,3.651991822998895e-09,False,False,False,True,2.5113417997688032e-24,3.6732576667886015e-25,1.0954473172831846e-18,1.7664656907619108e-12
zero,5.62341325190349e-23,39113338036.387856,100668777171.20656,1024,7.953659949421873e-13,1024,3.2113313533785084e-67,5.666860994747581e-34,1.0,487.00093660542353,4.870009366054235e-09,False,False,False,True,4.465867414098953e-24,6.532078476617783e-25,3.464108579335995e-18,9.933566574463384e-13
zero,1e-22,69554443688.00076,179017213677.35297,1024,2.515168117465554e-12,1024,1.0155121398187122e-66,1.0077262226511856e-33,1.0,649.4261864469446,6.494261864469446e-09,False,False,False,True,7.941560070455938e-24,1.161586065972782e-24,1.0954473172831846e-17,5.586054991350296e-13
zero,1.7782794100389228e-22,123687235087.08348,318342625124.975,1024,7.953659949433128e-12,1024,3.2113313533784966e-66,1.7920187926968567e-33,1.0,866.0237382350955,8.660237382350954e-09,False,False,False,True,1.412231275687905e-23,2.065624584107512e-24,3.464108579335997e-17,3.14126956642209e-13
zero,3.1622776601683793e-22,219950463440.00433,566102135597.4825,1024,2.515168117467556e-11,1024,1.0155121398187098e-65,3.186710121455584e-33,1.0,1154.8612156987,1.1548612156987e-08,False,False,False,True,2.5113417997688033e-23,3.6732576667886016e-24,1.0954473172831846e-16,1.766465690761911e-13
zero,5.623413251903491e-22,391133380363.8786,1006687771712.0657,1024,7.953659949436692e-11,1024,3.2113313533784925e-65,5.666860994747054e-33,1.0,1540.032182308408,1.540032182308408e-08,False,False,False,True,4.465867414098954e-23,6.532078476617784e-24,3.4641085793359965e-16,9.933566574463383e-14
zero,1e-21,695544436880.0076,1790172136773.5295,1024,2.515168117468188e-10,1024,1.0155121398187089e-64,1.0077262226511328e-32,1.0,2053.6659213295175,2.0536659213295176e-08,False,False,False,True,7.941560070455936e-23,1.1615860659727817e-23,1.0954473172831843e-15,5.5860549913502964e-14
zero,1.778279410038923e-21,1236872350870.8347,3183426251249.75,1024,7.953659949437815e-10,1024,3.2113313533784915e-64,1.7920187926968042e-32,1.0,2738.6075205963507,2.7386075205963508e-08,False,False,False,True,1.412231275687905e-22,2.065624584107512e-23,3.464108579335997e-15,3.14126956642209e-14
zero,3.1622776601683792e-21,2199504634400.0435,5661021355974.825,1024,2.515168117468388e-09,1024,1.0155121398187087e-63,3.1867101214555305e-32,1.0,3651.9918229988953,3.651991822998895e-08,False,False,False,True,2.511341799768803e-22,3.673257666788601e-23,1.0954473172831841e-14,1.766465690761911e-14
zero,5.6234132519034906e-21,3911333803638.7856,10066877717120.654,1024,7.953659949438172e-09,1024,3.2113313533784905e-63,5.666860994747001e-32,1.0,4870.009366054235,4.870009366054235e-08,False,False,False,True,4.465867414098953e-22,6.532078476617783e-23,3.464108579335996e-14,9.933566574463386e-15
zero,1e-20,6955444368800.076,17901721367735.297,1024,2.5151681174684518e-08,1024,1.0155121398187086e-62,1.0077262226511277e-31,1.0,6494.261864469446,6.494261864469446e-08,False,False,False,True,7.941560070455936e-22,1.1615860659727817e-22,1.0954473172831841e-13,5.586054991350296e-15
zero,1.7782794100389228e-20,12368723508708.348,31834262512497.5,1024,7.953659949438284e-08,1024,3.2113313533784904e-62,1.7920187926967988e-31,1.0,8660.237382350955,8.660237382350955e-08,False,False,False,True,1.412231275687905e-21,2.065624584107512e-22,3.464108579335997e-13,3.1412695664220898e-15
zero,3.162277660168379e-20,21995046344000.434,56610213559748.25,1024,2.5151681174684715e-07,1024,1.0155121398187087e-61,3.186710121455525e-31,1.0,11548.612156987001,1.1548612156987001e-07,False,False,False,True,2.5113417997688034e-21,3.6732576667886017e-22,1.0954473172831848e-12,1.7664656907619111e-15
zero,5.62341325190349e-20,39113338036387.86,100668777171206.55,1024,7.953659949438318e-07,1024,3.2113313533784894e-61,5.666860994746995e-31,1.0,15400.32182308408,1.540032182308408e-07,False,False,False,True,4.4658674140989536e-21,6.532078476617784e-22,3.464108579335997e-12,9.933566574463386e-16
zero,1e-19,69554443688000.76,179017213677352.97,1024,2.5151681174684778e-06,1024,1.0155121398187087e-60,1.007726222651127e-30,1.0,20536.659213295177,2.0536659213295176e-07,False,False,False,True,7.941560070455937e-21,1.1615860659727817e-21,1.0954473172831845e-11,5.586054991350296e-16
zero,1.7782794100389227e-19,123687235087083.47,318342625124975.06,1024,7.95365994943833e-06,1024,3.2113313533784903e-60,1.792018792696798e-30,1.0,27386.075205963505,2.7386075205963506e-07,False,False,False,True,1.412231275687905e-20,2.0656245841075116e-21,3.4641085793359965e-11,3.141269566422089e-16
zero,3.162277660168379e-19,219950463440004.34,566102135597482.5,1024,2.5151681174684794e-05,1024,1.0155121398187086e-59,3.186710121455525e-30,1.0,36519.91822998895,3.651991822998895e-07,False,False,False,True,2.511341799768803e-20,3.6732576667886014e-21,1.0954473172831844e-10,1.7664656907619112e-16
zero,5.623413251903491e-19,391133380363878.6,1006687771712065.5,1024,7.953659949438334e-05,1024,3.2113313533784903e-59,5.6668609947469955e-30,1.0,48700.093660542356,4.870009366054235e-07,False,False,False,True,4.4658674140989534e-20,6.532078476617784e-21,3.464108579335996e-10,9.933566574463384e-17
zero,1e-18,695544436880007.6,1790172136773530.0,1024,0.0002515168117468481,1024,1.0155121398187088e-58,1.007726222651127e-29,1.0,64942.61864469446,6.494261864469447e-07,False,False,False,True,7.941560070455937e-20,1.161586065972782e-20,1.0954473172831845e-09,5.586054991350295e-17
zero,1.778279410038923e-18,1236872350870834.8,3183426251249751.0,1024,0.0007953659949438338,1024,3.2113313533784905e-58,1.7920187926967986e-29,1.0,86602.37382350955,8.660237382350956e-07,False,False,False,True,1.4122312756879052e-19,2.0656245841075122e-20,3.464108579335998e-09,3.1412695664220885e-17
zero,3.1622776601683795e-18,2199504634400043.5,5661021355974825.0,1024,0.0025151681174684815,1024,1.0155121398187089e-57,3.1867101214555255e-29,1.0,115486.12156987001,1.1548612156987e-06,False,False,False,True,2.5113417997688033e-19,3.673257666788602e-20,1.0954473172831847e-08,1.7664656907619112e-17
zero,5.623413251903491e-18,3911333803638786.0,1.0066877717120656e+16,1024,0.007953659949438335,1024,3.211331353378491e-57,5.666860994746995e-29,1.0,154003.2182308408,1.540032182308408e-06,False,False,False,True,4.465867414098954e-19,6.532078476617785e-20,3.464108579335997e-08,9.933566574463384e-18
zero,9.999999999999999e-18,6955444368800076.0,1.7901721367735294e+16,1024,0.025151681174684807,1024,1.0155121398187086e-56,1.007726222651127e-28,1.0,205366.59213295174,2.0536659213295173e-06,False,False,False,True,7.941560070455936e-19,1.1615860659727818e-19,1.095447317283184e-07,5.586054991350297e-18
zero,1.7782794100389228e-17,1.2368723508708348e+16,3.1834262512497504e+16,1024,0.07953659949438335,1024,3.2113313533784905e-56,1.7920187926967981e-28,1.0,273860.75205963507,2.7386075205963507e-06,False,False,False,True,1.4122312756879051e-18,2.065624584107512e-19,3.4641085793359974e-07,3.1412695664220892e-18
zero,3.1622776601683796e-17,2.1995046344000436e+16,5.661021355974826e+16,1024,0.2515168117468482,1024,1.015512139818709e-55,3.1867101214555255e-28,1.0,365199.18229988957,3.6519918229988955e-06,False,False,False,False,2.5113417997688034e-18,3.6732576667886017e-19,1.0954473172831849e-06,1.766465690761911e-18
zero,5.62341325190349e-17,3.911333803638786e+16,1.0066877717120654e+17,1024,0.7953659949438334,1024,3.2113313533784896e-55,5.666860994746995e-28,1.0,487000.9366054235,4.870009366054235e-06,False,False,False,False,4.465867414098954e-18,6.5320784766177845e-19,3.464108579335997e-06,9.933566574463386e-19
zero,1e-16,6.955444368800076e+16,1.7901721367735296e+17,1024,2.515168117468481,1024,1.0155121398187087e-54,1.0077262226511269e-27,1.0,649426.1864469446,6.494261864469446e-06,False,False,False,False,7.941560070455937e-18,1.1615860659727818e-18,1.0954473172831844e-05,5.586054991350297e-19
zero,1.7782794100389228e-16,1.2368723508708347e+17,3.1834262512497504e+17,1024,7.953659949438336,1024,3.21133135337849e-54,1.7920187926967983e-27,1.0,866023.7382350954,8.660237382350954e-06,False,False,False,False,1.412231275687905e-17,2.0656245841075115e-18,3.464108579335996e-05,3.1412695664220894e-19
zero,3.1622776601683793e-16,2.1995046344000435e+17,5.6610213559748256e+17,1024,25.151681174684818,1024,1.0155121398187088e-53,3.1867101214555254e-27,1.0,1154861.2156987002,1.1548612156987002e-05,False,False,False,False,2.511341799768803e-17,3.673257666788601e-18,0.00010954473172831843,1.766465690761911e-19
zero,5.623413251903491e-16,3.911333803638786e+17,1.0066877717120655e+18,1024,79.53659949438337,1024,3.2113313533784905e-53,5.6668609947469954e-27,1.0,1540032.182308408,1.540032182308408e-05,False,False,False,False,4.465867414098954e-17,6.532078476617784e-18,0.0003464108579335997,9.933566574463384e-20
zero,1e-15,6.955444368800077e+17,1.7901721367735299e+18,1024,251.51681174684813,1024,1.0155121398187089e-52,1.0077262226511271e-26,1.0,2053665.9213295176,2.0536659213295175e-05,False,False,False,False,7.941560070455939e-17,1.1615860659727821e-17,0.001095447317283185,5.586054991350295e-20
zero,1.7782794100389227e-15,1.2368723508708347e+18,3.18342625124975e+18,1024,795.3659949438335,1024,3.21133135337849e-52,1.792018792696798e-26,1.0,2738607.5205963505,2.7386075205963505e-05,False,False,False,False,1.4122312756879048e-16,2.0656245841075116e-17,0.0034641085793359954,3.1412695664220894e-20
zero,3.1622776601683794e-15,2.1995046344000435e+18,5.661021355974826e+18,1024,2515.168117468482,1024,1.0155121398187088e-51,3.1867101214555254e-26,1.0,3651991.8229988953,3.651991822998895e-05,False,False,False,False,2.511341799768803e-16,3.673257666788601e-17,0.010954473172831844,1.766465690761911e-20
zero,5.6234132519034904e-15,3.9113338036387855e+18,1.0066877717120655e+19,1024,7953.659949438334,1024,3.21133135337849e-51,5.666860994746995e-26,1.0,4870009.366054235,4.870009366054235e-05,False,False,False,False,4.465867414098953e-16,6.532078476617783e-17,0.034641085793359956,9.933566574463384e-21
zero,1e-14,6.955444368800076e+18,1.7901721367735296e+19,1024,25151.681174684814,1024,1.0155121398187087e-50,1.0077262226511271e-25,1.0,6494261.864469446,6.494261864469446e-05,False,False,False,False,7.941560070455937e-16,1.161586065972782e-16,0.10954473172831845,5.586054991350296e-21
zero,1.7782794100389227e-14,1.2368723508708346e+19,3.1834262512497496e+19,1024,79536.59949438335,1024,3.2113313533784897e-50,1.7920187926967982e-25,1.0,8660237.382350953,8.660237382350954e-05,False,False,False,False,1.412231275687905e-15,2.065624584107512e-16,0.3464108579335997,3.14126956642209e-21
