epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0001,0.09044704897007873,-2.4029906937639685,20.683686094583543,-1.499205447539666,0.6650998627145611,0.46649350528780914,136.5135962917561,1.4999241540473292,7.493851201846175e-05,0.0007193040877500647,0.9951108756520152,0.0032133227191241316,4.486799674201329,0.9969351881619637,4.4868130987226404,0.9969353665615379
0.0001,0.09053347474137688,-2.402035610022409,20.654091088450283,-1.499197024574336,0.665102612784053,0.4671638700200161,136.51502884285725,1.4999198138124377,7.49382434694355e-05,0.0007170988222812873,0.9951093573428454,0.00321025029383721,4.491073843618461,0.9969347316953314,4.491087281692416,0.9969349096703537
0.0001,0.09061998309595479,-2.4010805262808494,20.624538594076142,-1.4991885833413847,0.6651053642711285,0.46783519530732354,136.5164613898089,1.4999154647633683,7.493797418808555e-05,0.0007148915758477738,0.9951078230080767,0.0032071807545990595,4.495352082671972,0.9969342661118291,4.495365534310377,0.9969344436633085
0.0001,0.09070657411272405,-2.4001254425392897,20.595028550518272,-1.4991801237832063,0.6651081171854178,0.4685074825206754,136.51789393260265,1.499911106869869,7.493770417222738e-05,0.0007126823372703053,0.9951062726130047,0.003204114098636982,4.499634395195631,0.9969337913928037,4.499647860410318,0.9969339685217468
0.0001,0.09079324787067167,-2.39917035879773,20.565560896921603,-1.499171645842037,0.6651108715365739,0.4691807330329533,136.51932647123,1.4999067401016097,7.493743341967098e-05,0.0007104710953397458,0.9951047061228169,0.0032010503231807664,4.503920785026691,0.996933307519542,4.503934263829489,0.9969334842269532
0.0001,0.09088000444886016,-2.3982152750561703,20.53613557251878,-1.4991631494599538,0.6651136273342731,0.4698549482189782,136.52075900568246,1.4999023644281835,7.493716192821991e-05,0.0007082578388290993,0.9951031235025917,0.0031979894254626716,4.508211256005839,0.9969328144732706,4.5082247484086,0.9969329907601517
0.0001,0.09096684392642754,-2.397260191314611,20.50675251663,-1.4991546345788753,0.6651163845882149,0.47053012945551326,136.52219153595155,1.4998979798191043,7.49368896956721e-05,0.0007060425564825341,0.9951015247172981,0.00319493140271744,4.512505811977225,0.9969323122351561,4.512519317991816,0.9969324881025066
0.0001,0.09105376638258755,-2.3963051075730513,20.47741166866287,-1.499146101140561,0.6651191433081217,0.4712062781212676,136.52362406202866,1.4998935862438083,7.493661671981988e-05,0.0007038252370142942,0.9950999097317957,0.0031918762521822735,4.516804456788479,0.9969318007863041,4.51681797642677,0.9969319762351212
0.0001,0.09114077189662947,-2.395350023831492,20.448112968112326,-1.49913754908661,0.6651219035037396,0.47188339559689724,136.52505658390527,1.4998891836716535,7.493634299844937e-05,0.0007016058691176894,0.9950982785108342,0.0031888239710968656,4.52110719429067,0.9969312801077601,4.5211207275645515,0.9969314551390385
0.0001,0.09122786054791854,-2.3943949400899323,20.418856354560468,-1.4991289783584607,0.6651246651848376,0.4725614832650091,136.52648910157274,1.4998847720719188,7.493606852934077e-05,0.0006993844414601516,0.995096631019053,0.0031857745567033576,4.525414028338349,0.9969307501805085,4.525427575259725,0.9969309247952407
