epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0,0.3514047109777681,-1.0458166970077687,2.819596694165003,-1.371153564842462,0.6863227271621328,3.531246782224269,,,0.0,,0.9130905122913424,0.0007588982027242205,17.1249696571821,0.9514628323518464,17.124969657182067,0.9514628323518464
0.0,0.3517404922280123,-1.044861613266209,2.8159071176588273,-1.3708142477758463,0.6863790999447331,3.5361640687768228,,,0.0,,0.912865515964684,0.0007579869144100609,17.140537598736262,0.9513347196287195,17.140537598736223,0.9513347196287195
0.0,0.35207659433066546,-1.0439065295246492,2.8122232815930603,-1.3704741267319915,0.6864356215269349,3.5410877974651767,,,0.0,,0.9126399828492039,0.0007570762290928237,17.15611759094567,0.9512062856975637,17.156117590945648,0.9512062856975637
0.0,0.35241301759231475,-1.0429514457830895,2.8085451782275235,-1.3701332002436688,0.6864922922779773,3.54601797512763,,,0.0,,0.9124139119676901,0.0007561661460669224,17.17170963567123,0.9510775298870292,17.171709635671196,0.9510775298870291
0.0,0.3527497623198404,-1.0419963620415302,2.8048727998332033,-1.3697914668433162,0.6865491125678533,3.55095460860345,,,0.0,,0.9121873023427061,0.0007552566646285238,17.18731373474563,0.9509484515250306,17.18731373474559,0.9509484515250305
0.0,0.35308682882041614,-1.0410412782999705,2.8012061386922276,-1.3694489250630506,0.6866060827673116,3.555897704732845,,,0.0,,0.9119601529965997,0.0007543477840755485,17.202929889973348,0.9508190499387502,17.202929889973326,0.95081904993875
0.0,0.35342421740150887,-1.0400861945584108,2.7975451870978567,-1.369105573434686,0.6866632032478562,3.5608472703569314,,,0.0,,0.9117324629515139,0.0007534395037076786,17.218558103130537,0.9506893244546415,17.218558103130515,0.9506893244546413
0.0,0.3537619283708794,-1.039131110816851,2.793889937354459,-1.368761410489745,0.6867204743817479,3.565803312317711,,,0.0,,0.911504231229395,0.0007525318228263593,17.23419837596487,0.9505592743984312,17.234198375964848,0.9505592743984309
0.0,0.3540999620365824,-1.0381760270752918,2.7902403817774974,-1.368416434759475,0.6867778965420045,3.5707658374580404,,,0.0,,0.9112754568520036,0.0007516247407348042,17.249850710195474,0.9504288990951235,17.249850710195442,0.9504288990951232
0.0,0.3544383187069675,-1.037220943333732,2.786596512693502,-1.3680706447748614,0.686835470102402,3.575734852621612,,,0.0,,0.9110461388409236,0.0007507182567379969,17.265515107512844,0.9502981978690019,17.26551510751281,0.9502981978690017
0.0,0.3547769986906784,-1.0362658595921723,2.7829583224400665,-1.367724039066644,0.6868931954374748,3.580710364652914,,,0.0,,0.9108162762175726,0.0007498123701426977,17.281191569578713,0.9501671700436336,17.28119156957868,0.9501671700436334
0.0,0.3551160022966538,-1.035310775850613,2.779325803365821,-1.367376616165331,0.6869510729225169,3.585692380397207,,,0.0,,0.9105858680032107,0.0007489070802574469,17.296880098025955,0.9500358149418716,17.296880098025923,0.9500358149418715
0.0,0.3554553298341279,-1.0343556921090533,2.775698947830412,-1.367028374601213,0.6870091029335818,3.590680906700502,,,0.0,,0.9103549132189519,0.0007480023863925659,17.312580694458497,0.9499041318858585,17.312580694458465,0.9499041318858583
0.0,0.35579498161263023,-1.0334006083674936,2.772077748204494,-1.3666793129043797,0.6870672858474842,3.595675950409526,,,0.0,,0.910123410885773,0.000747098287860166,17.328293360451227,0.9497721201970294,17.328293360451188,0.9497721201970293
0.0,0.35613495794198585,-1.0324455246259339,2.7684621968697036,-1.3663294296047341,0.6871256220417999,3.6006775183716924,,,0.0,,0.9098913600245239,0.0007461947839741481,17.344018097549817,0.9496397791961153,17.344018097549785,0.9496397791961153
0.0,0.3564752591323161,-1.0314904408843746,2.7648522862186478,-1.3659787232320075,0.6871841118948667,3.605685617435075,,,0.0,,0.9096587596559379,0.0007452918740502098,17.35975490727075,0.9495071082031464,17.359754907270712,0.9495071082031463
0.0,0.3568158854940388,-1.0305353571428149,2.761248008654878,-1.3656271923157737,0.6872427557857854,3.6107002544483864,,,0.0,,0.9094256088006414,0.0007443895574058459,17.37550379110109,0.9493741065374549,17.37550379110105,0.9493741065374548
0.0,0.3571568373378682,-1.0295802734012551,2.757649356592881,-1.3652748353854676,0.6873015540944197,3.615721436260937,,,0.0,,0.9091919064791646,0.000743487833360356,17.391264750498454,0.9492407735176789,17.391264750498415,0.9492407735176788
