mKK_eV,M_vector_eV,local_curvature_mG_max_eV,auxiliary_mG_max_eV,two_mass_gaps_pass
1000000000000.0,31622776601683.793,9.799804155753243e-05,0.023710483334276215,False
1000000000000.0,36517412725483.77,8.486280774798013e-05,0.03161843769320865,False
1000000000000.0,42169650342858.23,7.348816388991493e-05,0.042163864315414426,False
1000000000000.0,48696752516586.31,6.363812811790377e-05,0.05622641672743152,False
1000000000000.0,56234132519034.91,5.5108348555521687e-05,0.07497913175977634,False
1000000000000.0,64938163157621.13,4.772186376837297e-05,0.09998627916665953,False
1000000000000.0,74989420933245.58,4.132543146766033e-05,0.13333384619100572,False
1000000000000.0,86596432336006.53,3.5786349298455224e-05,0.17780354152847433,False
1000000000000.0,100000000000000.0,3.0989701755763726e-05,0.23710483334276214,False
10000000000000.0,100000000000.0,0.003098970175576373,2.3710483334276213e-07,False
10000000000000.0,115478198468.94582,0.002683597611206016,3.1618437693208645e-07,False
10000000000000.0,133352143216.3324,0.0023238997895587057,4.216386431541442e-07,False
10000000000000.0,153992652605.9492,0.002012414308821803,5.62264167274315e-07,False
10000000000000.0,177827941003.89227,0.001742678995258986,7.497913175977634e-07,False
10000000000000.0,205352502645.7146,0.0015090978369632464,9.998627916665952e-07,False
10000000000000.0,237137370566.16553,0.001306824887270016,1.3333384619100574e-06,False
10000000000000.0,273841963426.43613,0.001131663729254873,1.7780354152847435e-06,False
10000000000000.0,316227766016.83795,0.0009799804155753242,2.3710483334276218e-06,False
10000000000000.0,365174127254.8377,0.0008486280774798013,3.1618437693208648e-06,False
10000000000000.0,421696503428.5823,0.0007348816388991492,4.2163864315414425e-06,False
10000000000000.0,486967525165.8631,0.0006363812811790377,5.622641672743151e-06,False
10000000000000.0,562341325190.3491,0.0005510834855552168,7.497913175977636e-06,False
10000000000000.0,649381631576.2113,0.0004772186376837297,9.998627916665952e-06,False
10000000000000.0,749894209332.4558,0.0004132543146766032,1.3333384619100574e-05,False
10000000000000.0,865964323360.0653,0.00035786349298455225,1.778035415284743e-05,False
10000000000000.0,1000000000000.0,0.00030989701755763726,2.3710483334276216e-05,True
10000000000000.0,1154781984689.4583,0.0002683597611206016,3.161843769320865e-05,False
10000000000000.0,1333521432163.324,0.00023238997895587055,4.2163864315414415e-05,False
10000000000000.0,1539926526059.492,0.00020124143088218028,5.622641672743151e-05,False
10000000000000.0,1778279410038.9229,0.0001742678995258986,7.497913175977636e-05,False
10000000000000.0,2053525026457.146,0.00015090978369632465,9.998627916665952e-05,False
10000000000000.0,2371373705661.6553,0.00013068248872700157,0.00013333384619100574,False
10000000000000.0,2738419634264.3613,0.00011316637292548729,0.00017780354152847436,False
10000000000000.0,3162277660168.3794,9.799804155753243e-05,0.00023710483334276217,False
10000000000000.0,3651741272548.377,8.486280774798014e-05,0.0003161843769320864,False
10000000000000.0,4216965034285.8223,7.348816388991493e-05,0.00042163864315414415,False
10000000000000.0,4869675251658.631,6.363812811790377e-05,0.000562264167274315,False
10000000000000.0,5623413251903.491,5.510834855552168e-05,0.0007497913175977636,False
10000000000000.0,6493816315762.113,4.7721863768372975e-05,0.0009998627916665951,False
10000000000000.0,7498942093324.559,4.1325431467660315e-05,0.0013333384619100574,False
10000000000000.0,8659643233600.653,3.5786349298455224e-05,0.0017780354152847433,False
10000000000000.0,10000000000000.0,3.0989701755763726e-05,0.0023710483334276216,False
10000000000000.0,11547819846894.582,2.683597611206016e-05,0.0031618437693208645,False
10000000000000.0,13335214321633.24,2.3238997895587055e-05,0.004216386431541442,False
10000000000000.0,15399265260594.92,2.0124143088218028e-05,0.0056226416727431505,False
10000000000000.0,17782794100389.227,1.742678995258986e-05,0.007497913175977634,False
10000000000000.0,20535250264571.46,1.5090978369632464e-05,0.009998627916665951,False
10000000000000.0,23713737056616.55,1.306824887270016e-05,0.01333338461910057,False
10000000000000.0,27384196342643.613,1.131663729254873e-05,0.017780354152847434,False
10000000000000.0,31622776601683.793,9.799804155753242e-06,0.023710483334276215,False
10000000000000.0,36517412725483.77,8.486280774798012e-06,0.03161843769320865,False
10000000000000.0,42169650342858.23,7.348816388991492e-06,0.042163864315414426,False
10000000000000.0,48696752516586.31,6.3638128117903766e-06,0.05622641672743152,False
10000000000000.0,56234132519034.91,5.510834855552169e-06,0.07497913175977634,False
10000000000000.0,64938163157621.13,4.7721863768372975e-06,0.09998627916665953,False
10000000000000.0,74989420933245.58,4.132543146766032e-06,0.13333384619100572,False
10000000000000.0,86596432336006.53,3.578634929845522e-06,0.17780354152847433,False
10000000000000.0,100000000000000.0,3.0989701755763727e-06,0.23710483334276214,False
100000000000000.0,100000000000.0,0.0003098970175576373,2.3710483334276213e-07,False
100000000000000.0,115478198468.94582,0.0002683597611206017,3.1618437693208645e-07,False
100000000000000.0,133352143216.3324,0.00023238997895587058,4.216386431541442e-07,False
100000000000000.0,153992652605.9492,0.00020124143088218028,5.62264167274315e-07,False
100000000000000.0,177827941003.89227,0.00017426789952589862,7.497913175977634e-07,False
100000000000000.0,205352502645.7146,0.00015090978369632465,9.998627916665952e-07,False
100000000000000.0,237137370566.16553,0.0001306824887270016,1.3333384619100574e-06,False
100000000000000.0,273841963426.43613,0.00011316637292548732,1.7780354152847435e-06,False
100000000000000.0,316227766016.83795,9.799804155753243e-05,2.3710483334276218e-06,False
100000000000000.0,365174127254.8377,8.486280774798014e-05,3.1618437693208648e-06,False
100000000000000.0,421696503428.5823,7.348816388991493e-05,4.2163864315414425e-06,False
100000000000000.0,486967525165.8631,6.363812811790378e-05,5.622641672743151e-06,False
100000000000000.0,562341325190.3491,5.5108348555521687e-05,7.497913175977636e-06,False
100000000000000.0,649381631576.2113,4.772186376837298e-05,9.998627916665952e-06,False
100000000000000.0,749894209332.4558,4.132543146766032e-05,1.3333384619100574e-05,False
100000000000000.0,865964323360.0653,3.578634929845523e-05,1.778035415284743e-05,False
100000000000000.0,1000000000000.0,3.0989701755763726e-05,2.3710483334276216e-05,True
100000000000000.0,1154781984689.4583,2.6835976112060165e-05,3.161843769320865e-05,True
100000000000000.0,1333521432163.324,2.323899789558706e-05,4.2163864315414415e-05,True
100000000000000.0,1539926526059.492,2.012414308821803e-05,5.622641672743151e-05,True
100000000000000.0,1778279410038.9229,1.742678995258986e-05,7.497913175977636e-05,True
100000000000000.0,2053525026457.146,1.5090978369632466e-05,9.998627916665952e-05,True
100000000000000.0,2371373705661.6553,1.3068248872700159e-05,0.00013333384619100574,True
100000000000000.0,2738419634264.3613,1.131663729254873e-05,0.00017780354152847436,True
100000000000000.0,3162277660168.3794,9.799804155753243e-06,0.00023710483334276217,True
100000000000000.0,3651741272548.377,8.486280774798015e-06,0.0003161843769320864,True
100000000000000.0,4216965034285.8223,7.348816388991494e-06,0.00042163864315414415,True
100000000000000.0,4869675251658.631,6.363812811790378e-06,0.000562264167274315,True
100000000000000.0,5623413251903.491,5.510834855552169e-06,0.0007497913175977636,True
100000000000000.0,6493816315762.113,4.7721863768372975e-06,0.0009998627916665951,True
100000000000000.0,7498942093324.559,4.132543146766032e-06,0.0013333384619100574,True
100000000000000.0,8659643233600.653,3.5786349298455226e-06,0.0017780354152847433,True
100000000000000.0,10000000000000.0,3.0989701755763727e-06,0.0023710483334276216,True
100000000000000.0,11547819846894.582,2.6835976112060166e-06,0.0031618437693208645,False
100000000000000.0,13335214321633.24,2.3238997895587058e-06,0.004216386431541442,False
100000000000000.0,15399265260594.92,2.012414308821803e-06,0.0056226416727431505,False
100000000000000.0,17782794100389.227,1.7426789952589862e-06,0.007497913175977634,False
100000000000000.0,20535250264571.46,1.5090978369632466e-06,0.009998627916665951,False
100000000000000.0,23713737056616.55,1.3068248872700162e-06,0.01333338461910057,False
100000000000000.0,27384196342643.613,1.131663729254873e-06,0.017780354152847434,False
100000000000000.0,31622776601683.793,9.799804155753244e-07,0.023710483334276215,False
100000000000000.0,36517412725483.77,8.486280774798014e-07,0.03161843769320865,False
100000000000000.0,42169650342858.23,7.348816388991493e-07,0.042163864315414426,False
100000000000000.0,48696752516586.31,6.363812811790377e-07,0.05622641672743152,False
100000000000000.0,56234132519034.91,5.510834855552169e-07,0.07497913175977634,False
100000000000000.0,64938163157621.13,4.772186376837298e-07,0.09998627916665953,False
100000000000000.0,74989420933245.58,4.132543146766033e-07,0.13333384619100572,False
100000000000000.0,86596432336006.53,3.5786349298455226e-07,0.17780354152847433,False
100000000000000.0,100000000000000.0,3.098970175576373e-07,0.23710483334276214,False
