mg,mv,kk,sigma,phase,A,cforce,contactforce,treeBforce,loopBforce,valleyforce,force_sum,min_mass2,max_mass2,min_baseline,max_stabilization,max_abs_Jy,metric_fraction,FT_ratio,FZ_ratio,mass_hierarchy,perturbativity,stable,force_ok,auxiliary_ok,hierarchy_ok,metric_ok,perturbative_ok,necessary_intersection,asymptotic_mass2,critical_U,critical_chi
1e-06,100000000000.0,100000000000000.0,-1,quadrature,4.335970987269697e-31,4.22335453033213e-11,0.025330460972385782,6.486026284518145e-31,1.1919444343480164e-06,7.052077633439041e-41,0.025331652959053676,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,2.22385128931552e-17,2.6024113173241337e-18,0.42175437164302154,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,100000000000.0,100000000000000.0,-1,pi,4.335970987269697e-31,4.22335453033213e-11,0.025330459865608754,0.0,0.0,0.0,0.0253304599078423,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,0.42175437164302154,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,100000000000.0,100000000000000.0,0,zero,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,0.0,4.22335453033213e-11,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,0.42175437164302154,2.4822993919656557e-29,1.0,0.0,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,100000000000.0,100000000000000.0,0,quadrature,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,7.052077633439041e-41,4.22335453033213e-11,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,2.22385128931552e-17,2.6024113173241337e-18,0.42175437164302154,2.4822993919656557e-29,1.0,0.0,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,100000000000.0,100000000000000.0,0,pi,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,0.0,4.22335453033213e-11,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,0.42175437164302154,2.4822993919656557e-29,1.0,0.0,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,100000000000.0,100000000000000.0,1,zero,4.335970987269697e-31,4.22335453033213e-11,0.025330459865608754,0.0,0.0,0.0,0.0253304599078423,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,0.42175437164302154,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,100000000000.0,100000000000000.0,1,quadrature,4.335970987269697e-31,4.22335453033213e-11,0.025330460972385782,6.486026284518145e-31,1.1919444343480164e-06,7.052077633439041e-41,0.025331652959053676,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,2.22385128931552e-17,2.6024113173241337e-18,0.42175437164302154,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,100000000000.0,100000000000000.0,1,pi,4.335970987269697e-31,4.22335453033213e-11,0.025330459865608754,0.0,0.0,0.0,0.0253304599078423,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,0.42175437164302154,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
1e-06,1000000000000.0,100000000000000.0,-1,zero,4.335970987269697e-31,4.22335453033213e-11,0.0002533045986560875,0.0,0.0,0.0,0.00025330464088963285,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,0.0,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,1000000000000.0,100000000000000.0,-1,quadrature,4.335970987269697e-31,4.22335453033213e-11,0.0002533046097238578,6.486026284518145e-33,1.1919444343480163e-08,7.066639731845917e-37,0.0002533165714017466,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,2.22385128931552e-17,2.6050968398258756e-17,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
