mG_eV,M_vector_eV,mKK_eV,sigma,phase,Lambda_eV,A_5d,c_Q,beta_Q,min_my2_eV2,max_my2_eV2,min_my2_over_Href2,clockoff_my2_leading_eV2,RSS_c_2loop_force_ratio,contact_d_1loop_force_ratio,contact_Btree_1loop_force_ratio,contact_B5d_2loop_force_ratio,quadratic_valley_force_ratio,quadratic_valley_energy_over_U,valley_metric_boundary_fraction,selected_feedback_sum_ratio,known_axis_feedback_without_valley,charged_over_vector,vector_over_KK,KK_over_M5,max_hierarchy_ratio,FTcanonical_over_vector2,max_auxiliary_over_vector2,max_coupling_loop_parameter,local_positive_curvature,hierarchy_pass,auxiliary_pass,perturbative_coupling_pass,necessary_conditions_pass,Ucrit_leading_eV4,chi_critical_leading,chi_gap_after_last
1e-12,486967525165.8631,100000000000000.0,1.0,zero,486967525165.8631,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,4.214367484568711e-38,3.1180966154638926e-36,2.0388353987683187e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.0010681766355565244,0.0,0.0,0.0,0.0,0.0,0.0010681766355565244,0.0010681766355565244,0.2053525026457146,0.004869675251658631,1.7433475691889013e-09,0.2053525026457146,1.77852343827581e-08,1.77852343827581e-08,0.012665147955292222,True,False,True,True,False,2.056441517543514e-31,157.76297001474666,17.968723347392228
1e-12,562341325190.3491,100000000000000.0,1.0,zero,562341325190.3491,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,3.1603297726770635e-38,2.338242596075502e-36,1.5289108593183903e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.0008010194735480622,0.0,0.0,0.0,0.0,0.0,0.0008010194735480622,0.0008010194735480622,0.17782794100389226,0.005623413251903491,1.7433475691889013e-09,0.17782794100389226,1.333704427525079e-08,1.333704427525079e-08,0.012665147955292222,True,False,True,True,False,2.7423088376347467e-31,157.61905844643454,17.824811779080107
1e-12,649381631576.2113,100000000000000.0,1.0,zero,649381631576.2113,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,2.3699129961114867e-38,1.7534345828115076e-36,1.14652139998837e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.0006006798647762245,0.0,0.0,0.0,0.0,0.0,0.0006006798647762245,0.0006006798647762245,0.15399265260594922,0.006493816315762113,1.7433475691889013e-09,0.15399265260594922,1.000137227162115e-08,1.000137227162115e-08,0.012665147955292222,True,False,True,True,False,3.6569276085968275e-31,157.47514687812242,17.680900210767987
1e-12,749894209332.4558,100000000000000.0,1.0,zero,749894209332.4558,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.7771840324057343e-38,1.31489044009362e-36,8.597697587270189e+27,-1.0406330369441609e-53,4.223354530332044e-23,0.0004504463522582933,0.0,0.0,0.0,0.0,0.0,0.0004504463522582933,0.0004504463522582933,0.1333521432163324,0.007498942093324558,1.7433475691889013e-09,0.1333521432163324,7.49997115186689e-09,7.49997115186689e-09,0.012665147955292222,True,False,True,True,False,4.87659134193364e-31,157.33123530981027,17.53698864245584
1e-12,865964323360.0653,100000000000000.0,1.0,zero,865964323360.0653,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.3327000148191637e-38,9.860287269328102e-37,6.447363634285541e+27,-1.0406330369441609e-53,4.223354530332044e-23,0.0003377871111734218,0.0,0.0,0.0,0.0,0.0,0.0003377871111734218,0.0003377871111734218,0.11547819846894583,0.008659643233600653,1.7433475691889013e-09,0.11547819846894583,5.62418493694545e-09,5.62418493694545e-09,0.012665147955292222,True,False,True,True,False,6.503039070370614e-31,157.18732374149815,17.39307707414372
1e-12,1000000000000.0,100000000000000.0,1.0,zero,1000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.993840238901685e-39,7.394172325623676e-37,4.834840654811383e+27,-1.0406330369441609e-53,4.223354530332044e-23,0.0002533045986560874,0.0,0.0,0.0,0.0,0.0,0.0002533045986560874,0.0002533045986560874,0.1,0.01,1.7433475691889013e-09,0.1,4.217543716430216e-09,4.217543716430216e-09,0.012665147955292222,True,True,True,True,True,8.671941974534674e-31,157.04341217318603,17.2491655058316
1e-12,1154781984689.4583,100000000000000.0,1.0,zero,1154781984689.4583,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,7.494322924146057e-39,5.544847009791492e-37,3.6256190100881937e+27,-1.0406330369441609e-53,4.223354530332044e-23,0.00018995165172948174,0.0,0.0,0.0,0.0,0.0,0.00018995165172948174,0.00018995165172948174,0.08659643233600653,0.011547819846894583,1.7433475691889013e-09,0.08659643233600653,3.1627116105575033e-09,3.1627116105575033e-09,0.012665147955292222,True,True,True,True,True,1.1564220481518724e-30,156.8995006048739,17.10525393751948
1e-12,1333521432163.324,100000000000000.0,1.0,zero,1333521432163.324,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,5.619949363684604e-39,4.158048664277024e-37,2.718830700910806e+27,-1.0406330369441609e-53,4.223354530332044e-23,0.00014244364368507374,0.0,0.0,0.0,0.0,0.0,0.00014244364368507374,0.00014244364368507374,0.07498942093324558,0.013335214321633239,1.7433475691889013e-09,0.07498942093324558,2.3716991225455973e-09,2.3716991225455973e-09,0.012665147955292222,True,True,True,True,True,1.5421135858367289e-30,156.7555890365618,16.961342369207358
1e-12,1539926526059.492,100000000000000.0,1.0,zero,1539926526059.492,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,4.2143674845687023e-39,3.1180966154638926e-37,2.0388353987683146e+27,-1.0406330369441609e-53,4.223354530332044e-23,0.00010681766355565245,0.0,0.0,0.0,0.0,0.0,0.00010681766355565245,0.00010681766355565245,0.06493816315762113,0.01539926526059492,1.7433475691889013e-09,0.06493816315762113,1.77852343827581e-09,1.77852343827581e-09,0.012665147955292222,True,True,True,True,True,2.056441517543514e-30,156.61167746824964,16.81743080089521
1e-12,1778279410038.9229,100000000000000.0,1.0,zero,1778279410038.9229,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,3.1603297726770544e-39,2.338242596075502e-37,1.5289108593183858e+27,-1.0406330369441609e-53,4.223354530332044e-23,8.010194735480627e-05,0.0,0.0,0.0,0.0,0.0,8.010194735480627e-05,8.010194735480627e-05,0.056234132519034905,0.01778279410038923,1.7433475691889013e-09,0.056234132519034905,1.333704427525079e-09,1.333704427525079e-09,0.012665147955292222,True,True,True,True,True,2.7423088376347467e-30,156.46776589993752,16.67351923258309
1e-12,2053525026457.146,100000000000000.0,1.0,zero,2053525026457.146,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,2.3699129961114773e-39,1.7534345828115078e-37,1.1465213999883655e+27,-1.0406330369441609e-53,4.223354530332044e-23,6.006798647762245e-05,0.0,0.0,0.0,0.0,0.0,6.006798647762245e-05,6.006798647762245e-05,0.04869675251658631,0.02053525026457146,1.7433475691889013e-09,0.04869675251658631,1.000137227162115e-09,1.000137227162115e-09,0.012665147955292222,True,True,True,True,True,3.656927608596827e-30,156.3238543316254,16.52960766427097
1e-12,2371373705661.6553,100000000000000.0,1.0,zero,2371373705661.6553,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.7771840324057247e-39,1.3148904400936198e-37,8.597697587270142e+26,-1.0406330369441609e-53,4.223354530332044e-23,4.5044635225829326e-05,0.0,0.0,0.0,0.0,0.0,4.5044635225829326e-05,4.5044635225829326e-05,0.042169650342858224,0.023713737056616554,1.7433475691889013e-09,0.042169650342858224,7.499971151866888e-10,7.499971151866888e-10,0.012665147955292222,True,True,True,True,True,4.876591341933641e-30,156.17994276331325,16.38569609595882
1e-12,2738419634264.3613,100000000000000.0,1.0,zero,2738419634264.3613,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.332700014819154e-39,9.8602872693281e-38,6.447363634285495e+26,-1.0406330369441609e-53,4.223354530332044e-23,3.377871111734217e-05,0.0,0.0,0.0,0.0,0.0,3.377871111734217e-05,3.377871111734217e-05,0.03651741272548377,0.027384196342643614,1.7433475691889013e-09,0.03651741272548377,5.624184936945449e-10,5.624184936945449e-10,0.012665147955292222,True,True,True,True,True,6.503039070370615e-30,156.03603119500113,16.2417845276467
1e-12,3162277660168.3794,100000000000000.0,1.0,zero,3162277660168.3794,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.993840238901591e-40,7.394172325623674e-38,4.834840654811337e+26,-1.0406330369441609e-53,4.223354530332044e-23,2.5330459865608744e-05,0.0,0.0,0.0,0.0,0.0,2.5330459865608744e-05,2.5330459865608744e-05,0.03162277660168379,0.03162277660168379,1.7433475691889013e-09,0.03162277660168379,4.217543716430215e-10,4.217543716430215e-10,0.012665147955292222,True,True,True,True,True,8.671941974534674e-30,155.892119626689,16.09787295933458
