model,N,z,chi,t_Gyr,k,delta_k,delta_log_Mhol2,delta_log_s,log_R,delta_log_R,mass_delta_g_inverse2,anomaly_delta_g_inverse2,physical_uv_delta_f,matched_delta_g_inverse2,holomorphic_uv_delta_alpha,physical_uv_delta_alpha,split_delta_alpha,taylor_delta_alpha,shape_chi,shape_time,shape_matched,kahler_delta_g_inverse2,konishi_delta_g_inverse2
global,-1.6245083527516289,4.075922860103952,137.67825371278929,1.499470694498569,0.0,0.0,0.01513257071607538,0.01513257071607538,-2.550393468685387e-91,-2.5150288891669367e-91,-0.00019165624706301705,0.0,-0.0,-0.00019165624706301705,1.7575423803326478e-05,1.7575423803326478e-05,-4.86846951026438e-95,1.7709080167162167e-05,0.982907041729039,0.9836107331986993,0.9830354182823124,-0.00019165624706301705,-0.00019165624706301703
global,-1.6228983345625787,4.067757107242197,137.68064988017457,1.5030814078732353,0.0,0.0,0.015115171455126494,0.015115171455126494,-2.538067812928231e-91,-2.5027032334097806e-91,-0.00019143588284878667,0.0,-0.0,-0.00019143588284878667,1.7555215422400788e-05,1.7555215422400788e-05,-4.844609914874092e-95,1.768856382896864e-05,0.9817683435925216,0.9825188153730519,0.9819051152854461,-0.00019143588284878667,-0.00019143588284878678
global,-1.6212883163735285,4.0596044908132916,137.6830459513512,1.5067007125897653,0.0,0.0,0.015097773498440386,0.015097773498440386,-2.5258022164572035e-91,-2.4904376369387533e-91,-0.00019121553515323735,0.0,-0.0,-0.00019121553515323735,1.753500855712845e-05,1.753500855712845e-05,-4.8208665812365854e-95,1.766804938646412e-05,0.9806297506238506,0.981426985727415,0.9807748970626908,-0.00019121553515323735,-0.0001912155351532373
global,-1.6196782981844784,4.051464989684355,137.6854419258722,1.5103286283984434,0.0,0.0,0.015080376849163189,0.015080376849163189,-2.5135963865382053e-91,-2.478231807019755e-91,-0.00019099520401621534,0.0,-0.0,-0.00019099520401621534,1.7514803211163354e-05,1.7514803211163354e-05,-4.7972389426773474e-95,1.764753684327151e-05,0.9794912630241162,0.980335244385293,0.9796447638184173,-0.00019099520401621534,-0.00019099520401621534
global,-1.6180682799954282,4.043338582756507,137.68783780328852,1.5139651750900505,0.0,0.0,0.015062981510455426,0.015062981510455426,-2.501450031864001e-91,-2.4660854523455507e-91,-0.00019077488947774908,0.0,-0.0,-0.00019077488947774908,1.7494599388176112e-05,1.7494599388176112e-05,-4.773726435284013e-95,1.7627026203030413e-05,0.9783528809953373,0.979243591470835,0.9785147157579315,-0.00019077488947774908,-0.00019077488947774916
global,-1.616458261806378,4.0352252489648075,137.6902335831491,1.517610372495911,0.0,0.0,0.015045587485491852,0.015045587485491852,-2.4893628625470705e-91,-2.4539982830286206e-91,-0.00019055459157804738,0.0,-0.0,-0.00019055459157804738,1.7474397091853857e-05,1.7474397091853857e-05,-4.7503284978925245e-95,1.7606517469396963e-05,0.9772146047404493,0.9781520271088077,0.9773847530874635,-0.00019055459157804738,-0.00019055459157804724
global,-1.614848243617328,4.027124967278203,137.6926292650007,1.5212642404879428,0.0,0.0,0.015028194777462853,0.015028194777462853,-2.477334590113653e-91,-2.441970010595203e-91,-0.0001903343103575169,0.0,-0.0,-0.0001903343103575169,1.7454196325901878e-05,1.7454196325901878e-05,-4.7270445720755956e-95,1.7586010646045478e-05,0.9760764344633975,0.9770605514245325,0.9762548760142593,-0.0001903343103575169,-0.00019033431035751672
global,-1.6132382254282778,4.019037716699476,137.69502484838813,1.5249267989787012,0.0,0.0,0.015010803389572202,0.015010803389572202,-2.4653649274952243e-91,-2.4300003479767745e-91,-0.00019011404585673393,0.0,-0.0,-0.00019011404585673393,1.743399709404101e-05,1.743399709404101e-05,-4.703874102126227e-95,1.75655057366658e-05,0.9749383703689891,0.9759691645440125,0.9751250847464339,-0.00019011404585673393,-0.00019011404585673387
global,-1.6116282072392276,4.010963476265184,137.69742033285397,1.5285980679214286,0.0,0.0,0.014993413325039517,0.014993413325039517,-2.4534535890233274e-91,-2.4180890095048775e-91,-0.0001898937981164754,0.0,-0.0,-0.0001898937981164754,1.74137994000105e-05,1.74137994000105e-05,-4.680816535047688e-95,1.7545002744966196e-05,0.9738004126630531,0.9748778665938178,0.9739953794931322,-0.0001898937981164754,-0.00018989379811647526
global,-1.6100181890501775,4.002902225045613,137.6998157179388,1.5322780673100986,0.0,0.0,0.014976024587098414,0.014976024587098414,-2.4416002904214068e-91,-2.406235710902957e-91,-0.00018967356717769553,0.0,-0.0,-0.00018967356717769553,1.7393603247565844e-05,1.7393603247565844e-05,-4.657871320537711e-95,1.7524501674671196e-05,0.9726625615523212,0.9737866577011487,0.9728657604644082,-0.00018967356717769553,-0.00018967356717769537
global,-1.6084081708611273,3.994853942144716,137.702211003181,1.535966817179465,0.0,0.0,0.014958637178998348,0.014958637178998348,-2.4298047487992568e-91,-2.394440169280807e-91,-0.00018945335308154915,0.0,-0.0,-0.00018945335308154915,1.737340864048093e-05,1.737340864048093e-05,-4.6350379109777505e-95,1.7504002529523717e-05,0.9715248172445469,0.9726955379938225,0.9717362278713446,-0.00018945335308154915,-0.00018945335308154904
global,-1.606798152672077,3.986818606700062,137.7046061881169,1.5396643376051056,0.0,0.0,0.014941251104002549,0.014941251104002549,-2.4180666826448126e-91,-2.3827021031263628e-91,-0.00018923315586936553,0.0,-0.0,-0.00018923315586936553,1.735321558254566e-05,1.735321558254566e-05,-4.6123157614170806e-95,1.748350531328269e-05,0.9703871799483712,0.9716045076003014,0.9706067819259192,-0.00018923315586936553,-0.0001892331558693655
global,-1.6051881344830268,3.9787961978827853,137.70700127228068,1.5433706487034695,0.0,0.0,0.01492386636539031,0.01492386636539031,-2.4063858118189202e-91,-2.3710212323004703e-91,-0.00018901297558267745,0.0,-0.0,-0.00018901297558267745,1.733302407756856e-05,1.733302407756856e-05,-4.589704329562681e-95,1.746301002972571e-05,0.9692496498734714,0.9705135666496508,0.9694774228411526,-0.00018901297558267745,-0.00018901297558267745
global,-1.6035781162939766,3.9707866948975243,137.70939625520433,1.5470857706319225,0.0,0.0,0.014906482966455503,0.014906482966455503,-2.3947618575476263e-91,-2.3593972780291764e-91,-0.00018879281226320225,0.0,-0.0,-0.00018879281226320225,1.7312834129375132e-05,1.7312834129375132e-05,-4.5672030757643094e-95,1.7442516682647296e-05,0.9681122272304646,0.9694227152715659,0.9683481508310137,-0.00018879281226320225,-0.0001887928122632022
global,-1.6019680981049265,3.9627900769823734,137.71179113641776,1.5508097235887928,0.0,0.0,0.014889100910507026,0.014889100910507026,-2.38319454241575e-91,-2.3478299628973e-91,-0.00018857266595284763,0.0,-0.0,-0.00018857266595284763,1.7292645741808298e-05,1.7292645741808298e-05,-4.54481146300205e-95,1.7422025275859426e-05,0.966974912230936,0.9683319535963848,0.9672189661104466,-0.00018857266595284763,-0.00018857266595284755
global,-1.6003580799158763,3.9548063234088255,137.7141859154487,1.554542527813416,0.0,0.0,0.014871720200869187,0.014871720200869187,-2.3716835903604982e-91,-2.3363190108420483e-91,-0.00018835253669371643,0.0,-0.0,-0.00018835253669371643,1.7272458918728885e-05,1.7272458918728885e-05,-4.522528956873966e-95,1.7401535813191967e-05,0.9658377050874656,0.967241281755063,0.9660898688953964,-0.00018835253669371643,-0.00018835253669371643
global,-1.5987480617268262,3.946835413481721,137.71658059182266,1.5582842035861795,0.0,0.0,0.014854340840881724,0.014854340840881724,-2.360228726664813e-91,-2.3248641471463632e-91,-0.00018813242452810693,0.0,-0.0,-0.00018813242452810693,1.7252273664015643e-05,1.7252273664015643e-05,-4.500355025583212e-95,1.738104829849274e-05,0.9647006060136268,0.9661506998792111,0.9649608594028111,-0.00018813242452810693,-0.00018813242452810685
global,-1.597138043537776,3.9388773265391936,137.71897516506306,1.562034771228568,0.0,0.0,0.014836962833899358,0.014836962833899358,-2.348829677950509e-91,-2.313465098432059e-91,-0.00018791232949850716,0.0,-0.0,-0.00018791232949850716,1.7232089981564717e-05,1.7232089981564717e-05,-4.4782891399247496e-95,1.7360562735626933e-05,0.9635636152239602,0.965060208101068,0.963831937850611,-0.00018791232949850716,-0.00018791232949850702
global,-1.5955280253487258,3.9309320419526155,137.72136963469106,1.565794251103208,0.0,0.0,0.01481958618329244,0.01481958618329244,-2.3374861721720945e-91,-2.3021215926536446e-91,-0.0001876922516476031,0.0,-0.0,-0.0001876922516476031,1.721190787529042e-05,1.721190787529042e-05,-4.456330773273392e-95,1.734007912847791e-05,0.9624267329340129,0.9639698065535026,0.9627031044577334,-0.0001876922516476031,-0.00018769225164760303
global,-1.5939180071596757,3.922999539126544,137.72376400022569,1.569562663613911,0.0,0.0,0.014802210892446524,0.014802210892446524,-2.3261979386099657e-91,-2.2908333590915159e-91,-0.00018747219101827335,0.0,-0.0,-0.00018747219101827335,1.71917273491247e-05,1.71917273491247e-05,-4.4344794015706235e-95,1.731959748094669e-05,0.9612899593603134,0.962879495370039,0.9615743594441014,-0.00018747219101827335,-0.00018747219101827324
global,-1.5923079889706253,3.9150797974986693,137.72615826118366,1.5733400292057196,0.0,0.0,0.014784836964763383,0.014784836964763383,-2.3149647078645696e-91,-2.2796001283461197e-91,-0.00018725214765360183,0.0,-0.0,-0.00018725214765360183,1.717154840701837e-05,1.717154840701837e-05,-4.412734503313305e-95,1.729911779695313e-05,0.9601532947204351,0.9617892746848679,0.9604457030306932,-0.00018725214765360183,-0.00018725214765360172
global,-1.5906979707815752,3.9071727965397627,137.7285524170796,1.5771263683649475,0.0,0.0,0.014767464403659383,0.014767464403659383,-2.3037862118488512e-91,-2.2684216323304014e-91,-0.00018703212159685732,0.0,-0.0,-0.00018703212159685732,1.7151371052939157e-05,1.7151371052939157e-05,-4.391095559539046e-95,1.7278640080434025e-05,0.9590167392328918,0.9606991446328093,0.9593171354394334,-0.00018703212159685732,-0.00018703212159685743
global,-1.589087952592525,3.899278515753618,137.73094646742587,1.5809217016192265,0.0,0.0,0.014750093212567329,0.014750093212567329,-2.2926621837830085e-91,-2.2572976042645586e-91,-0.00018681211289151679,0.0,-0.0,-0.00018681211289151679,1.7131195290873905e-05,1.7131195290873905e-05,-4.3695620538160586e-95,1.7258164335345272e-05,0.9578802931172565,0.9596091053493239,0.9581886568933158,-0.00018681211289151679,-0.00018681211289151665
global,-1.5874779344034748,3.891396934677003,137.73334041173254,1.5847260495375481,0.0,0.0,0.014732723394935393,0.014732723394935393,-2.2815923581874132e-91,-2.2462277786689633e-91,-0.0001865921215812519,0.0,-0.0,-0.0001865921215812519,1.7111021124827303e-05,1.7111021124827303e-05,-4.3481334722294466e-95,1.7237690565660622e-05,0.9567439565940948,0.9585191569705527,0.957060267616332,-0.0001865921215812519,-0.0001865921215812519
global,-1.5858679162144247,3.8835280328796067,137.7357342495075,1.588539432730306,0.0,0.0,0.014715354954227792,0.014715354954227792,-2.2705764708766235e-91,-2.2352118913581736e-91,-0.0001863721477099374,0.0,-0.0,-0.0001863721477099374,1.709084855882267e-05,1.709084855882267e-05,-4.326809303369624e-95,1.7217218775372453e-05,0.9556077298850055,0.9574292996332656,0.955931967833516,-0.0001863721477099374,-0.0001863721477099374
global,-1.5842578980253745,3.8756717899639823,137.73812798025634,1.5923618718493395,0.0,0.0,0.014697987893924326,0.014697987893924326,-2.2596142589527625e-91,-2.2242496794343126e-91,-0.0001861521913216455,0.0,-0.0,-0.0001861521913216455,1.707067759690142e-05,1.707067759690142e-05,-4.3055890383194845e-95,1.7196748968491223e-05,0.954471613212591,0.9563395334749364,0.9548037577709139,-0.0001861521913216455,-0.00018615219132164543
global,-1.5826478798363244,3.8678281855654983,137.74052160348242,1.596193387587976,0.0,0.0,0.014680622217521023,0.014680622217521023,-2.2487054607995957e-91,-2.2133408812811458e-91,-0.00018593225246065395,0.0,-0.0,-0.00018593225246065395,1.705050824312382e-05,1.705050824312382e-05,-4.28447217064295e-95,1.717628114904627e-05,0.9533356068005001,0.9552498586336675,0.9536756376556257,-0.00018593225246065395,-0.0001859322524606541
global,-1.5810378616472742,3.859997199352284,137.74291511868685,1.6000340006810712,0.0,0.0,0.014663257928529492,0.014663257928529492,-2.2378498160758419e-91,-2.202485236557392e-91,-0.00018571233117143775,0.0,-0.0,-0.00018571233117143775,1.7030340501568233e-05,1.7030340501568233e-05,-4.263458196372007e-95,1.7155815321085e-05,0.9521997108733871,0.9541602752482401,0.9525476077157642,-0.00018571233117143775,-0.00018571233117143773
global,-1.579427843458224,3.852178811025177,137.74530852536842,1.6038837319050523,0.0,0.0,0.014645895030477757,0.014645895030477757,-2.2270470657094346e-91,-2.1916824861909847e-91,-0.00018549242749867987,0.0,-0.0,-0.00018549242749867987,1.701017437633208e-05,1.701017437633208e-05,-4.242546613995612e-95,1.7135351488673888e-05,0.9510639256569628,0.9530707834580894,0.9514196681805079,-0.00018549242749867987,-0.0001854924274986798
global,-1.577817825269174,3.8443730003176704,137.74770182302362,1.6077426020779604,0.0,0.0,0.014628533526909859,0.014628533526909859,-2.2162969518910324e-91,-2.1809323723725825e-91,-0.00018527254148726613,0.0,-0.0,-0.00018527254148726613,1.6990009871531396e-05,1.6990009871531396e-05,-4.2217369244471227e-95,1.7114889655898005e-05,0.9499282513779713,0.9519813834033543,0.9502918192800767,-0.00018527254148726613,-0.000185272541487266
global,-1.5762078070801238,3.836579746995861,137.75009501114664,1.6116106320594894,0.0,0.0,0.014611173421386223,0.014611173421386223,-2.2055992180680678e-91,-2.170234638549618e-91,-0.00018505267318228978,0.0,-0.0,-0.00018505267318228978,1.6969846991301232e-05,1.6969846991301232e-05,-4.201028631092772e-95,1.7094429826861467e-05,0.9487926882642126,0.9508920752248141,0.9491640612457535,-0.00018505267318228978,-0.00018505267318228994
global,-1.5745977888910734,3.8287990308583955,137.7524880892294,1.6154878427510295,0.0,0.0,0.014593814717483292,0.014593814717483292,-2.1949536089383286e-91,-2.1595890294198788e-91,-0.00018483282262904706,0.0,-0.0,-0.00018483282262904706,1.694968573979525e-05,1.694968573979525e-05,-4.18042123971925e-95,1.7073972005686965e-05,0.9476572365445186,0.9498028590639395,0.9480363943098628,-0.00018483282262904706,-0.00018483282262904687
global,-1.5729877707020232,3.8210308317364206,137.75488105676146,1.619374255095703,0.0,0.0,0.014576457418793697,0.014576457418793697,-2.1843598704439407e-91,-2.1489952909254909e-91,-0.00018461298987303913,0.0,-0.0,-0.00018461298987303913,1.6929526121185914e-05,1.6929526121185914e-05,-4.159914258522054e-95,1.7053516196515997e-05,0.9465218964487646,0.9487137350628924,0.9469088187057804,-0.00018461298987303913,-0.0001846129898730393
global,-1.571377752512973,3.813275129493527,137.75727391323005,1.623269890078411,0.0,0.0,0.014559101528927096,0.014559101528927096,-2.1738177497657683e-91,-2.1384531702473184e-91,-0.00018439317495998287,0.0,-0.0,-0.00018439317495998287,1.6909368139665454e-05,1.6909368139665454e-05,-4.139507198094648e-95,1.7033062403509837e-05,0.9453866682079236,0.9476247033644996,0.9457813346679876,-0.00018439317495998287,-0.00018439317495998276
global,-1.569767734323923,3.805531904025701,137.7596666581201,1.6271747687258686,0.0,0.0,0.014541747051508912,0.014541747051508912,-2.1633269953165661e-91,-2.1279624157981163e-91,-0.00018417337793579482,0.0,-0.0,-0.00018417337793579482,1.6889211799444418e-05,1.6889211799444418e-05,-4.119199571415207e-95,1.7012610630848053e-05,0.9442515520539847,0.946535764112292,0.9446539424319906,-0.00018417337793579482,-0.00018417337793579468
global,-1.5681577161348728,3.7978011352612704,137.76205929091412,1.631088912106647,0.0,0.0,0.014524393990181603,0.014524393990181603,-2.1528873567356907e-91,-2.1175227772172408e-91,-0.00018395359884660717,0.0,-0.0,-0.00018395359884660717,1.686905710475314e-05,1.686905710475314e-05,-4.0989908938363756e-95,1.6992160882729996e-05,0.9431165482200338,0.9454469174504782,0.9435266422344022,-0.00018395359884660717,-0.00018395359884660714
global,-1.5665476979458226,3.790082803160851,137.76445181109233,1.6350123413312103,0.0,0.0,0.014507042348604008,0.014507042348604008,-2.142498584882695e-91,-2.107134005364245e-91,-0.00018373383773875973,0.0,-0.0,-0.00018373383773875973,1.6848904059840972e-05,1.6848904059840972e-05,-4.078880683072872e-95,1.6971713163374042e-05,0.9419816569402134,0.9443581635239442,0.9423994343128983,-0.00018373383773875973,-0.00018373383773875968
global,-1.5649376797567724,3.782376887717299,137.76684421813252,1.6389450775519578,0.0,0.0,0.014489692130451762,0.014489692130451762,-2.132160431831586e-91,-2.096795852313136e-91,-0.00018351409465880496,0.0,-0.0,-0.00018351409465880496,1.682875266897678e-05,1.682875266897678e-05,-4.058868459190373e-95,1.695126747701806e-05,0.9408468784497488,0.943269502478305,0.9412723189062472,-0.00018351409465880496,-0.0001835140946588049
global,-1.5633276615677223,3.774683368955655,137.76923651151012,1.6428871419632605,0.0,0.0,0.014472343339417318,0.014472343339417318,-2.121872650864866e-91,-2.086508071346416e-91,-0.00018329436965350824,0.0,-0.0,-0.00018329436965350824,1.6808602936448953e-05,1.6808602936448953e-05,-4.0389537445939725e-95,1.693082382791946e-05,0.9397122129849479,0.9421809344598534,0.9401452962543088,-0.00018329436965350824,-0.00018329436965350835
global,-1.5617176433786721,3.7670022269330934,137.7716286906982,1.6468385558014997,0.0,0.0,0.0144549959792095,0.0144549959792095,-2.1116349964673408e-91,-2.076270416948891e-91,-0.00018307466276984248,0.0,-0.0,-0.00018307466276984248,1.6788454866564905e-05,1.6788454866564905e-05,-4.0191360640162024e-95,1.691038222035463e-05,0.938577660783174,0.9410924596155839,0.9390183665980066,-0.00018307466276984248,-0.00018307466276984235
global,-1.5601076251896218,3.759333441738872,137.7740207551674,1.6507993403451064,0.0,0.0,0.014437650053554551,0.014437650053554551,-2.1014472243208315e-91,-2.0660826448023816e-91,-0.00018285497405500108,0.0,-0.0,-0.00018285497405500108,1.676830846365227e-05,1.676830846365227e-05,-3.99941494450679e-95,1.688994265862021e-05,0.9374432220829124,0.9400040780931812,0.937891530179396,-0.00018285497405500108,-0.000182854974055001
global,-1.5584976070005716,3.75167699349428,137.77641270438593,1.654769516914596,0.0,0.0,0.014420305566195694,0.014420305566195694,-2.0913090912980539e-91,-2.055944511779604e-91,-0.00018263530355639245,0.0,-0.0,-0.00018263530355639245,1.6748163732058415e-05,1.6748163732058415e-05,-3.979789915420814e-95,1.6869505147032535e-05,0.9363088971237441,0.938915790041059,0.9367647872416351,-0.00018263530355639245,-0.00018263530355639248
global,-1.5568875888115215,3.744032862352585,137.7788045378196,1.6587491068726097,0.0,0.0,0.01440296252089277,0.01440296252089277,-2.081220355456519e-91,-2.0458557759380692e-91,-0.00018241565132163558,0.0,-0.0,-0.00018241565132163558,1.6728020676149994e-05,1.6728020676149994e-05,-3.960260508406893e-95,1.684906968992724e-05,0.9351746861463192,0.937827595608332,0.9356381380289618,-0.00018241565132163558,-0.00018241565132163552
global,-1.5552775706224713,3.736401028498983,137.7811962549318,1.6627381316239487,0.0,0.0,0.014385620921422981,0.014385620921422981,-2.0711807760332043e-91,-2.0358161965147544e-91,-0.0001821960173985693,0.0,-0.0,-0.0001821960173985693,1.670787930031383e-05,1.670787930031383e-05,-3.9408262573968735e-95,1.6828636291660117e-05,0.9340405893924073,0.9367394949448304,0.9345115827867412,-0.0001821960173985693,-0.0001821960173985693
global,-1.5536675524334211,3.728781472150545,137.7835878551835,1.666736612615612,0.0,0.0,0.01436828077158055,0.01436828077158055,-2.061190113438514e-91,-2.0258255339200642e-91,-0.00018197640183524794,0.0,-0.0,-0.00018197640183524794,1.668773960895652e-05,1.668773960895652e-05,-3.9214866985941374e-95,1.6808204956606695e-05,0.932906607104874,0.9356514882010868,0.9333851217614451,-0.00018197640183524794,-0.00018197640183524808
global,-1.552057534244371,3.7211741735561694,137.78597933803312,1.670744571336833,0.0,0.0,0.014350942075177285,0.014350942075177285,-2.0512481292508747e-91,-2.0158835497324248e-91,-0.00018175680467994872,0.0,-0.0,-0.00018175680467994872,1.6667601606505076e-05,1.6667601606505076e-05,-3.9022413704631344e-95,1.678777568916295e-05,0.9317727395277188,0.934563575528373,0.9322587552006866,-0.00018175680467994872,-0.00018175680467994872
global,-1.5504475160553208,3.713579112996528,137.7883707029367,1.6747620293191146,0.0,0.0,0.01433360483604198,0.01433360483604198,-2.0413545862106398e-91,-2.00599000669219e-91,-0.0001815372259811638,0.0,-0.0,-0.0001815372259811638,1.664746529740624e-05,1.664746529740624e-05,-3.883089813717591e-95,1.6767348493744554e-05,0.9306389869060353,0.9334757570786502,0.9311324833531828,-0.0001815372259811638,-0.00018153722598116386
global,-1.5488374978662707,3.7059962707840137,137.79076194934783,1.6787890081362662,0.0,0.0,0.014316269058020834,0.014316269058020834,-2.0315092482146226e-91,-1.9961446686961727e-91,-0.00018131766578760589,0.0,-0.0,-0.00018131766578760589,1.6627330686126968e-05,1.6627330686126968e-05,-3.8640315713099194e-95,1.6746923374787383e-05,0.9295053494860377,0.9323880330046324,0.930006306468781,-0.00018131766578760589,-0.00018131766578760583
