n,Lambda_eV,mG_eV,muH_eV,muL_eV,cUV_hat,heavy_threshold_hat,cL_hat,ell,potential_hat,derivative_hat,normalized_error
128,1000000000000.0,1e-15,1000000000000.0,0.8435087432860433,-2.2500000000000004,-0.002896338125087436,-5.069747449647398,4.605170185988092,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,1000000000000.0,2.53052622985813,-2.2500000000000004,-0.002896338125087436,-4.958434752195527,2.4079456086518722,-4.912437690319791,-4.887107394409207,2.220446049250313e-16
128,1000000000000.0,1e-15,1000000000000.0,8.435087432860433,-2.2500000000000004,-0.002896338125087436,-4.836446802588038,0.0,-4.912437690319791,-4.887107394409207,2.220446049250313e-16
128,1000000000000.0,1e-15,1000000000000.0,25.305262298581297,-2.2500000000000004,-0.002896338125087436,-4.725134105136168,-2.197224577336219,-4.912437690319792,-4.887107394409207,2.220446049250313e-16
128,1000000000000.0,1e-15,1000000000000.0,84.35087432860433,-2.2500000000000004,-0.002896338125087436,-4.6031461555286795,-4.605170185988091,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,1000000000000.0,500000000000.0,-2.2500000000000004,-0.002896338125087436,-2.3231268308977704,-49.6109477078801,-4.912437690319791,-4.887107394409208,0.0
128,1000000000000.0,1e-15,1000000000000.0,1000000000000.0,-2.2500000000000004,-0.002896338125087436,-2.2528963381250877,-50.99724206899999,-4.912437690319791,-4.887107394409208,0.0
128,1000000000000.0,1e-15,1250000000000.0,0.8435087432860433,-2.1934770781467243,-0.036810091237053144,-5.069747449647398,4.605170185988092,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,1250000000000.0,2.53052622985813,-2.1934770781467243,-0.036810091237053144,-4.958434752195528,2.4079456086518722,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,1250000000000.0,8.435087432860433,-2.1934770781467243,-0.036810091237053144,-4.836446802588039,0.0,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,1250000000000.0,25.305262298581297,-2.1934770781467243,-0.036810091237053144,-4.725134105136168,-2.197224577336219,-4.912437690319792,-4.887107394409207,2.220446049250313e-16
128,1000000000000.0,1e-15,1250000000000.0,84.35087432860433,-2.1934770781467243,-0.036810091237053144,-4.6031461555286795,-4.605170185988091,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,1250000000000.0,500000000000.0,-2.1934770781467243,-0.036810091237053144,-2.323126830897771,-49.6109477078801,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
