phase,chi,U_eV4,tree_ratio,loop_ratio,total_ratio,scalar_log_parameter
zero,137.70700096331421,5.413893893132591e-14,1.110611252857557e-06,1.3710216437150594e-06,2.4816328965726167e-06,3.6340372776770016e-23
zero,137.7093959232115,5.388023782946769e-14,1.1132743099541986e-06,1.374309120686457e-06,2.487583430640656e-06,3.6340372776770016e-23
zero,137.71179078059302,5.362278391649913e-14,1.1159436382074895e-06,1.3776043392429283e-06,2.493547977450418e-06,3.6340372776770016e-23
zero,137.71418553498881,5.336657117786392e-14,1.1186192515803023e-06,1.3809073166212877e-06,2.4995265682015902e-06,3.6340372776770016e-23
zero,137.7165801859267,5.31115936280254e-14,1.1213011640607544e-06,1.384218070089514e-06,2.5055192341502684e-06,3.6340372776770016e-23
zero,137.71897473293237,5.285784531030735e-14,1.1239893896624116e-06,1.3875366169470018e-06,2.5115260066094132e-06,3.6340372776770016e-23
zero,137.72136917552928,5.2605320296777903e-14,1.1266839424240466e-06,1.3908629745242626e-06,2.5175469169483093e-06,3.6340372776770016e-23
zero,137.72376351323877,5.2354012688085726e-14,1.12938483640991e-06,1.3941971601832596e-06,2.5235819965931693e-06,3.6340372776770016e-23
zero,137.7261577455799,5.2103916613342196e-14,1.1320920857095158e-06,1.3975391913171437e-06,2.5296312770266597e-06,3.6340372776770016e-23
zero,137.72855187206963,5.185502622997108e-14,1.134805704437785e-06,1.4008890853504297e-06,2.5356947897882147e-06,3.6340372776770016e-23
zero,137.73094589222254,5.160733572358574e-14,1.1375257067348957e-06,1.4042468597388112e-06,2.541772566473707e-06,3.6340372776770016e-23
zero,137.7333398055511,5.1360839307834404e-14,1.1402521067664903e-06,1.4076125319694175e-06,2.5478646387359078e-06,3.6340372776770016e-23
zero,137.73573361156554,5.11155312242816e-14,1.14298491872349e-06,1.4109861195605838e-06,2.553971038284074e-06,3.6340372776770016e-23
zero,137.73812730977374,5.087140574226653e-14,1.1457241568221745e-06,1.4143676400619495e-06,2.560091796884124e-06,3.6340372776770016e-23
zero,137.74052089968143,5.062845715876809e-14,1.1484698353041903e-06,1.417757111054469e-06,2.5662269463586594e-06,3.6340372776770016e-23
zero,137.74291438079203,5.038667979827057e-14,1.1512219684365626e-06,1.4211545501504258e-06,2.5723765185869886e-06,3.6340372776770016e-23
zero,137.74530775260664,5.0146068012641364e-14,1.1539805705115752e-06,1.4245599749932844e-06,2.5785405455048596e-06,3.6340372776770016e-23
zero,137.74770101462417,4.99066161809779e-14,1.1567456558470086e-06,1.4279734032579847e-06,2.5847190591049933e-06,3.6340372776770016e-23
zero,137.75009416634114,4.96683187095009e-14,1.159517238785856e-06,1.431394852650591e-06,2.590912091436447e-06,3.6340372776770016e-23
zero,137.7524872072518,4.9431170031408284e-14,1.1622953336964946e-06,1.4348243409085034e-06,2.597119674604998e-06,3.6340372776770016e-23
zero,137.75488013684807,4.919516460674407e-14,1.1650799549726975e-06,1.4382618858004722e-06,2.60334184077317e-06,3.6340372776770016e-23
zero,137.75727295461957,4.896029692227909e-14,1.1678711170335072e-06,1.4417075051264427e-06,2.60957862215995e-06,3.6340372776770016e-23
zero,137.75966566005354,4.872656149137266e-14,1.1706688343233454e-06,1.4451612167176902e-06,2.6158300510410356e-06,3.6340372776770016e-23
zero,137.76205825263492,4.8493952853848856e-14,1.1734731213119528e-06,1.4486230384367451e-06,2.622096159748698e-06,3.6340372776770016e-23
