r,Dflat_metric_X,finiteF_metric_X,heavy_metric_shift,V_over_S,dV_dr_over_S,d2V_dr2_over_S,radial_kinetic_B,finiteF_radial_kinetic_B,kahler_metric_C,clock_metric,force_relative_Dflat_error,kinetic_relative_Dflat_error
0.16,1.15084944665313013853884679724903446171409833337354112780551,1.15084944665313013853885057448999435217756944518193136806646,3.77724095989046347111180839024026094839697093788696034216173e-24,0.86892338777081007289775858231147758998843725308973593893918,-0.711847087223178154697087687179096362163580224542038870346168,1.16633130773038578023409119826506997604742871623908553861474,0.989929632459482302398825945456004011554205830532258809395508,0.989929632459482302398825619355706420082476682861734528087107,1.01017281149115402048632621537030467967115002431393955955482,1.0,6.56426602258937609592761235845330334835958886046163041285509e-24,3.29417654446078998503971748661113142918989432781148767952939e-25
0.17,1.16027753706895077219752472207709911557122947920938744829336,1.16027753706895077219752843818185512289227657684297036717224,3.71610475600732104709763358291887888417102390379960273500512e-24,0.861862759599881745532144124489874352290974984904779132474386,-0.70032554832210700950673492792926621191142350959868869737722,1.13812986619900622625644396544307744785269164302787153904192,0.988655668855136337145731679223394296841858041954855265220814,0.988655668855136337145731346904277603197852373840565355152163,1.01147450169177748496657505721539213355299807496080922607651,1.0,6.40554459994942989892859891760288873730801852603487169621761e-24,3.36132312960355223257439891262453396727017211417159229078605e-25
0.18,1.1697056274847714058562026469051637694283606250452337687812,1.16970562748477140585620630334606467501615231538082256539477,3.65644090090558779169033558879661356556244847965770490092799e-24,0.854915951930836690839987701159012774731094133282329228572806,-0.689081483694600107906704908208417435005230522387436961451683,1.11083034559908594543943663674121010466546139077984313109205,0.987310386243863524227846020636657532286149726645408991397807,0.987310386243863524227845683287450506195461534116875600677496,1.01285270967766581227302216542637121582940194193668059595075,1.0,6.25189930695309339319572821028176313358696479180090393670581e-24,3.41685058443987811614472501011349166250383426094509029917107e-25
0.19,1.17913371790059203951488057173322842328549177088108008926905,1.17913371790059203951488416993572148935632041522233237981961,3.59820249306607082864434125229055056119668103178871839313184e-24,0.848080234513576963491374733932458865191199474522391574355079,-0.678106054426175076200329824649648496761322732890302612776146,1.08439697645629614204286915911123496436170728581510159442305,0.985894774532405861993199631148047234079902647080061611210171,0.985894774532405861993199289894070646234484612641509558534364,1.01430702934223788848005822364098506354163597424891323422532,1.0,6.10312882829362127246644905431310874888924636455242285633407e-24,3.4613630724404308386062182756537818761605613487087555684595e-25
0.2,1.18856180831641267317355849656129307714262291671692640975689,1.18856180831641267317356203790577683575100155109041063263207,3.54134448375860837863437348422287517493047529292752150850921e-24,0.841352963727221882654143162593599805906733763373856879858558,-0.667390770773209708331432683593676244579406113410358420821581,1.05879567818974746418720957536067533078798043359541572849942,0.984409866635711292512189543985312724608212932999937106383072,0.984409866635711292512189199891133345054501818894926542717055,1.01583703484969026671046515812409636744161671130540565336921,1.0,5.9590413539787074774528940926135959530502240359335535890483e-24,3.49543610889963277192376902815840004722668506735700588809085e-25
0.21,1.19798989873223330683223642138935773099975406255277273024474,1.19798989873223330683223990721294763131892735930001107255845,3.48582358990031917329674723834231371356772937143534088131256e-24,0.834731579171280904629228155490640413366921939860397200571437,-0.656927475740478588821339694289866011068276746644950459086485,1.03399396680595780798271248509308951691277077813634715765195,0.982856736452047608382827618396656256014249051803871431970988,0.98285673645204760838282727246860332083177587258488422037641,1.01744228117094336130093593728363967544714340105595094017158,1.0,5.81945405981999378797198055408704040285611605521490978160299e-24,3.51961827299394904799714078103376324632422341006447282549385e-25
0.22,1.20741798914805394049091434621742238485688520838861905073258,1.20741798914805394049091777781563404309589967242907252160699,3.43159821165823901446404045347087441407972250193437107938488e-24,0.828213600416532897034850541910686473006776273760709472610267,-0.646708329552802165991016003408239175566817944646499515978452,1.00996086831376545420545297083056480017694622799146885763464,0.98123649678696916813242150817828205537659749899512064821724,0.981236496786969168132421161366836908785263089641565923586606,1.01912230463753782726626242600490511361157227662366020601259,1.0,5.68419262012081129678265092982494723196323028486110660908592e-24,3.53443279252469193679525266388923734421455209306391166619743e-25
0.23,1.21684607956387457414959227104548703871401635422446537122042,1.21684607956387457414959564967384154213178541006897305783573,3.37862835450341776905584450768661530874338057243383495108172e-24,0.821796623906950008470951843987248788840896350038202243075525,-0.636725794965604218547359741994519735909942641348115986437769,0.986666837464363525677005007870207602244388623237074007156241,0.979550297233587513794902937079278846115400338954542235022903,0.979550297233587513794902590281347575756748454257275593059382,1.02087662351199916753483150888392110120768773400670924261761,1.0,5.55309075033440515861070408199853333679926185145939774463705e-24,3.5403790111623009264810767336213453210616823069545979239026e-25
0.24,1.22627416997969520780827019587355169257114750006031169170827,1.22627416997969520780827352274910713631184257011072795658729,3.32687555544374069507005041626487902254743629898230453552654e-24,0.815478320004537091264469597986232305940499033540243346066789,-0.62697262336297871725156171436421453272450275786578748702289,0.964083681450828755824831307372996777296416823838029251288575,0.977799322016588948470803425649477747648663851478841467007899,0.977799322016588948470803079710555805746799123369160451292638,1.02270473857317156514756017427723861301659087589009246384914,1.0,5.42598977763484570910386174608416589876569204480463487197546e-24,3.53793374726877551123372391052096659330631483946625109272287e-25
0.25,1.23570226039551584146694812070161634642827864589615801219611,1.23570226039551584146695139700442952782232546982360729609565,3.27630281318139404682392744928389953438086713772431916918912e-24,0.809256430169453814917347975850122759363954050409309287105862,-0.617441841595382945075377449465499638564029349285606467460185,0.942184488229199703302874449596110365996921700070596405890867,0.975984787807394179315670183812994426109065481987702490480804,0.975984787807394179315669839529231464058476228677079604059165,1.02460613371501145288585989143689876120706026824915333828237,1.0,5.30273823749862779854800757088702910696683823598941331244989e-24,3.52755255269402113565712744363992119706820184803401204722598e-25
0.26,1.24513035081133647512562604552968100028540979173200433268396,1.24513035081133647512562927240420295842914360121611071636985,3.22687452195814373380948410638368588902690728163250094286939e-24,0.803128764268248974355655001277484205198193208726247354582369,-0.60812673951232439941017785924775013976757091584083025175404,0.920943559148553596864678658643611476202358272879410387090701,0.974107941517768925293379496198493865563422191578178064036325,0.974107941517768925293379154318666300154685321686681920310076,1.02658027655732726798449572975894829805338754017455515923872,1.0,5.18319149453788123511683171047456992394486476451275103836599e-24,3.50967087931468659424744333587768673035555804091447844563115e-25
0.27,1.2545584412271571087843039703577456541425409375678506531718,1.25455844122715710878430714891415452169583534821126103871695,3.17855640886755329441064341038554514792717440684495214062847e-24,0.797093198003467591120289868813906972817106941622949425637823,-0.599020858148416298257110802413796026364579640244269855541574,0.900336345600841726188467648164568354203166549094748542547019,0.972170058079071848951322223186766797742456869402348548095199,0.972170058079071848951321884414164970025283284965748747315578,1.02862661906695401572409726299738845843969027389543525099642,1.0,5.06721138595731109571187688700006607682548972869670810692268e-24,3.48470516050560122862061447490816070288957932075111022659337e-25
0.28,1.26398653164297774244298189518581030799967208340369697365965,1.26398653164297774244298502650128473603881886662695399816264,3.1313154744280391467832232570245029918288713185304556585637e-24,0.791147670458293559862071796561586874215780445664930856386141,-0.590117978523960341179536335001349107119166942260957456599645,0.880339389422655778332744286778942852997397734947776798083926,0.970172438214169444001099822988685890569208748001478615860804,0.97017243821416944400109948798292206988510417012789147741434,1.03074459818785946844118560033681860202463549851092942552329,1.0,4.95466588612749893894629448863624024688293628453926621130589e-24,3.45305381419967986174197352579414649671635610150773028083076e-25
0.29,1.27341462205879837610165982001387496185680322923954329414749,1.27341462205879837610166290513381118620000837151053116299897,3.08511993622434320514227098786885147444810837784484732933935e-24,0.785290181750265949549074562696378062491937110812182423187073,-0.581412111023793866714189463583889803445549216846575853231226,0.860930266800779146613197354926795592374590378458927558180922,0.968116406208858937556500280599530685537607315120239442162014,0.968116406208858937556499949978273608428451110781008055283988,1.03293363647869280930116573002144603586428850767103308389351,1.0,4.84542879087796674119285091365112791385140225397352856954979e-24,3.41509817369815111451964385085203926837742471651598647618368e-25
0.3,1.28284271247461900976033774484193961571393437507538961463534,1.28284271247461900976034078478111505339719214706289770428615,3.03993917543768325777198750808965081320903778365180885861513e-24,0.779518790788457598086588484171671734221717841649666555893913,-0.572897485320528239371314094955721906630526532610737692170208,0.842087535451479525533901755322661020289460852301326522183137,0.966003307689422352549044706302323874833897609444547773084123,0.966003307689422352549044380642964988487385513493493258307934,1.03519314275630601767526705520041055649875198483977349595781,1.0,4.73937942021528742819318449610956877127935433637126540386096e-24,3.3712033519356079959536190012013237468690109083015446025806e-25
0.31,1.29227080289043964341901566967000426957106552091123593512318,1.29227080289043964341901866541369036617116134966400003448352,2.99574368609660009582875276409936033887030533105981047965286e-24,0.773831613128832151961907327000440617983812268685362079480991,-0.564568540810521287185227671391034677144266775946201038985853,0.823790684860159303930528783238686851131051211290779383019314,0.963834507412690257750230381165158580575836658854726082394604,0.963834507412690257750230061006414680555523888697141488655328,1.03752251274380298442053316213019416136391965027160553647291,1.0,4.63640233826529166355446906953721584417182237141328370827606e-24,3.32171904448048780957483851058511943972190564572544503847485e-25
0.32,1.30169889330626027707769359449806892342819666674708225561103,1.30169889330626027707769654700309581485862209393333670488142,2.9525050268914304254271862544492703967734795337437753061397e-24,0.76822681892280186611343029068649749891411145004252102472995,-0.556419917532982683638439290377892424386233893636293826777496,0.806020089383322801847885247063034332113578824043403893795586,0.961611387074725143815421903786338087719908799571539311017732,0.961611387074725143815421589629794597483737016053203923791047,1.03992112972170091827838336661991677664712276231811036890578,1.0,4.53638708932477035143800824338793336423613557444523766944034e-24,3.26698027615831066157820656363544551742767949543725269547548e-25
0.33,1.31112698372208091073637151932613357728532781258292857609887,1.3111269837220809107363744295219089827482928700409261452343,2.91019577540546296505745799756913542713075268994879327115384e-24,0.762702630954294828679835823912510663890008839552743340899159,-0.54844644754451992881859252715195497156474561530554448352728,0.788756964028957141343488924810254184717838617632580320842567,0.959335343143944604069782636505529393401839018798054724944088,0.95933534314394460406978232881712812623853273381235889068151,1.04238836518082271830476955234454445780334295869882331754414,1.0,4.43922794898764139746450928478735014272386570626991231325432e-24,3.20730809581979340134377633037183802941844757857490648537826e-25
0.34,1.32055507413790154439504944415419823114245895841877489658671,1.32055507413790154439505231294368285638545173770137041475257,2.86878948462524299277928259551816585585658984476413439045449e-24,0.757257322760908225238328259418750557967178289341344767067074,-0.540643146723205561164256386315985178282008063946212541063861,0.771983322744458972947550841819925788933425712725652560759096,0.957007784724196404231605633277319694133269980166024010374593,0.957007784724196404231605332488794564483946762292483945608212,1.04492357947557728647165166209589288507086305103437333969933,1.0,4.34482368938391439527974439265798576854558049974059582275917e-24,3.14301022343652800414717047338340011891647678025835228780847e-25
