link,u,light_weight,heavy_diagonal
39,-9.72194866310342133482068790042588046902248580220563797319829e-43,9.45162858080184013845820201290674243444148736057463113002423e-85,1.0
40,-2.91658459893102640044620637012776414070674574066169139195949e-42,8.5064657227216561246123818116160681909973386245171680170218e-84,1.0
41,-8.74975379679307920133861911038329242212023722198507417587847e-42,7.65581915044949051215114363045446137189760476206545121531962e-83,1.0
42,-2.62492613903792376040158573311498772663607116659552225276354e-41,6.89023723540454146093602926740901523470784428585890609378766e-82,1.0
43,-7.87477841711377128120475719934496317990821349978656675829062e-41,6.20121351186408731484242634066811371123705985727301548440889e-81,1.0
44,-2.36243352513413138436142715980348895397246404993597002748719e-40,5.581092160677678583358183706601302340113353871545713935968e-80,1.0
45,-7.08730057540239415308428147941046686191739214980791008246156e-40,5.0229829446099107250223653359411721061020184843911425423712e-79,1.0
46,-2.12619017262071824592528444382314005857521764494237302473847e-39,4.52068465014891965252012880234705489549181663595202828813408e-78,1.0
47,-6.3785705178621547377758533314694201757256529348271190742154e-39,4.06861618513402768726811592211234940594263497235682545932068e-77,1.0
48,-1.91357115535864642133275599944082605271769588044813572226462e-38,3.66175456662062491854130432990111446534837147512114291338861e-76,1.0
49,-5.74071346607593926399826799832247815815308764134440716679386e-38,3.29557910995856242668717389691100301881353432760902862204975e-75,1.0
50,-1.72221403982278177919948039949674344744592629240332215003816e-37,2.96602119896270618401845650721990271693218089484812575984477e-74,1.0
51,-5.16664211946834533759844119849023034233777887720996645011448e-37,2.6694190790664355656166108564979124452389628053633131838603e-73,1.0
52,-1.54999263584050360127953235954706910270133366316298993503434e-36,2.40247717115979200905494977084812120071506652482698186547427e-72,1.0
53,-4.64997790752151080383859707864120730810400098948896980510303e-36,2.16222945404381280814945479376330908064355987234428367892684e-71,1.0
54,-1.39499337225645324115157912359236219243120029684669094153091e-35,1.94600650863943152733450931438697817257920388510985531103416e-70,1.0
55,-4.18498011676935972345473737077708657729360089054007282459272e-35,1.75140585777548837460105838294828035532128349659886977993074e-69,1.0
56,-1.25549403503080791703642121123312597318808026716202184737782e-34,1.57626527199793953714095254465345231978915514693898280193767e-68,1.0
57,-3.76648210509242375110926363369937791956424080148606554213345e-34,1.4186387447981455834268572901881070878102396322450845217439e-67,1.0
58,-1.12994463152772712533277909010981337586927224044581966264004e-33,1.27677487031833102508417156116929637902921566902057606956951e-66,1.0
59,-3.38983389458318137599833727032944012760781672133745898792011e-33,1.14909738328649792257575440505236674112629410211851846261256e-65,1.0
60,-1.01695016837495441279950118109883203828234501640123769637603e-32,1.0341876449578481303181789645471300670136646919066666163513e-64,1.0
61,-3.0508505051248632383985035432964961148470350492037130891281e-32,9.30768880462063317286361068092417060312298222715999954716172e-64,1.0
62,-9.15255151537458971519551062988948834454110514761113926738429e-32,8.37691992415856985557724961283175354281068400444399959244555e-63,1.0
63,-2.74576545461237691455865318896684650336233154428334178021529e-31,7.53922793174271287001952465154857818852961560399959963320099e-62,1.0
64,-8.23729636383713074367595956690053951008699463285002534064586e-31,6.7853051385684415830175721863937203696766540435996396698809e-61,0.999999999999999999999999999999999999999999999999999999999999
65,-2.47118890915113922310278787007016185302609838985500760219376e-30,6.10677462471159742471581496775434833270898863923967570289281e-60,0.999999999999999999999999999999999999999999999999999999999994
66,-7.41356672745341766930836361021048555907829516956502280658127e-30,5.49609716224043768224423347097891349943808977531570813260353e-59,0.999999999999999999999999999999999999999999999999999999999945
67,-2.22407001823602530079250908306314566772348855086950684197438e-29,4.94648744601639391401981012388102214949428079778413731934317e-58,0.999999999999999999999999999999999999999999999999999999999505
68,-6.67221005470807590237752724918943700317046565260852052592315e-29,4.45183870141475452261782911149291993454485271800572358740886e-57,0.999999999999999999999999999999999999999999999999999999995548
69,-2.00166301641242277071325817475683110095113969578255615777694e-28,4.00665483127327907035604620034362794109036744620515122866797e-56,0.999999999999999999999999999999999999999999999999999999959933
70,-6.00498904923726831213977452427049330285341908734766847333083e-28,3.60598934814595116332044158030926514698133070158463610580117e-55,0.999999999999999999999999999999999999999999999999999999639401
71,-1.80149671477118049364193235728114799085602572620430054199925e-27,3.24539041333135604698839742227833863228319763142617249522106e-54,0.99999999999999999999999999999999999999999999999999999675461
72,-5.40449014431354148092579707184344397256807717861290162599775e-27,2.92085137199822044228955768005050476905487786828355524569895e-53,0.999999999999999999999999999999999999999999999999999970791486
73,-1.62134704329406244427773912155303319177042315358387048779932e-26,2.62876623479839839806060191204545429214939008145519972112906e-52,0.999999999999999999999999999999999999999999999999999737123377
74,-4.86404112988218733283321736465909957531126946075161146339797e-26,2.36588961131855855825454172084090886293445107330967974901615e-51,0.999999999999999999999999999999999999999999999999997634110389
75,-1.45921233896465619984996520939772987259338083822548343901939e-25,2.12930065018670270242908754875681797664100596597871177411453e-50,0.999999999999999999999999999999999999999999999999978706993498
76,-4.37763701689396859954989562819318961778014251467645031705818e-25,1.91637058516803243218617879388113617897690536938084059670308e-49,0.999999999999999999999999999999999999999999999999808362941483
77,-1.31329110506819057986496868845795688533404275440293509511745e-24,1.72473352665122918896756091449302256107921483244275653703277e-48,0.999999999999999999999999999999999999999999999998275266473349
78,-3.93987331520457173959490606537387065600212826320880528535236e-24,1.5522601739861062700708048230437203049712933491984808833295e-47,0.999999999999999999999999999999999999999999999984477398260139
79,-1.18196199456137152187847181961216119680063847896264158560571e-23,1.39703415658749564306372434073934827447416401427863279499655e-46,0.99999999999999999999999999999999999999999999986029658434125
80,-3.54588598368411456563541545883648359040191543688792475681712e-23,1.25733074092874607875735190666541344702674761285076951549689e-45,0.999999999999999999999999999999999999999999998742669259071254
81,-1.06376579510523436969062463765094507712057463106637742704514e-22,1.1315976668358714708816167159988721023240728515656925639472e-44,0.999999999999999999999999999999999999999999988684023331641285
82,-3.19129738531570310907187391295283523136172389319913228113541e-22,1.01843790015228432379345504439898489209166556640912330755248e-43,0.999999999999999999999999999999999999999999898156209984771568
83,-9.57389215594710932721562173885850569408517167959739684340623e-22,9.16594110137055891414109539959086402882499009768210976797234e-43,0.999999999999999999999999999999999999999999083405889862944109
84,-2.87216764678413279816468652165755170822555150387921905302187e-21,8.24934699123350302272698585963177762594249108791389879117511e-42,0.999999999999999999999999999999999999999991750653008766496977
85,-8.61650294035239839449405956497265512467665451163765715906561e-21,7.42441229211015272045428727366859986334824197912250891205759e-41,0.999999999999999999999999999999999999999925755877078898472795
86,-2.58495088210571951834821786949179653740299635349129714771968e-20,6.68197106289913744840885854630173987701341778121025802085184e-40,0.999999999999999999999999999999999999999331802893710086255159
87,-7.75485264631715855504465360847538961220898906047389144315905e-20,6.01377395660922370356797269167156588931207600308923221876665e-39,0.999999999999999999999999999999999999993986226043390776296432
88,-0.000000000000000000232645579389514756651339608254261688366269671814216743294771,5.41239656094830133321117542250440930038086840278030899688999e-38,0.999999999999999999999999999999999999945876034390516986667888
89,-0.000000000000000000697936738168544269954018824762785065098809015442650229884314,4.87115690485347119989005788025396837034278156250227809720099e-37,0.999999999999999999999999999999999999512884309514652880010994
90,-0.00000000000000000209381021450563280986205647428835519529642704632795068965294,4.38404121436812407990105209222857153330850340625205028748089e-36,0.999999999999999999999999999999999995615958785631875920098948
91,-0.00000000000000000628143064351689842958616942286506558588928113898385206895883,3.9456370929313116719109468830057143799776530656268452587328e-35,0.999999999999999999999999999999999960543629070686883280890531
92,-0.0000000000000000188442919305506952887585082685951967576678434169515562068765,3.55107338363818050471985219470514294197988775906416073285952e-34,0.999999999999999999999999999999999644892661636181949528014781
93,-0.0000000000000000565328757916520858662755248057855902730035302508546686206295,3.19596604527436245424786697523462864778189898315774465957357e-33,0.999999999999999999999999999999996804033954725637545752133025
94,-0.000000000000000169598627374956257598826574417356770819010590752564005861888,2.87636944074692620882308027771116578300370908484197019361621e-32,0.999999999999999999999999999999971236305592530737911769197223
95,-0.000000000000000508795882124868772796479723252070312457031772257692017585665,2.58873249667223358794077224994004920470333817635777317425459e-31,0.999999999999999999999999999999741126750332776641205922775006
96,-0.000000000000001526387646374606318389439169756210937371095316773076052757,2.32985924700501022914669502494604428423300435872199585682913e-30,0.999999999999999999999999999997670140752994989770853304975054
97,-0.00000000000000457916293912381895516831750926863281211328595031922815827099,2.09687332230450920623202552245143985580970392284979627114622e-29,0.999999999999999999999999999979031266776954907937679744775486
98,-0.000000000000013737488817371456865504952527805898436339857850957684474813,1.8871859900740582856088229702062958702287335305648166440316e-28,0.99999999999999999999999999981128140099259417143911770297937
99,-0.0000000000000412124664521143705965148575834176953090195735528730534244389,1.69846739106665245704794067318566628320586017750833497962844e-27,0.999999999999999999999999998301532608933347542952059326814334
100,-0.000000000000123637399356343111789544572750253085927058720658619160273317,1.52862065195998721134314660586709965488527415975750148166559e-26,0.999999999999999999999999984713793480400127886568533941329003
101,-0.00000000000037091219806902933536863371825075925778117616197585748081995,1.37575858676398849020883194528038968939674674378175133349903e-25,0.999999999999999999999999862424141323601150979116805471961031
102,-0.00000000000111273659420708800610590115475227777334352848592757244245985,1.23818272808758964118794875075235072045707206940357620014913e-24,0.99999999999999999999999876181727191241035881205124924764928
103,-0.00000000000333820978262126401831770346425683332003058545778271732737955,1.11436445527883067706915387567711564841136486246321858013422e-23,0.999999999999999999999988856355447211693229308461243228843516
104,-0.0000000000100146293478637920549531103927704999600917563733481519821386,1.0029280097509476093622384881094040835702283762168967221208e-22,0.999999999999999999999899707199024905239063776151189059591643
105,-0.0000000000300438880435913761648593311783114998802752691200444559464159,9.02635208775852848426014639298463675213205538595207049908716e-22,0.999999999999999999999097364791224147151573985360701536324787
106,-0.0000000000901316641307741284945779935349344996408258073601333678392478,8.12371687898267563583413175368617307691884984735686344917844e-21,0.999999999999999999991876283121017324364165868246313826923081
107,-0.000000000270394992392322385483733980604803498922477422080400103517743,7.3113451910844080722507185783175557692269648626211771042606e-20,0.99999999999999999992688654808915591927749281421682444230773
108,-0.00000000081118497717696715645120194181441049676743226624120031055323,0.000000000000000000658021067197596726502564672048580019230426837635905939383454,0.999999999999999999341978932802403273497435327951419980769573
109,-0.00000000243355493153090146935360582544323149030229679872360093165969,0.00000000000000000592218960477837053852308204843722017307384153872315345445109,0.999999999999999994077810395221629461476917951562779826926158
110,-0.00000000730066479459270440806081747632969447090689039617080279497907,0.0000000000000000532997064430053348467077384359349815576645738485083810900598,0.999999999999999946700293556994665153292261564065018442335426
111,-0.0000000219019943837781132241824524289890834127206711885124083849372,0.000000000000000479697357987048013620369645923414834018981164636575429810538,0.999999999999999520302642012951986379630354076585165981018835
112,-0.0000000657059831513343396725473572869672502381620135655372251548117,0.00000000000000431727622188343212258332681331073350617083048172917886829484,0.999999999999995682723778116567877416673186689266493829169518
113,-0.000000197117949454003019017642071860901750714486040696611675464435,0.0000000000000388554859969508891032499413197966015555374743355626098146536,0.999999999999961144514003049110896750058680203398444462525664
114,-0.000000591353848362009057052926215582705252143458122089835026393305,0.000000000000349699373972558001929249471878169413999837269020063488331882,0.99999999999965030062602744199807075052812183058600016273098
115,-0.00000177406154508602717115877864674811575643037436626950507917991,0.00000000000314729436575302201736324524690352472599853542118057139498694,0.999999999996852705634246977982636754753096475274001464578819
116,-0.00000532218463525808151347633594024434726929112309880851523753974,0.0000000000283256492917771981562692072221317225339868187906251425548825,0.999999999971674350708222801843730792777868277466013181209375
117,-0.0000159665539057742445404290078207330418078733692964255457126192,0.000000000254930843625994783406422864999185502805881369115626282993942,0.999999999745069156374005216593577135000814497194118630884374
118,-0.0000478996617173227336212870234621991254236201078892766371378577,0.00000000229437759263395305065780578499266952525293232204063654694548,0.999999997705622407366046949342194215007330474747067677959363
119,-0.000143698985151968200863861070386597376270860323667829911413573,0.0000000206493983337055774559202520649340257272763908983657289225093,0.999999979350601666294422544079747935065974272723609101634271
120,-0.000431096955455904602591583211159792128812580971003489734240719,0.000000185844585003350197103282268584406231545487518085291560302584,0.99999981415541499664980289671773141559376845451248191470844
121,-0.00129329086636771380777474963347937638643774291301046920272216,0.00000167260126503015177392954041725965608390938766276762404272325,0.999998327398734969848226070459582740343916090612337232375957
122,-0.00387987259910314142332424890043812915931322873903140760816647,0.0000150534113852713659653658637553369047551844889649086163845093,0.999984946588614728634034634136244663095244815511035091383615
123,-0.0116396177973094242699727467013143874779396862170942228244994,0.000135480702467442293688292773798032142796660400684177547460584,0.999864519297532557706311707226201967857203339599315822452539
124,-0.0349188533919282728099182401039431624338190586512826684734983,0.00121932632220698064319463496418228928516994360615759792714525,0.998780673677793019356805365035817710714830056393842402072855
125,-0.104756560175784818429754720311829487301457175953848005420495,0.0109739368998628257887517146776406035665294924554183813443073,0.989026063100137174211248285322359396433470507544581618655693
126,-0.314269680527354455289264160935488461904371527861544016261484,0.0987654320987654320987654320987654320987654320987654320987654,0.901234567901234567901234567901234567901234567901234567901235
127,-0.942809041582063365867792482806465385713114583584632048784453,0.888888888888888888888888888888888888888888888888888888888889,0.111111111111111111111111111111111111111111111111111111111111
