q,n,u_left,u_right,tau,right_light_weight,right_heavy_weight,betaI_times_Lambda,betaX_times_Lambda
3,127,2.39896763795083577592918536348139271689575716046472487678791e-61,-0.942809041582063365867792482806465385713114583584632048784453,6.7853051385684415830175721863937203696766540435996396698809e-61,0.888888888888888888888888888888888888888888888888888888888889,0.111111111111111111111111111111111111111111111111111111111111,4.79793527590167155185837072696278543379151432092944975357583e-61,-5.65685424949238019520675489683879231427868750150779229270672
3,128,7.99655879316945258643061787827130905631919053488241625595972e-62,-0.942809041582063365867792482806465385713114583584632048784453,2.2617683795228138610058573954645734565588846811998798899603e-61,0.888888888888888888888888888888888888888888888888888888888889,0.111111111111111111111111111111111111111111111111111111111111,1.59931175863389051728612357565426181126383810697648325119194e-61,-5.65685424949238019520675489683879231427868750150779229270672
5,2,0.0391930900834810252519815555736936530654098607886093963303068,-0.979827252087025631299538889342341326635246519715234908257669,0.192307692307692307692307692307692307692307692307692307692308,0.960061443932411674347158218125960061443932411674347158218126,0.039938556067588325652841781874039938556067588325652841781874,0.0784464540552736127696649862926581844548272453246091755013072,-9.80580675690920159620812328658227305685340566557614693766341
5,4,0.00156767351564612003870874342217738184696927518804711203878181,-0.979795947278825024192964638860863654355796992529445024238632,0.00768001966085033177684934873433275989186532317522732858196117,0.960000098304010066330630792256593127075136212493948159380292,0.0399999016959899336693692077434068729248637875060518406197085,0.00313535088401416798655938976686840030445913358166612650452401,-9.79797151254427495799809302146375095143479244270664532663754
5,8,0.00000250827749661030313750205461969761108914707295930790779860989,-0.979795897113399663086740085819379331698075374729651483831989,0.0000122880000000805306368005277655813359387645138432082871179228,0.960000000000251658240000065970697666577293822569107238111824,0.0399999999997483417599999340293023334227061774308927618881764,0.00000501655499323638699250990171031926527465196588953789188246997,-9.79795897116481834474590177796731498955462087800369508294916
5,16,0.00000000000642119039132153439373829388055755835364170169272687030892322,-0.979795897113271239278914471520623528082535048328685044696536,0.0000000000314572800000000000000013510798882111488000000580284393415022,0.960000000000000000000001649267441664000000000002833419889722,0.0399999999999999999999983507325583359999999999971665801102782,0.0000000000128423807826430687874768525176213450154348431876260950725917,-9.7979589711327123927893467083903083919028039456375847416624
5,32,4.20819133485648078028032466275336973880866463018485117948601e-23,-0.979795897113271239278913629882356556786378992298816139690115,2.06158430208000000000000000000000000000000000380295180068469e-22,0.960000000000000000000000000000000000000000000070835497243045,0.0399999999999999999999999999999999999999999999291645027569553,8.41638266971296156056064932550673947761732926782193550143279e-23,-9.79795897113271239278913629882356556786378993166370259299036
5,64,1.80740441585191698049565561387879523419792765874090557165812e-45,-0.979795897113271239278913629882356556786378992262668051373077,8.85443715538058477568e-45,0.96,0.04,3.61480883170383396099131122775759046839585531748181114331624e-45,-9.79795897113271239278913629882356556786378992262668051373077
5,127,1.66703633484564117648397777538881877243142200671599022653739e-89,-0.979795897113271239278913629882356556786378992262668051373077,8.166776806102523123120990578362437074944e-89,0.96,0.04,3.33407266969128235296795555077763754486284401343198045307478e-89,-9.79795897113271239278913629882356556786378992262668051373077
5,128,3.33407266969128235296795555077763754486284401343198045307478e-90,-0.979795897113271239278913629882356556786378992262668051373077,1.6333553612205046246241981156724874149888e-89,0.96,0.04,6.66814533938256470593591110155527508972568802686396090614956e-90,-9.79795897113271239278913629882356556786378992262668051373077
