kappa,r,hidden_metric,t,V_hat,dV_hat_dr,V_over_S
1e-6,2.45,3.30988224315590445994777329883511072671185721827828707745954,0.0000000912798492135716817159592705317147264884959385579376342050061,0.000000302125556235954795741248812061375603410967326605592498396656,-0.0000000860594671528027776925368979526109051398957058515415926035299,0.302125556235954795741248812061375603410967326605592498396656
1e-6,2.5,3.35702269268944174234163801271187850755957600888696040035278,0.0000000887342833276721568056957150432767895499253802783916449983344,0.000000297883006687416339673968049957441406666602544948766526280336,-0.0000000836594846196338505419507976838649307838305730448064981492667,0.297883006687416339673968049957441406666602544948766526280336
1e-6,2.55,3.40416314232799716049552859983152314336679710809372249192246,0.0000000862937355775326577686750364097983549199529107675221087275903,0.000000293757957790139257077968996749807656154451276756250274956932,-0.0000000813585141343895684006296431438621325579386702093797767138129,0.293757957790139257077968996749807656154451276756250274956932
1e-6,2.6,3.45130359206587242250464233981543573608672437172016590501626,0.0000000839525076712483818845186257332326264544001225781766819966457,0.000000289745594812729022723380766952833874800093016240640641554003,-0.0000000791511832959405093855132802545563919115719775563136268193883,0.289745594812729022723380766952833874800093016240640641554003
1e-6,2.65,3.49844404189775054538962646544093088472182626148005503459895,0.0000000817052826258399763860037976125820726149807801053201511427195,0.000000285841362531818264529951065251407306875535167326253714410078,-0.0000000770324792046598017703265689245161354675595807420471120149141,0.285841362531818264529951065251407306875535167326253714410078
1e-6,2.7,3.54558449181866564094373800244845849804998678487257921386605,0.0000000795470945531006982988710019566245774091940726821480310673834,0.000000282040947980577010917244812624575718797794939671983373411577,-0.0000000749977199762466425401702350554008865878214092075744695923523,0.282040947980577010917244812624575718797794939671983373411577
1e-6,2.75,3.59272494182397545826146095721222822275377846167351044725278,0.0000000774733012021250316294944484120427133568157723130955293127493,0.000000278340264555372181774341678525467842968836931271481315530746,-0.0000000730425288545740186952965176845821359310374165379876699105033,0.278340264555372181774341678525467842968836931271481315530746
1e-6,2.8,3.63986539190933639920591734919341458148785068960034389661826,0.0000000754795589747760983973353115014911298555633741600217862535181,0.000000274735437357449184415596477896356964462230925505179321734328,-0.0000000711628106560454826707880618307391981195597207722916757453644,0.274735437357449184415596477896356964462230925505179321734328
1e-6,2.85,3.68700584207068075551064923284499407932864460801341813651755,0.0000000735618001627874406568465677300462680447972167974818620733994,0.000000271222789659102469913187993908988311538049160213352533553239,-0.0000000693547303085288998145719052971467550706613731890980652029523,0.271222789659102469913187993908988311538049160213352533553239
1e-6,2.9,3.73414629230419594458085076207470091986721551824835460405723,0.0000000717162121835642525619359513012991832258529216625823195122019,0.00000026779883039496500293384954768716491525190245748710330654856,-0.0000000676146932746821087706548237179614007778589812468728676478872,0.26779883039496500293384954768716491525190245748710330654856
1e-6,2.95,3.78128674260630554591430872590096998529798134901921135356876,0.0000000699392186166043209016218970974442933274445468096546277007457,0.000000264460242588957186159963041869858733334912912822946256905775,-0.000000065939327672919123459858480213427242090449442148853674227127,0.264460242588957186159963041869858733334912912822946256905775
1e-6,3.0,3.8284271929736519618761785434390726951823849309355480390663,0.0000000682274618642728010950196765380430411801816518927129450632428,0.000000261203872636248083336561775772150310447266399015523685543172,-0.000000064325467929831817860114329523086124874692477769220895349889,0.261203872636248083336561775772150310447266399015523685543172
1e-3,0.0,1.00099800697014227585480148831831516436955608739054195363351,0.000998006970142275854801488318315164369556087390541953633507056,0.000999500997010954703035782461867609948928466800449103976088687,-0.000940929995012058028423377006045352085872282543851949836467431,0.999500997010954703035782461867609948928466800449103976088687
1e-3,0.05,1.04805085844106771303962198674348259758348703667423652652072,0.000910406361964544746232362603159328297831307495004924081494506,0.000954566589059103297710048187701779482054421284463924263158504,-0.000858339349574005499549456871946003830568027740261888081804347,0.954566589059103297710048187701779482054421284463924263158504
1e-3,0.1,1.09511474036803272119935086169089733938637161109555779182084,0.000833836209826384612571613410250800815060152737094586942390969,0.000913493965845894454726684488273507069286698087193475513135233,-0.00078614831782283396394978767129812282358791319104212668886482,0.913493965845894454726684488273507069286698087193475513135233
1e-3,0.15,1.14218787873495390297338698200642894681390928219965935070686,0.000766522497644398093218109585459138956942094661964543389194999,0.000875806483956771261180881194837491001176976109769607765082181,-0.000722684341355204390281479890995600125361798209628239045467061,0.875806483956771261180881194837491001176976109769607765082181
1e-3,0.2,1.18926884169748949823312307158130560258240988639325889907175,0.000707033381076825059564575020012525439786969676332489314855045,0.000841102718255673892211573721353624823772457972720863884956077,-0.000666597464379567211303307223068754688318598671727919716850227,0.841102718255673892211573721353624823772457972720863884956077
1e-3,0.25,1.23635646348806087039930226615150304866641037683570973598202,0.000654203092545028932354145449886702238131730939551723785903952,0.000809042212745072309648403713146838990423368787854219199140689,-0.000616788590682400631037944224309925071379476788902115927181637,0.809042212745072309648403713146838990423368787854219199140689
1e-3,0.3,1.2834497873163636253991387850370383424559584597000380001386,0.000607074841744615638801040195098726742024084624648385503266045,0.000779334346453981672900307497393032932256610320801734784741556,-0.000572355649713823863051139529662543543163672639430223022295322,0.779334346453981672900307497393032932256610320801734784741556
1e-3,0.35,1.33054802204468682029273897818916952151306100299947042151198,0.000564857490964642239011609206906636513470898744849204437420513,0.000751729549332678723688633609095326973340985085276025763742966,-0.00053255274968682336669714390640668555399580363650335326930368,0.751729549332678723688633609095326973340985085276025763742966
