dataset,id,qso,instrument,z,sigma_ppm
King2012,141,J234646+124527,Keck,2.5378,22.770000000000003
King2012,142,J000344-232355,VLT,0.4521,11.993306466525402
King2012,143,J000344-232355,VLT,0.9491,29.312060657688328
King2012,144,J000344-232355,VLT,1.5864,13.509381925165933
King2012,146,J000448-415728,VLT,1.9886,21.452389144335417
King2012,147,J000448-415728,VLT,2.1679,13.077312415018616
King2012,148,J001210-012207,VLT,1.203,14.95033444441963
King2012,149,J001602-001225,VLT,0.6351,36.58695122581274
King2012,150,J001602-001225,VLT,0.6363,40.17265363403319
King2012,151,J001602-001225,VLT,0.8575,20.379649162829082
King2012,152,J001602-001225,VLT,1.1468,30.589391952113075
King2012,153,J001602-001225,VLT,2.0292,13.005310453810782
King2012,154,J004131-493611,VLT,2.1095,29.959574429554234
King2012,155,J004131-493611,VLT,2.2485,11.272129346312525
King2012,156,J005758-264314,VLT,1.2679,21.325538680183442
King2012,157,J005758-264314,VLT,1.5336,12.784498425828057
King2012,158,J010311+131617,VLT,1.7975,10.579834592279788
King2012,159,J010311+131617,VLT,2.3092,10.658301928543777
King2012,160,J010821+062327,VLT,1.9328,26.155574931551403
King2012,161,J011143-350300,VLT,1.1827,13.120689768453486
King2012,162,J011143-350300,VLT,1.3499,9.807695957767043
King2012,163,J012417-374423,VLT,0.8221,13.861908238045729
King2012,164,J012417-374423,VLT,0.8593,26.738139426669164
King2012,165,J012417-374423,VLT,1.2433,15.198243319541902
King2012,166,J012417-374423,VLT,1.9102,32.39960802232027
King2012,167,J013105-213446,VLT,1.8566,17.050073313625372
King2012,168,J014333-391700,VLT,0.34,40.17265363403319
King2012,169,J014333-391700,VLT,1.7101,25.24772068920282
King2012,170,J015733-004824,VLT,0.7693,43.82461522934343
King2012,171,J024008-230915,VLT,1.1846,28.988861654090524
King2012,172,J024008-230915,VLT,1.6359,14.321749194843486
King2012,173,J024008-230915,VLT,1.6373,13.63607348176153
King2012,174,J024008-230915,VLT,1.6574,13.561434289926712
King2012,175,J033106-382404,VLT,0.7627,13.398391694528115
King2012,176,J033106-382404,VLT,0.9709,43.120390768173706
King2012,177,J033106-382404,VLT,1.438,27.25631303019541
King2012,178,J033108-252443,VLT,0.9925,15.28675570551188
King2012,179,J033108-252443,VLT,2.4547,55.70012657077182
King2012,180,J033244-445557,VLT,2.4112,12.03276360608817
King2012,181,J033244-445557,VLT,2.6563,19.161800541702757
King2012,182,J040718-441013,VLT,2.4126,23.97378776914487
King2012,183,J040718-441013,VLT,2.5499,9.714082560900954
King2012,184,J040718-441013,VLT,2.5948,9.685298136867033
King2012,185,J040718-441013,VLT,2.6214,28.893876513891314
King2012,186,J042707-130253,VLT,1.408,14.321749194843486
King2012,187,J042707-130253,VLT,1.5632,26.108669058379824
King2012,188,J042707-130253,VLT,2.0351,39.35470111689326
King2012,189,J043037-485523,VLT,1.3556,9.342638813525866
King2012,190,J044017-433308,VLT,1.4335,26.587638104953964
King2012,191,J044017-433308,VLT,2.0482,12.512078164717483
King2012,192,J051707-441055,VLT,0.2223,38.11985571850975
King2012,193,J051707-441055,VLT,0.4291,17.535760605117762
King2012,194,J053007-250329,VLT,2.1412,9.736046425526125
King2012,195,J055246-363727,VLT,1.2252,12.728118478392632
King2012,196,J055246-363727,VLT,1.7475,14.673275026387259
King2012,197,J055246-363727,VLT,1.9565,17.776177879398034
King2012,198,J064326-504112,VLT,2.6592,21.225986431730327
King2012,199,J091613+070224,VLT,1.3324,59.838323840161166
King2012,200,J094253-110426,VLT,1.0595,11.671306696338675
King2012,201,J094253-110426,VLT,1.7891,10.315279928339319
King2012,202,J103909-231326,VLT,1.4429,28.666051349985405
King2012,203,J103909-231326,VLT,2.7778,11.201004419247411
King2012,204,J103921-271916,VLT,0.8771,22.601030949936774
King2012,205,J103921-271916,VLT,1.0093,34.02561535079123
King2012,206,J103921-271916,VLT,1.9721,12.3952974954214
King2012,207,J104032-272749,VLT,1.3861,11.398570085760758
King2012,208,J104032-272749,VLT,1.7761,16.004452505474845
King2012,209,J110325-264515,VLT,1.1868,12.940826866935513
King2012,210,J110325-264515,VLT,1.2029,12.27975976963719
King2012,211,J110325-264515,VLT,1.5515,13.472301213972319
King2012,212,J110325-264515,VLT,1.8389,9.874462010661645
King2012,213,J111113-080401,VLT,3.6077,161.59362023297825
King2012,214,J112010-134625,VLT,1.6283,14.477309832976566
King2012,215,J112442-170517,VLT,0.8062,16.444312086554426
King2012,216,J112442-170517,VLT,1.2342,18.130267510436795
King2012,217,J115411+063426,VLT,1.7739,11.973641885408131
King2012,218,J115411+063426,VLT,1.8197,13.295491717119756
King2012,219,J115411+063426,VLT,2.366,19.96853775317562
King2012,220,J115944+011206,VLT,0.7908,14.090510991443853
King2012,221,J115944+011206,VLT,1.3305,24.24257824572296
King2012,222,J115944+011206,VLT,1.9438,10.071688041237179
King2012,223,J120342+102831,VLT,1.3224,21.31648423169262
King2012,224,J120342+102831,VLT,1.3422,17.033126547994645
King2012,225,J120342+102831,VLT,1.5789,28.62809983215792
King2012,226,J121140+103002,VLT,1.0496,11.272129346312525
King2012,227,J123200-022404,VLT,0.7569,33.43798139840382
King2012,228,J123200-022404,VLT,0.8308,12.841129233832982
King2012,229,J123437+075843,VLT,1.0201,17.024655649968373
King2012,230,J123437+075843,VLT,1.7194,13.070095638517722
King2012,231,J133335+164903,VLT,0.7446,10.54888145729205
King2012,232,J133335+164903,VLT,1.3253,106.45537750625846
King2012,233,J133335+164903,VLT,1.7765,10.098163199315012
King2012,234,J133335+164903,VLT,1.7863,12.484490378065098
King2012,235,J134427-103541,VLT,1.9155,11.715634852623225
King2012,236,J134427-103541,VLT,2.1474,88.7725103846906
King2012,237,J135038-251216,VLT,1.4393,10.68479761156008
King2012,238,J135038-251216,VLT,1.7529,33.81359046300762
King2012,239,J141217+091624,VLT,1.4187,19.888353375782522
King2012,240,J141217+091624,VLT,2.0188,11.78579653650953
King2012,241,J141217+091624,VLT,2.4564,16.58651560756508
King2012,242,J141217+091624,VLT,2.6682,12.408972560208198
King2012,243,J143040+014939,VLT,0.4878,23.51153971989074
King2012,244,J143040+014939,VLT,1.203,34.122023679729196
King2012,245,J143040+014939,VLT,1.2411,15.030053226785327
King2012,246,J144653+011356,VLT,0.5097,14.571166734342174
King2012,247,J144653+011356,VLT,0.6602,20.424460825196828
King2012,248,J144653+011356,VLT,1.102,41.303662065245504
King2012,249,J144653+011356,VLT,1.1292,29.04586889731481
King2012,250,J144653+011356,VLT,1.1595,15.070003317849668
King2012,251,J145102-232930,VLT,1.5855,26.174340488348506
King2012,252,J200324-325144,VLT,2.0329,15.030053226785327
King2012,253,J200324-325144,VLT,3.1878,14.65753731020324
King2012,254,J200324-325144,VLT,3.1917,43.13016809612501
King2012,255,J212912-153841,VLT,1.738,11.061288351724677
King2012,256,J212912-153841,VLT,2.0225,15.38363091080906
King2012,257,J212912-153841,VLT,2.6378,34.507861423159795
King2012,258,J212912-153841,VLT,2.7686,14.16730390723655
King2012,259,J213314-464030,VLT,1.6148,18.104278499846384
King2012,260,J214159-441325,VLT,2.1329,23.992309184403236
King2012,261,J214159-441325,VLT,2.3828,12.470721711272368
King2012,262,J214159-441325,VLT,2.8523,10.45753795116231
King2012,263,J214225-442018,VLT,0.9865,13.861908238045729
King2012,264,J214225-442018,VLT,1.0529,15.757934509319425
King2012,265,J214225-442018,VLT,1.1543,41.011004620711255
King2012,266,J214225-442018,VLT,1.7569,44.020323715302226
King2012,267,J214225-442018,VLT,2.1126,12.470721711272368
King2012,268,J214225-442018,VLT,2.2533,14.399392348290258
King2012,269,J214225-442018,VLT,2.3798,17.604331853268388
King2012,270,J220734-403655,VLT,1.627,28.561698128787793
King2012,271,J220852-194359,VLT,0.9478,15.880963446844149
King2012,272,J220852-194359,VLT,0.9483,22.034305071864644
King2012,273,J220852-194359,VLT,1.0172,10.569489107804598
King2012,274,J220852-194359,VLT,1.0182,13.786315678962238
King2012,275,J220852-194359,VLT,1.297,29.074377035458557
King2012,276,J220852-194359,VLT,1.9206,9.834886882928549
King2012,277,J220852-194359,VLT,2.0762,10.770705640764676
King2012,278,J222006-280323,VLT,0.7866,17.339163762996186
King2012,279,J222006-280323,VLT,0.9408,19.80825333036712
King2012,280,J222006-280323,VLT,0.9424,15.432190382444094
King2012,281,J222006-280323,VLT,1.5554,10.88044576292718
King2012,282,J222006-280323,VLT,1.6279,12.491381028533235
King2012,283,J222756-224302,VLT,1.4129,20.01312069618329
King2012,284,J222756-224302,VLT,1.4334,30.713596337778487
King2012,285,J222756-224302,VLT,1.4518,18.260397038399795
King2012,286,J222756-224302,VLT,1.6398,30.923896908378154
King2012,287,J233446-090812,VLT,2.1522,10.049845769960852
King2012,288,J233446-090812,VLT,2.2015,55.68039241959417
King2012,289,J233446-090812,VLT,2.2875,9.800005102039488
King2012,290,J234625+124743,VLT,2.1733,75.71282189959638
King2012,291,J234625+124743,VLT,2.5718,68.58966831819498
King2012,292,J234628+124858,VLT,1.1084,26.841672824173983
King2012,293,J234628+124858,VLT,1.5899,24.418945513678512
King2012,294,J234628+124858,VLT,2.1713,13.127932053450003
King2012,295,J235034-432559,VLT,1.7962,34.76848285444736
ESPRESSO2022,Murphy2022_ESPRESSO_HE0515,HE0515-4414,ESPRESSO,1.150793,1.3597793938724032
